Start Time,End Time,English,Big.Hero.6.2014.720p.BluRay.x264-SPARKS.srt,Big.Hero.6.2014.720p.Bluray.Ganool By IMDB-dl.srt,Big.Hero.6.2014.720p.WEB-DL.Ganool.srt,Big.Hero.VI-BluRay.1080p-2014.srt,Big.Hero.open subtitle.srt
13:24,13:25,"Hey, Professor.",تا نصفه شب کار مي‌کني آقاي هامادا؟,.سلام پرفسور,.سلام پرفسور,هی پروفسور,.سلام پرفسور
13:26,13:27,"Actually, I was just finishing up.",سلام پروفسور، راستش ديگه داشتم مي‌رفتم,.در واقع داشتم کارم رو تموم می‌کردم,.در واقع داشتم کارم رو تموم می‌کردم,در واقع داشتم همین حالا تموم میکردم,.در واقع داشتم کارم رو تموم می‌کردم
13:28,13:29,You must be Hiro.,تو بايد هيرو باشي همون مبارز روباتي، درسته؟,".تو باید ""هیرو"" باشی",".تو باید ""هیرو"" باشی","تو باید""هیرو""باشی",".تو باید ""هیرو"" باشی"
13:29,13:30,"Bot-fighter, right?",تو بايد هيرو باشي همون مبارز روباتي، درسته؟,مبارز رباتی، درسته؟,مبارز رباتی، درسته؟,مبارز روباتی! درسته؟,مبارز رباتی، درسته؟
13:31,13:34,"When my daughter was younger, that's all she wanted to do.",دختر منم وقتي کوچيک بود فقط همين کارو دوست داشت,وقتی دخترم کوچکتر بود .تنها چیزی که می‌خواست همین بود,وقتی دخترم کوچکتر بود .تنها چیزی که می‌خواست همین بود,زمانی که دخترم کوچیک تر بود این همه‌ی چیزی بود که میخواست انجام بده,وقتی دخترم کوچکتر بود .تنها چیزی که می‌خواست همین بود
13:35,13:36,May I?,اجازه هست؟,ممکنه؟,ممکنه؟,میتونم؟,ممکنه؟
13:36,13:37,Sure.,البته,.حتما,.حتما,حتما,.حتما
13:39,13:40,Magnetic-bearing servos.,مکانيسم جهت‌گيري مغناطيسي,.متحرکهای مغناطیسی,.متحرکهای مغناطیسی,وضعیت مغناطیسی فرمان بردار,.متحرکهای مغناطیسی
13:41,13:42,"Pretty sick, huh?",خيلي باحاله نه؟ مي‌خواي ببيني چطوري کنار هم قرارشون ميدم؟,خیلی جالبه، هان؟,خیلی جالبه، هان؟,باحاله نه؟,خیلی جالبه، هان؟
13:42,13:43,Wanna see how I put 'em together?,خيلي باحاله نه؟ مي‌خواي ببيني چطوري کنار هم قرارشون ميدم؟,می‌خواین ببینین چطوری بهم وصلشون کردم؟,می‌خواین ببینین چطوری بهم وصلشون کردم؟,میخوای ببینی چطور سرهمشون کردم؟,می‌خواین ببینین چطوری بهم وصلشون کردم؟
13:43,13:45,"Hey, genius!",!هي نابغه! خودش اونو اختراع کرده,!هی نابغه,!هی نابغه,هی نابغه,!هی نابغه
13:45,13:47,He invented them.,!هي نابغه! خودش اونو اختراع کرده,.خودش اختراعشون کردن,.خودش اختراعشون کردن,اون اختراعشون کرد,.خودش اختراعشون کردن
13:47,13:49,You're Robert Callaghan?,"شما ""رابرت کالاهان"" هستين؟","شما ""رابرت کالاهان"" هستین؟","شما ""رابرت کالاهان"" هستین؟","تو""رابرت کالاهان""هستی؟","شما ""رابرت کالاهان"" هستین؟"
13:49,13:51,"Like, as in,",همون کالاهان معروف؟,...درست همون,...درست همون,...همون,...درست همون
13:51,13:53,"the Callaghan-Catmull spline,",همون کالاهان معروف؟,"...""نوار باریک ""کالاهان- کتمول","...""نوار باریک ""کالاهان- کتمول","همون ""کالاهان"" قوانین گربه‌ی کور","...""نوار باریک ""کالاهان- کتمول"
13:53,13:54,"and Callaghan's ""Laws of Robotics?""",همون کالاهان قوانين روباتيک؟,و قوانین رباتیک کالاهان؟,و قوانین رباتیک کالاهان؟,"کالاهان"" قوانین روباتیک؟""",و قوانین رباتیک کالاهان؟
13:55,13:56,That's right.,درسته,.درسته,.درسته,درسته,.درسته
13:56,13:58,Ever think about applying here?,تا حالا به اين فکر کردي اينجا درخواست بدي؟ سن کمت هم مشکلي نداره,به این فکر کردی که اینجا پذیرش بگیری؟,به این فکر کردی که اینجا پذیرش بگیری؟,تاحالا برای ورود به اینجا فکر کردی؟,به این فکر کردی که اینجا پذیرش بگیری؟
13:58,13:59,Your age wouldn't be an issue.,تا حالا به اين فکر کردي اينجا درخواست بدي؟ سن کمت هم مشکلي نداره,.سنت اصلا مهم نیست,.سنت اصلا مهم نیست,سنت مشکلی ایجاد نمیکنه,.سنت اصلا مهم نیست
13:59,14:00,I don't know.,نمي‌دونم، اون که جنگ روبات‌ها رو خيلي جدي گرفته,.نمی‌دونم,.نمی‌دونم,...نمیدونم,.نمی‌دونم
14:00,14:04,He's pretty serious about his career in bot-fighting.,نمي‌دونم، اون که جنگ روبات‌ها رو خيلي جدي گرفته,.در مورد کارش در مبارزه رباتی خیلی جدیه,.در مورد کارش در مبارزه رباتی خیلی جدیه,اون خیلی درباره‌ی شخصیتش در مبارزه‌ی روباتی جدیه,.در مورد کارش در مبارزه رباتی خیلی جدیه
14:04,14:05,"Well, kind of serious.",خيلي هم که نه - دليلشو مي‌فهمم -,.خب، یه جورایی جدی,.خب، یه جورایی جدی,خب یجورایی جدی,.خب، یه جورایی جدی
14:05,14:06,I can see why.,خيلي هم که نه - دليلشو مي‌فهمم -,.می‌تونم بفهمم,.می‌تونم بفهمم,میتونم ببینم چرا,.می‌تونم بفهمم
14:07,14:08,"With your bot, winning must come easy.",با روباتت برنده شدن آسون‌ـه,.با ربات تو، بردن خیلی آسون میشه,.با ربات تو، بردن خیلی آسون میشه,با روبات تو پیروزی باید راحت بدست بیاد,.با ربات تو، بردن خیلی آسون میشه
14:09,14:10,"Yeah, I guess.",آره فکر کنم,.آره، فکر کنم,.آره، فکر کنم,اره؛ گمون کنم,.آره، فکر کنم
14:11,14:15,"Well, if you like things easy, then my program isn't for you.",خب، اگه دوست داري همه‌چي رو راحت بدست بياري پس برنامه‌ي من به درد تو نمي‌خوره,خب، اگر کارهای آسون رو  دوست داری .برنامه من برای تو مناسب نیست,خب، اگر کارهای آسون رو  دوست داری .برنامه من برای تو مناسب نیست,خب اگه از چیزای راحت خوشت میاد پس برنامه‌ی من برای تو نیست,خب، اگر کارهای آسون رو  دوست داری .برنامه من برای تو مناسب نیست
14:15,14:17,We push the boundaries of robotics here.,ما اينجا مرزهاي روباتيک رو گسترش ميديم,.اینجا مرزهای علم رباتیک رو جابه‌جا می‌کنیم,.اینجا مرزهای علم رباتیک رو جابه‌جا می‌کنیم,ما اینجا مرزهای روباتیک رو افزایش میدیم,.اینجا مرزهای علم رباتیک رو جابه‌جا می‌کنیم
14:18,14:20,My students go on to shape the future.,دانشجوهاي من به شکل دادن آينده ادامه خواهند داد,.دانشجویان من آینده رو شکل میدن,.دانشجویان من آینده رو شکل میدن,دانش اموزان من تلاش میکنن که اینده رو شکل بدن,.دانشجویان من آینده رو شکل میدن
14:20,14:22,"Nice to meet you, Hiro.",از ديدنت خوشحال شدم هيرو تو مبارزه‌هات موفق باشي,".""از دیدنت خوشحال شدم، ""هیرو",".""از دیدنت خوشحال شدم، ""هیرو","""از دیدنت خوشحال شدم""هیرو",".""از دیدنت خوشحال شدم، ""هیرو"
14:22,14:23,Good luck with the bot-fights.,از ديدنت خوشحال شدم هيرو تو مبارزه‌هات موفق باشي,.با مبارزه رباتی موفق باشی,.با مبارزه رباتی موفق باشی,تو مبارزات روباتی موفق باشی,.با مبارزه رباتی موفق باشی
14:27,14:29,We gotta hurry if you want to catch that bot-fight.,اگه بخواي به مبارزه برسي بايد عجله کني,اگر می‌خوای بری  مبارزه .باید عجله کنی,اگر می‌خوای بری  مبارزه .باید عجله کنی,اگه میخوای به اون مبارزه برسی باید عجله کنی,اگر می‌خوای بری  مبارزه .باید عجله کنی
14:30,14:31,I have to go here.,!من بايد بيام اينجا,.باید بیام اینجا,.باید بیام اینجا,من باید برم اینجا,.باید بیام اینجا
14:31,14:33,"If I don't go to this nerd school,",اگه نيام مدرسه خرخونا، عقلمو از دست ميدم,...اگر به این مدرسه بچه‌درس‌خونها نیام,...اگر به این مدرسه بچه‌درس‌خونها نیام,اگه به این مدرسه‌ی تیزهوشان نرم,...اگر به این مدرسه بچه‌درس‌خونها نیام
14:33,14:34,I'm gonna lose my mind.,اگه نيام مدرسه خرخونا، عقلمو از دست ميدم,.عقلم رو از دست میدم,.عقلم رو از دست میدم,عقلمو از دست میدم,.عقلم رو از دست میدم
14:35,14:36,How do I get in?,چطوري وارد بشم؟,چطوری باید وارد شم؟,چطوری باید وارد شم؟,چطور داخل بشم؟,چطوری باید وارد شم؟
14:40,14:42,"Every year, the school has a student showcase.",هرسال دانشگاه، کاراي دانشجوها رو نمايش ميده,.هر سال، دانشگاه یه نمایش دانشجویی داره,.هر سال، دانشگاه یه نمایش دانشجویی داره,همه ساله یه نمایش دانش اموزی داره,.هر سال، دانشگاه یه نمایش دانشجویی داره
14:42,14:45,"You come up with something that blows Callaghan away, you're in.",اگه يه چيزي بسازي که کالاهان خوشش بياد مي‌توني وارد بشي,"اگر یه چیزی اختراع کنی .که ""کالاهان"" رو تحت تاثیر بذاره وارد میشی","اگر یه چیزی اختراع کنی .که ""کالاهان"" رو تحت تاثیر بذاره وارد میشی","""چیزی با خودت بیاری که ""کاهالان رو تحت تاثیر قرار بدی؛ قبولی","اگر یه چیزی اختراع کنی .که ""کالاهان"" رو تحت تاثیر بذاره وارد میشی"
14:45,14:47,"But, it's gotta be great.",ولي بايد يه چيز خفن باشه,.اما، باید خیلی مهم باشه,.اما، باید خیلی مهم باشه,اما باید عالی باشه,.اما، باید خیلی مهم باشه
14:50,14:52,Trust me.,...باور کن,.بهم اعتماد کن,.بهم اعتماد کن,بهم اطمینان کن,.بهم اعتماد کن
14:52,14:54,It will be.,خواهد شد,.مهم میشه,.مهم میشه,خواهد بود,.مهم میشه
15:03,15:04,Nothing!,!هيچي هيچ ايده‌اي ندارم,!هیچی,!هیچی,هیچی,!هیچی
15:04,15:07,"No ideas! Useless, empty brain!",مغز پوک به‌دردنخور,!هیچ ایده‌ای! بی‌مصرف، مغز پوچ,!هیچ ایده‌ای! بی‌مصرف، مغز پوچ,هیچی به ذهنم نمیاد؛ مغز خالیه بی‌مصرف,!هیچ ایده‌ای! بی‌مصرف، مغز پوچ
15:08,15:11,Wow. Washed up at 14.,با چهاردهمي نااميد شد,.وای، در 14 سالگی ایده‌هات تموم شد,.وای، در 14 سالگی ایده‌هات تموم شد,تو 14 سالگی ناامید,.وای، در 14 سالگی ایده‌هات تموم شد
15:11,15:12,So sad.,چه بد,.چقدر بد,.چقدر بد,چه غم‌انگیز,.چقدر بد
15:12,15:15,I got nothing! I'm done. I'm never getting in.,!هيچ فکري ندارم! کارم تمومه هيچوقت نمي‌تونم بيام اونجا,.هیچ ایده‌ای ندارم! کارم تمومه .هرگز نمی‌تونم وارد بشم,.هیچ ایده‌ای ندارم! کارم تمومه .هرگز نمی‌تونم وارد بشم,من هیچی ندارم کارم تمومه من هیچوقت وارد اینجا نمیشم,.هیچ ایده‌ای ندارم! کارم تمومه .هرگز نمی‌تونم وارد بشم
15:15,15:18,"Hey, I'm not giving up on you.",من بيخيالت نميشم,.من ازت ناامید نمی‌شم,.من ازت ناامید نمی‌شم,هی من ازت ناامید نمیشم,.من ازت ناامید نمی‌شم
15:20,15:21,What are you doing?,چيکار مي‌کني؟ - مغزتو مي‌تکونم -,چه کار داری می‌کنی؟,چه کار داری می‌کنی؟,داری چیکار میکنی؟,چه کار داری می‌کنی؟
15:21,15:22,Shake things up.,چيکار مي‌کني؟ - مغزتو مي‌تکونم -,.دارم همه چیز رو تکون میدم,.دارم همه چیز رو تکون میدم,چیزا رو یه تکونی بده,.دارم همه چیز رو تکون میدم
15:22,15:25,Use that big brain of yours to think your way out.,از اون مغز گنده‌ت استفاده کن تا يه راهي پيدا کني,از اون مغز بزرگت استفاده کن .تا راهت رو پیدا کنی,از اون مغز بزرگت استفاده کن .تا راهت رو پیدا کنی,از اون مغز گندت استفاده کن تا راهتو پیدا کنی,از اون مغز بزرگت استفاده کن .تا راهت رو پیدا کنی
15:25,15:27,- What? - Look for a new angle.,دنبال يه طرح جديد بگرد,چی؟ - .از یه زاویه دیگه نگاه کن -,چی؟ - .از یه زاویه دیگه نگاه کن -,چی؟ - دنبال یه زاویه‌ی دیگه بگرد -,چی؟ - .از یه زاویه دیگه نگاه کن -
16:08,16:11,"Wow, a lot of sweet tech here today.",امروز تکنولوژي‌هاي جالبي اينجاست چه حسي داري؟,.وای، چقدر چیزهای جدید و جالب امروز اینجاست,.وای، چقدر چیزهای جدید و جالب امروز اینجاست,واو، امروز کلی تکنولوژی جالب اینجاست,.وای، چقدر چیزهای جدید و جالب امروز اینجاست
16:11,16:12,How are you feeling?,امروز تکنولوژي‌هاي جالبي اينجاست چه حسي داري؟,چه حسی داری؟,چه حسی داری؟,چه احساسی داری؟,چه حسی داری؟
16:12,16:16,You're talking to an ex-bot fighter. Takes a lot more than this to rattle me.,،داري با يه مبارز روباتي بازنشسته حرف مي‌زنيا هنوز خيلي مونده که من عصبي بشم,داری با یه مبارز سابق .رباتی صحبت می‌کنی، بیشتر از اینا لازمه تا بلرزم,داری با یه مبارز سابق .رباتی صحبت می‌کنی، بیشتر از اینا لازمه تا بلرزم,تو داری با یه مبارز روباتی سابق حرف میزنی به خیلی بیش از این نیاز هست که منو بترسونه,داری با یه مبارز سابق .رباتی صحبت می‌کنی، بیشتر از اینا لازمه تا بلرزم
16:16,16:18,"Yep, he's nervous.",آره، عصبي‌ـه,.آره، نگرانی,.آره، نگرانی,اره اون مضطرب هست,.آره، نگرانی
16:18,16:19,"You have nothing to fear, little fellow.",چيزي نيست که ازش بترسي رفيق کوچولو,.هیچ لازم نیست بترسی، رفیق کوچولو,.هیچ لازم نیست بترسی، رفیق کوچولو,چیزی برای ترسیدن نداری رفیق کوچولو,.هیچ لازم نیست بترسی، رفیق کوچولو
16:20,16:21,"- He's so tense. - No, I'm not.",خيلي هيجان زده‌ست,.خیلی منفیه - .نه نیستم -,.خیلی منفیه - .نه نیستم -,اون خیلی هیجان زده هس - نه نیستم -,.خیلی منفیه - .نه نیستم -
16:21,16:23,"Relax, Hiro.",نه نيستم - آروم باش هيرو -,".""آروم باش ""هیرو",".""آروم باش ""هیرو","""اروم باش ""هیرو",".""آروم باش ""هیرو"
16:23,16:26,"Your tech is amazing. Tell him, Go Go.",!تکنولوژيت محشره تو بهش بگو گوگو,".""اختراعت بی‌نظیره، تو بهش بگو ""برو برو",".""اختراعت بی‌نظیره، تو بهش بگو ""برو برو","""تکنولوژی تو عالیه بهش بگو ""گوگو",".""اختراعت بی‌نظیره، تو بهش بگو ""برو برو"
16:26,16:28,- Stop whining. Woman up. - I'm fine!,انقدر ناله نکن، قوي باش,.دست از ناله‌کردن بردار، مثل یه زن شجاع باش - .من خوبم -,.دست از ناله‌کردن بردار، مثل یه زن شجاع باش - .من خوبم -,انقدر ناله نکن خانم وار وایسا - من خوبم -,.دست از ناله‌کردن بردار، مثل یه زن شجاع باش - .من خوبم -
16:28,16:31,"What do you need, little man? Deodorant? Breath mint?",،چي احتياج داري کوچولو؟ خوشبو کننده بدن يا دهن يا يه جفت شورت نو؟,چیزی می‌خوای، مرد کوچولو؟ خوش‌بوکننده؟ آدامس نعنایی؟,چیزی می‌خوای، مرد کوچولو؟ خوش‌بوکننده؟ آدامس نعنایی؟,چی میخوای اقا کوچولو؟ ضد عرق؟ خوش بو کننده دهان؟,چیزی می‌خوای، مرد کوچولو؟ خوش‌بوکننده؟ آدامس نعنایی؟
16:31,16:32,Fresh pair of underpants?,،چي احتياج داري کوچولو؟ خوشبو کننده بدن يا دهن يا يه جفت شورت نو؟,یه جفت لباس زیر جدید؟,یه جفت لباس زیر جدید؟,یه جفت شورت تمیز؟,یه جفت لباس زیر جدید؟
16:32,16:34,Underpants? You need serious help.,شورت؟ واقعاً کمک لازم داري - من که آماده اومدم -,.لباس زیر؟ واقعا به کمک نیاز داری,.لباس زیر؟ واقعا به کمک نیاز داری,شورت تمیز؟ تو به یه کمک جدی نیاز داری,.لباس زیر؟ واقعا به کمک نیاز داری
16:34,16:35,"Hey, I come prepared.",شورت؟ واقعاً کمک لازم داري - من که آماده اومدم -,.من آماده میام,.من آماده میام,هی من اماده اومدم,.من آماده میام
16:36,16:38,I haven't done laundry in six months.,من که 6 ماهه لباسامو نشستم يه دونه‌ش تا چهار روز دووم مياره,.شش ماه ــه که لباس نشستم,.شش ماه ــه که لباس نشستم,من 6 ماهه لباس نشستم,.شش ماه ــه که لباس نشستم
16:38,16:39,One pair lasts me four days.,من که 6 ماهه لباسامو نشستم يه دونه‌ش تا چهار روز دووم مياره,.هر جفت رو چهار روز می‌پوشم,.هر جفت رو چهار روز می‌پوشم,یه جفت برای 4 روز من کافیه,.هر جفت رو چهار روز می‌پوشم
16:39,16:41,"I go front, I go back, I go inside-out.",اول يه طرفشو مي‌پوشم، بعدش اونطرف، بعد برعکسش مي‌کنم بعدش دوباره يه طرفشو مي‌پوشم بعدش طرف ديگه,اول از یه طرفش می‌پوشم، بعدش .از پشتش می‌پوشم، بعد برعکسش می‌کنم,اول از یه طرفش می‌پوشم، بعدش .از پشتش می‌پوشم، بعد برعکسش می‌کنم,از جلو میپوشم؛ از عقب میپوشم پشت و رو میپوشم,اول از یه طرفش می‌پوشم، بعدش .از پشتش می‌پوشم، بعد برعکسش می‌کنم
16:42,16:43,Then I go front and back.,اول يه طرفشو مي‌پوشم، بعدش اونطرف، بعد برعکسش مي‌کنم بعدش دوباره يه طرفشو مي‌پوشم بعدش طرف ديگه,.و بعد دوباره از رو و پشت می‌پوشمش,.و بعد دوباره از رو و پشت می‌پوشمش,بعدم وارونه میپوشم,.و بعد دوباره از رو و پشت می‌پوشمش
16:43,16:46,Wow. That is both disgusting and awesome.,هم محشره هم چندش - تشويقش نکن -,.وای! هم محشر بود هم حال‌بهم‌زن,.وای! هم محشر بود هم حال‌بهم‌زن,واو، این هم حال بهم زنه هم عالیه,.وای! هم محشر بود هم حال‌بهم‌زن
16:46,16:47,Don't encourage him.,هم محشره هم چندش - تشويقش نکن -,.تشویقش نکن,.تشویقش نکن,تشویقش نکن,.تشویقش نکن
16:47,16:48,"It's called ""recycling.""",بهش ميگن بازيافت,.بهش میگن بازیافت,.بهش میگن بازیافت,بهش میگن بازیافت,.بهش میگن بازیافت
16:49,16:51,"<i>Next presenter, Hiro Hamada.</i>",ارائه کننده‌ي بعدي: هيرو هامادا,".""ارائه‌کننده بعدی ""هیرو هامادا",".""ارائه‌کننده بعدی ""هیرو هامادا","<i>""ارائه دهنده‌ی بعد؛ ""هیرو هامادا</i>",".""ارائه‌کننده بعدی ""هیرو هامادا"
16:51,16:53,"Oh, yeah. This is it.",آره، خودشه - فکر کنم نوبت منه -,.آره، خودشه,.آره، خودشه,اوه اره خودشه,.آره، خودشه
16:53,16:54,I guess I'm up.,آره، خودشه - فکر کنم نوبت منه -,.فکر کنم حاضرم,.فکر کنم حاضرم,گمونم نوبت منه,.فکر کنم حاضرم
16:54,16:57,"Okay, photo, photo! Everybody say, ""Hiro.""",!خب خب، بياين عکس بگيريم !همه بگين ، هيرو,".باشه، عکس، عکس .""همگی بگین ""هیرو",".باشه، عکس، عکس .""همگی بگین ""هیرو","خیل‌خب، خیل‌خب ""عکس!عکس همه بگید ""هیرو",".باشه، عکس، عکس .""همگی بگین ""هیرو"
16:57,16:58,- Hiro! - Yeah!,!هيــرو,".""هیرو"" - !باشه -",".""هیرو"" - !باشه -","""هیرو"" - آره -",".""هیرو"" - !باشه -"
16:59,17:00,"We love you, Hiro. Good luck!",!دوستت داريم هيرو. موفق باشي - گند نزني يه وقت -,".عاشقتیم ""هیرو"" موفق باشی",".عاشقتیم ""هیرو"" موفق باشی","دوستت داریم ""هیرو"" موفق باشی",".عاشقتیم ""هیرو"" موفق باشی"
17:00,17:02,"- Don't mess it up. - Break a leg, little man.",!دوستت داريم هيرو. موفق باشي - گند نزني يه وقت -,.گند نزنی - .موفق باشی، مرد کوچولو -,.گند نزنی - .موفق باشی، مرد کوچولو -,گندش نزنی - موفق باشی مرد کوچک -,.گند نزنی - .موفق باشی، مرد کوچولو -
17:02,17:03,"Science, yeah!",!علـم، آره,!علم، آره,!علم، آره,علم، آره,!علم، آره
17:03,17:06,"All right, bro. This is it.",!خيلي‌خب داداش. اينم از اين,.خیله خب، داداش، وقتشه,.خیله خب، داداش، وقتشه,خیل‌خب داداش خودشه,.خیله خب، داداش، وقتشه
17:06,17:08,Come on. Don't leave me hanging.,زودباش، منتظرم نذار,.زود باش، منو  منتظر نذار,.زود باش، منو  منتظر نذار,بجنب منو منتظر نذار,.زود باش، منو  منتظر نذار
17:09,17:10,What's going on?,چي شده؟,چی شده؟,چی شده؟,چه اتفاقی داری میوفته؟,چی شده؟
17:12,17:15,I really want to go here.,واقعاً دوست دارم بيام اينجا,.واقعا باید برم به دانشگاه,.واقعا باید برم به دانشگاه,من واقعا میخوام برم اینجا,.واقعا باید برم به دانشگاه
17:15,17:16,Hey.,...هي,.هی,.هی,هی,.هی
17:18,17:20,You got this.,مياي,.موفق میشی,.موفق میشی,تو از پسش بر میای,.موفق میشی
17:29,17:30,<i>Hi.</i>,سلام,.سلام,.سلام,<i>...سلام</i>,.سلام
17:31,17:33,<i>My name is Hiro...</i>,...اسم من هيرو,".اسم من ""هیرو"" ــه",".اسم من ""هیرو"" ــه","<i>...اسم من ""هیرو""ـه</i>",".اسم من ""هیرو"" ــه"
17:36,17:37,<i>Sorry.</i>,ببخشيد,.ببخشید,.ببخشید,<i>ببخشید</i>,.ببخشید
17:38,17:40,"<i>My name is Hiro Hamada,</i>",اسمم هيرو هاماداـه,"...اسم من ""هیرو هامادا"" ــه","...اسم من ""هیرو هامادا"" ــه","<i>...اسم من هیرو هامادا""هست""</i>","...اسم من ""هیرو هامادا"" ــه"
17:40,17:45,<i>and I've been working on something that I think is pretty cool.</i>,يه چيزي ساختم که فکر کنم خيلي باحال باشه,و دارم روی چیزی کار می‌کنم .که فکر می‌کنم خیلی جالب باشه,و دارم روی چیزی کار می‌کنم .که فکر می‌کنم خیلی جالب باشه,<i>و...من روی یه چیزی کار میکردم که گمون کنم خیلی باحاله</i>,و دارم روی چیزی کار می‌کنم .که فکر می‌کنم خیلی جالب باشه
17:45,17:47,<i>I hope you like it.</i>,اميدوارم خوشتون بياد,.امیدوارم خوشتون بیاد,.امیدوارم خوشتون بیاد,<i>امیدوارم خوشتون بیاد</i>,.امیدوارم خوشتون بیاد
17:49,17:51,<i>This is a microbot.</i>,اين يه ميکروبات‌ـه,.این یه ریزرباته,.این یه ریزرباته,"<i>...این یه ""میکروباته""ـه</i>",.این یه ریزرباته
17:59,18:01,Breathe.,نفس عميق,.نفس عمیق بکش,.نفس عمیق بکش,نفس بکش,.نفس عمیق بکش
18:04,18:05,"<i>It doesn't look like much,</i>",ظاهراً چيز خاصي نيست,...به نظر نمیاد,...به نظر نمیاد,<i>...چیز چندانی به نظر نمیرسه</i>,...به نظر نمیاد
18:05,18:07,<i>but when it links up with the rest of its pals...</i>,...ولي وقتي به بقيه‌ي هم‌نوعاش متصل بشه,...اما وقتی که با بقیه رفیق‌هاش جمع بشه,...اما وقتی که با بقیه رفیق‌هاش جمع بشه,<i>...اما...وقتی به بقیه‌ی دوستاش متصل بشه</i>,...اما وقتی که با بقیه رفیق‌هاش جمع بشه
18:21,18:24,<i>...things get a little more interesting.</i>,اونوقت يه کم جالبتر ميشه,.موضوع یکم جالبتر میشه,.موضوع یکم جالبتر میشه,<i>اوضاع کمی جالب تر میشه...</i>,.موضوع یکم جالبتر میشه
18:30,18:33,<i>The microbots are controlled with this neural transmitter.</i>,ميکروباتها با اين انتقال دهنده‌ي عصبي کنترل ميشن,ریزرباتها با این .فرستنده عصبی کنترل میشن,ریزرباتها با این .فرستنده عصبی کنترل میشن,"<i>میکروبات""ها به وسیله‌ی این"" فرستنده‌ی عصبی کنترل میشن</i>",ریزرباتها با این .فرستنده عصبی کنترل میشن
18:39,18:41,<i>I think what I want them to do...</i>,...به چيزي که مي‌خوام فکر مي‌کنم,...به هر چیزی فکر کنم,...به هر چیزی فکر کنم,<i>...من فکر میکنم میخوام چیکار کنم</i>,...به هر چیزی فکر کنم
18:44,18:45,<i>They do it.</i>,و اونا انجام ميدن,.همون کار رو می‌کنن,.همون کار رو می‌کنن,<i>اونا انجامش میدن...</i>,.همون کار رو می‌کنن
18:48,18:51,<i>The applications for this tech are limitless.</i>,موارد استفاده از اين تکنولوژي نامحدود ـه,.کاربردهای این فناوری بی‌نهایته,.کاربردهای این فناوری بی‌نهایته,<i>و کاربردهای این تکنولوژی نامحدود هستن</i>,.کاربردهای این فناوری بی‌نهایته
18:51,18:53,<i>Construction.</i>,ساختمان سازي,.ساخت‌وساز,.ساخت‌وساز,<i>...ساخت و ساز</i>,.ساخت‌وساز
18:54,18:57,<i>What used to take teams of people working by hand</i>,...به کار گرفتن گروهي از انسان‌ها,...کاری که ماه‌ها و سالها,...کاری که ماه‌ها و سالها,<i>...چیزی که قبلا تعداد زیادی از مردم</i>,...کاری که ماه‌ها و سالها
18:57,18:58,"<i>for months or years,</i>",که با دست خالي کار مي‌کنن ماهها يا سالها طول مي‌کشه,...انجام دادنشون توسط افراد طول می‌کشید,...انجام دادنشون توسط افراد طول می‌کشید,<i>...برای مدت‌ها روش کار میکردن</i>,...انجام دادنشون توسط افراد طول می‌کشید
18:58,19:01,<i>can now be accomplished by one person.</i>,ولي حالا مي‌تونيم اينکارو فقط با يه نفر انجام بديم,.حالا می‌تونه تنها توسط یه نفر انجام بشه,.حالا می‌تونه تنها توسط یه نفر انجام بشه,<i>الان میتونه به وسیله‌ی یک نفر کامل بشه</i>,.حالا می‌تونه تنها توسط یه نفر انجام بشه
19:03,19:04,<i>And that's just the beginning.</i>,...و اين تازه شروعشه,.و این تازه شروعشه,.و این تازه شروعشه,<i>و این تازه شروعشه</i>,.و این تازه شروعشه
19:05,19:08,<i>How about transportation?</i>,حمل و نقل چطوره؟,حمل‌ونقل چطوره؟,حمل‌ونقل چطوره؟,<i>نظرتون درباره‌ینقل و انتقال چیه؟</i>,حمل‌ونقل چطوره؟
19:09,19:12,"<i>Microbots can move anything anywhere,</i>",ميکروباتها مي‌تونن به راحتي هرچيزي رو به هرجايي جابجا کنن,ریزرباتها می‌تونن ...هر چیزی رو هر جایی جابه‌جا کنن,ریزرباتها می‌تونن ...هر چیزی رو هر جایی جابه‌جا کنن,"<i>میکروبات"" ها میتونن هر"" چیزی رو هرجایی ببرن</i>",ریزرباتها می‌تونن ...هر چیزی رو هر جایی جابه‌جا کنن
19:12,19:14,<i>with ease.</i>,ميکروباتها مي‌تونن به راحتي هرچيزي رو به هرجايي جابجا کنن,.به راحتی,.به راحتی,<i>به راحتی</i>,.به راحتی
19:21,19:24,"<i>If you can think it, the microbots can do it.</i>",اگه بتونين بهش فکر کنين,.اگر بهش فکر کنید، ریزرباتها انجامش میدن,.اگر بهش فکر کنید، ریزرباتها انجامش میدن,"<i>اگه شما میتونید بهش فکر کنید میکروبات""ها هم میتونن انجامش بدن""</i>",.اگر بهش فکر کنید، ریزرباتها انجامش میدن
19:29,19:31,<i>The only limit is your imagination.</i>,تنها محدوديت، قدرت تجسم شماست,.تنها محدودیت تصور شماست,.تنها محدودیت تصور شماست,<i>تنها محدودیت، تفکرات شماست</i>,.تنها محدودیت تصور شماست
19:34,19:35,<i>Microbots!</i>,!ميکروبات,!ریزرباتها,!ریزرباتها,"<i>میکروبات""ها""</i>",!ریزرباتها
19:42,19:44,That's my nephew!,!خواهرزاده‌ي خودمه,.این خواهرزاده منه,.این خواهرزاده منه,اون خواهر زاده‌ی منه,.این خواهرزاده منه
