13:32,13:35,"Coop, those combines you rebuilt went haywire.",کنترل‌ها رو دوباره تنظیم کن,کنترل‌ها رو دوباره تنظیم کن,<i>کوپ، اون کمباين‌هايي که بازسازي کردي قاطي کردن</i>,کوپ، تراکتورهایی که فعال کردی قاطی کردن,"کوپ""، تراکتورهایی که""  .بازسازی کردی، خراب شدن",‏کوپ، اون تراکتورایی که ‏بازسازی کردی خراب شدن,"کوپر""ـم بگو"" - کوپر"" اون کمباین هایی که بازسازی کردی بلا استفاده شدن"" -",<i>کوپ، اون کمباين‌هايي که بازسازي کردي قاطي کردن</i>,<i> کوپ، اون دستگاه‌هاي کُمباين که تعمير کرده بودي، خراب شدن</i>,"کوپ"" ، کمباین هایی که بازسازی کردی ، قاطی کردن""",<i>کوپ، اون کمباين‌هايي که بازسازي کردي قاطي کردن</i>
13:35,13:37,Just reset the controllers.,کردم، ولی بهتره یه نگاهی بندازی,کردم، ولی بهتره یه نگاهی بندازی,کنترل‌هاش رو خاموش و روشن کن,کنترل‌ها رو دوباره تنظیم کن,.دستگاه کنترل رو ریست کن,کنترل‌کننده‌ها رو دوباره تنظیم کن,فقط کنترل هارو ریسِت - اونکارو کردم، اما باید بیای یه نگاه بندازی -,کنترل‌هاش رو خاموش و روشن کن,کنترل‌کننده‌هاش رو دوباره تنظيم کن,ریست شون کن,کنترل‌هاش رو خاموش و روشن کن
13:38,13:40,I did that. Now you should come take a look.,کردم، ولی بهتره یه نگاهی بندازی,کردم، ولی بهتره یه نگاهی بندازی,<i>اين کار رو کردم. اما بايد بياي يه نگاهي بندازي</i>,کردم، ولی بهتره یه نگاهی بندازی,،این کارو کردم .اما باید بیای یه نگاهی بندازی,کردم ولی باید بیای یه نگاه بندازی,فقط کنترل هارو ریسِت - اونکارو کردم، اما باید بیای یه نگاه بندازی -,<i>اين کار رو کردم. اما بايد بياي يه نگاهي بندازي</i>,<i> .اينکارو کردم بايد خودت بيايي يه نگاهي بکني</i>,ریست کردم ، ولی باید بیای یه نگاهی بندازی,<i>اين کار رو کردم. اما بايد بياي يه نگاهي بندازي</i>
14:00,14:03,MAN: One by one they've been peeling off the fields and heading over.,یه چیزی باعث اختلال تراکتورها شده,یه چیزی باعث اختلال تراکتورها شده,يکي يکي زمين رو ول کردن و اومدن اين طرف,یکی پس از دیگری مزرعه رو خراب کردن,یکی یکی از زمین خارج میشن .و میان این سمت,‏یکی یکی از زمین‌ها خارج شدن ‏و به اینجا اومدن,یکی یکی مزرعه هارو چاک دادن و کشیدن کنار,يکي يکي زمين رو ول کردن و اومدن اين طرف,دونه دونه از سراسر مزرعه به اين سمت سرازير شدن,یکی یکی زمین ها رو شخم زدن و اومدن اینجا دور هم جمع شدن,يکي يکي زمين رو ول کردن و اومدن اين طرف
14:03,14:05,Something's interfering with the compass.,یه چیزی باعث اختلال تراکتورها شده,یه چیزی باعث اختلال تراکتورها شده,يه چيزي قطب‌نماشون رو مختل کرده,یه چیزی باعث اختلال تراکتورها شده,یه چیزی داره  .جهت یابشون رو مختل میکنه,‏یه چیزی قطب‌نماشون رو دچار مشکل کرده,یه چیزی داره توی مدار دخالت می کنه,يه چيزي قطب‌نماشون رو مختل کرده,يه چيزي با قطب‌نماهاشـون درگير شده,یه چیزی تو قطب نماشون اختلال ایجاد کرده,يه چيزي قطب‌نماشون رو مختل کرده
14:06,14:09,Magnetism or some such.,مغناطیس. یا همچین چیزی,مغناطیس. یا همچین چیزی,.آهنربايي، چيزي,مغناطیس. یا همچین چیزی,.خاصیت مغناطیسی یا یه همچین چیزی,‏مغناطیس یا همچین چیزی,مغناطیس. یه یه چیزی مثل اون,.آهنربايي، چيزي,يه چيز مغناطيسي يا همچين چيزي,آهن ربایی چیزی,.آهنربايي، چيزي
14:28,14:29,(THUDDING),,,,,,,,,,"کد ""دودویی"" یا ""باینری"" هم یک سیستم عدد دهی میباشد که فقط از ارقام  0  و  1  استفاده میکند",
14:52,14:53,MURPH: Nothing special about which book.,مهم نیست کدوم کتاب افتاده. روش کار کردم خودت گفته بودی,مهم نیست کدوم کتاب افتاده. روش کار کردم خودت گفته بودی,کتاب‌هايي که ميفتن، ارتباط خاصي ندارن,مهم نیست کدوم کتاب افتاده. روش کار کردم خودت گفته بودی,در مورد اینکه کدوم کتاب میوفتـه ،چیز خاصی وجود نداره,،‏مهم نیست کدوم کتاب افتاده ‏همون طور که گفتی روش کار می‌کردم,چیز خاصی درباره ی اون کتاب نیست همونطور که گفتی داشتم روش کار می کردم,کتاب‌هايي که ميفتن، ارتباط خاصي ندارن,هيچ کتابِ خاصـي از قفسه نميوفتـه,چیزه خاصی درباره هیچ کدوم از کتاب ها وجود نداره,کتاب‌هايي که ميفتن، ارتباط خاصي ندارن
14:54,14:56,"I've been working on it, like you said.",جاهای خالی رو شمردم,جاهای خالی رو شمردم,همون طور که گفتي، روش کار کردم,مهم نیست کدوم کتاب افتاده. روش کار کردم خودت گفته بودی,همونطور که گفتی .دارم روش کار می‌کنم,،‏مهم نیست کدوم کتاب افتاده ‏همون طور که گفتی روش کار می‌کردم,چیز خاصی درباره ی اون کتاب نیست همونطور که گفتی داشتم روش کار می کردم,همون طور که گفتي، روش کار کردم,همونطور که گفتي دارم روش تحقيق ميکنم,روش کار کردم ، همونطور که گفتی,همون طور که گفتي، روش کار کردم
14:57,15:00,- I counted the spaces. - Why?,چرا؟,چرا؟,فاصله‌ي بين افتادنشون رو شمردم - چرا؟ -,جاهای خالی رو شمردم,.فاصله‌ها رو شمردم - چرا؟ -,‏- جاهای خالی رو شمردم ‏- چرا؟,فضاهارو شمردم - چرا؟ -,فاصله‌ي بين افتادنشون رو شمردم - چرا؟ -,فضاهاي خالي رو ميشمرم - چرا؟ -,من فاصله ها رو حساب کردم - چرا ؟ -,فاصله‌ي بين افتادنشون رو شمردم - چرا؟ -
15:02,15:04,In case the ghost is trying to communicate.,فکر کردم شاید داره با من ارتباط برقرار میکنه از کُد مورس استفاده کردم,فکر کردم شاید داره با من ارتباط برقرار میکنه از کُد مورس استفاده کردم,شايد روح‌ها خواستن ارتباط برقرار کنن,فکر کردم شاید داره با من ارتباط برقرار میکنه از کُد مورس استفاده کردم,اگه یه وقت .شبح بخواد ارتباط برقرار کنه,‏محض اینکه شاید روح بخواد ارتباط برقرار کنه,"محض احتیاط اگه ارواح سعی در ارتباط باشن دارم ""مورس""رو امتحان می کنم",شايد روح‌ها خواستن ارتباط برقرار کنن,شايد اون روحـه بخواد ارتباط برقرار کنه,که ببینم روح میخواد ارتباط برقرار کنه یا نه,شايد روح‌ها خواستن ارتباط برقرار کنن
15:04,15:06,I'm trying Morse.,...آره، نقطه‌ها و خط‌ تیره‌ها. این,...آره، نقطه‌ها و خط‌ تیره‌ها. این,دارم مورس رو امتحان ميکنم,فکر کردم شاید داره با من ارتباط برقرار میکنه از کُد مورس استفاده کردم,".دارم کد ""مورس"" امتحان می‌کنم","‏کد مورس"" رو امتحان می‌کنم"" [روشی برای انتقال پیام با خط و نقطه]","محض احتیاط اگه ارواح سعی در ارتباط باشن دارم ""مورس""رو امتحان می کنم",دارم مورس رو امتحان ميکنم,شايد مورس کد باشه,من کد مورس رو امتحان کردم,دارم مورس رو امتحان ميکنم
15:07,15:08,Morse?,...آره، نقطه‌ها و خط‌ تیره‌ها. این,...آره، نقطه‌ها و خط‌ تیره‌ها. این,مورس؟ - آره -,...آره، نقطه‌ها و خط‌ تیره‌ها. این,"مورس""؟""",‏مورس؟,"مورس""؟"" - .آره، نقطه ها و خط ها -",مورس؟ - آره -,مورس؟,مورس ؟,مورس؟ - آره -
15:08,15:09,Yeah.,...آره، نقطه‌ها و خط‌ تیره‌ها. این,...آره، نقطه‌ها و خط‌ تیره‌ها. این,مورس؟ - آره -,...آره، نقطه‌ها و خط‌ تیره‌ها. این,.آره,آره,"مورس""؟"" - .آره، نقطه ها و خط ها -",مورس؟ - آره -,آره,آره,مورس؟ - آره -
15:10,15:12,"- Dots and dashes, used... - I know what Morse code is, Murph.",میدونم کُد مورس چیه، مورف ...ولی هنوز فکر نمیکنم,میدونم کُد مورس چیه، مورف ...ولی هنوز فکر نمیکنم,با خط و نقط - ميدونم که کد مورس چيه، مورف -,میدونم کُد مورس چیه، مورف ...ولی هنوز فکر نمیکنم,"...نقطه و خط تیره، این - .""می‌دونم کد ""مورس"" چیه ""مورف -",...خط و نقطه. یه روش - ‏- می‌دونم کد مورس چیه مورف,".""می دوم کُد ""مورس"" چیه ""مرف  اما هنوزم فکر نمی کنم",با خط و نقط - ميدونم که کد مورس چيه، مورف -,...استفاده از نقطه و خط براي - ميدونم کد مورس چيه، مورف -,"نقطه و خط - ""میدونم کد مورس چیه ، ""مورف -",با خط و نقط - ميدونم که کد مورس چيه، مورف -
15:12,15:15,I just don't think your bookshelf's trying to talk to you.,قفسه کتاب بخواد باهات حرف بزنه,قفسه کتاب بخواد باهات حرف بزنه,اما فکر نميکنم که قفسه کتابت بخواد باهات حرف بزنه,قفسه کتاب بخواد باهات حرف بزنه,اما هنوزم فکر نمی‌کنم که .قفسه‌ی کتابت سعی داره باهات صحبت کنه,فقط اینکه فکر نکنم ‏قفسه‌ی کتاب بخواد باهات حرف بزنه,قفسه ی کتابت سعی داشته باشه باهات حرف بزنه,اما فکر نميکنم که قفسه کتابت بخواد باهات حرف بزنه,فقط فکر نميکنم که کتابخونه‌ات بخواد باهات حرف بزنه,فقط فکر نمیکنم که قفسه کتابت بخواد باهات صحبت کنه,اما فکر نميکنم که قفسه کتابت بخواد باهات حرف بزنه
15:27,15:31,Had to reset every compass clock and GPS to offset for the anomaly.,رو  GPS مجبور شدم قطب نماها و دوباره تنظیم کنم که با ناهنجاری منحرف نشن,رو  GPS مجبور شدم قطب نماها و دوباره تنظیم کنم که با ناهنجاری منحرف نشن,مجبور شدم قطب‌نما و جي‌پي‌اس همه‌شون رو دوباره تنظيم کنم تا انحراف ناشي از ناهنجاري جبران بشه,رو  GPS مجبور شدم قطب نماها و دوباره تنظیم کنم که با ناهنجاری منحرف نشن,مجبور شدم تمام ساعت‌های قطب نمایی و ... جی پی اس‌ها رو ریست کنم,‏مجبور شدم هر چی قطب‌نما و جی‌پی‌اس بود ‏رو دوباره تنظیم کنم تا انحرافشون درست بشه,رو  GPS مجبورم همه ی مدارهای زمان سنج و برای تعادل بی نظمی ریسِت کنم,مجبور شدم قطب‌نما و جي‌پي‌اس همه‌شون رو دوباره تنظيم کنم تا انحراف ناشي از ناهنجاري جبران بشه,مجبور شدم تمام قطب‌نماها و جي.پي.اِس ها رو تنظيم مجدد کنم تا با شرايط ناسازگاري، جور بشه,مجبوریم ساعت و جی.پی.اس تمام قطب نماها رو ریست کنیم,مجبور شدم قطب‌نما و جي‌پي‌اس همه‌شون رو دوباره تنظيم کنم تا انحراف ناشي از ناهنجاري جبران بشه
15:32,15:34,- Which is? - I don't know.,نمیدونم,نمیدونم,چه ناهنجاري‌ايه؟ - نمي‌دونم -,نمیدونم,که یعنی؟ - .نمی‌دونم -,‏- که دلیلش چی بود؟ ‏- نمی‌دونم,که یعنی؟ - نمی دونم -,چه ناهنجاري‌ايه؟ - نمي‌دونم -,چه ناسازگاري؟ - نميدونم -,کدومشون ؟ - نمیدونم -,چه ناهنجاري‌ايه؟ - نمي‌دونم -
15:36,15:38,If the house was built on magnetic ore...,ما اینو فوراً با روشن کردن تراکتور می‌فهمیدیم,ما اینو فوراً با روشن کردن تراکتور می‌فهمیدیم,آخه اگه خونه روي ...يه سنگ معدن مغناطيسي ساخته شده بود,...اگه خونه از آهن مغناطیسی ساخته شده بود,اگه خونه روی ...سنگ مگنتیک ساخته شده بود,‏اگه خونه روی سنگ معدن مغناطیسی ...‏ساخته شده باشه,اگه خونه روی سنگ مغناطیس ساخته شده باشه,آخه اگه خونه روي ...يه سنگ معدن مغناطيسي ساخته شده بود,...اگه خونه روي يه سنگ معدني مغناطيسي ساخته شده باشه,... اگه خانه روی یه سنگ مغناطیسی ساخته شده بود,آخه اگه خونه روي ...يه سنگ معدن مغناطيسي ساخته شده بود
15:38,15:41,we'd have seen this the first time we switched on the tractor.,ما اینو فوراً با روشن کردن تراکتور می‌فهمیدیم,ما اینو فوراً با روشن کردن تراکتور می‌فهمیدیم,همون اولين باري که تراکتورها رو روشن کرديم بايد همچين اتفاقي مي‌افتاد,ما اینو فوراً با روشن کردن تراکتور می‌فهمیدیم,اولین بار که تراکتورها رو روشن کردیم .باید همچین چیزی رو می‌دیدیم,،‏اولین باری که تراکتور رو روشن می‌کردیم ‏متوجهش می‌شدیم,می بینیم که اولین باره میریم سراغ تراکتور,همون اولين باري که تراکتورها رو روشن کرديم بايد همچين اتفاقي مي‌افتاد,اونوقت ميبايست همون بار اولي که تنظيماتِ تراکتورها رو عوض کرديم، متوجه اين مشکلات ميشديم,اولین باری که از تراکتور استفاده کردیم میفهمیدیم ...,همون اولين باري که تراکتورها رو روشن کرديم بايد همچين اتفاقي مي‌افتاد
15:44,15:47,I hear your meeting at the school didn't go so well.,شنیدم جلسه اولیا اونقدرا هم خوب نبود,شنیدم جلسه اولیا اونقدرا هم خوب نبود,شنيدم که جلسه‌ات در مدرسه خوب پيش نرفته,شنیدم جلسه اولیا اونقدرا هم خوب نبود,شنیدم جلسه‌ت تو مدرسه .خیلی خوب پیش نرفته,‏شنیدم جلسه‌ـت توی مدرسه خوب پیش نرفته,شنیدم جلسه ات توی مدرسه خیلی خوب پیش نرفته,شنيدم که جلسه‌ات در مدرسه خوب پيش نرفته,شنيدم جلسه‌ات توي مدرسه خيلي خوب پيش نرفت,در مورد جلسه ات توی مدرسه شنیدم زیاد خوب پیش نرفته,شنيدم که جلسه‌ات در مدرسه خوب پيش نرفته
15:48,15:50,Heh. You heard?,شنیدی؟ انگار مثل اینه که ما خودمونو فراموش کردیم، دونالد,شنیدی؟ انگار مثل اینه که ما خودمونو فراموش کردیم، دونالد,شنيدي؟,شنیدی؟ انگار مثل اینه که ما خودمونو فراموش کردیم، دونالد,شنیدی؟,‏شنیدی؟,"شنیدی؟ ""به نظر فراموش کردیم کی هستیم، ""دونالد",شنيدي؟,شنيدي؟,هوم ، شنیدی ؟,شنيدي؟
15:51,15:53,"It's like we've forgotten who we are, Donald.",شنیدی؟ انگار مثل اینه که ما خودمونو فراموش کردیم، دونالد,شنیدی؟ انگار مثل اینه که ما خودمونو فراموش کردیم، دونالد,انگار فراموش کرديم که کي هستيم، دونالد,شنیدی؟ انگار مثل اینه که ما خودمونو فراموش کردیم، دونالد,"انگار دیگه یادمون رفته کی هستیم .""دونالد""","""‏انگار یادمون رفته کی هستیم ""دونالد","شنیدی؟ ""به نظر فراموش کردیم کی هستیم، ""دونالد",انگار فراموش کرديم که کي هستيم، دونالد,انگار ما فراموش کرديم کي هستيم، دونالد,"""مثل اینکه ما آدما یادمون رفته کی هستیم ، ""دونالد",انگار فراموش کرديم که کي هستيم، دونالد
15:55,15:59,"Explorers, pioneers, not caretakers.",کاشفان، پیشگامان، نه مستخدمان,کاشفان، پیشگامان، نه مستخدمان,کاوشگر، پيشگام، نه متولي,کاشفان، پیشگامان، نه مستخدمان,،جستجوگر، پیشگام و مکتشف .اما متصدی و سرپرست نه,‏کاشف، پیشگام، نه مسئول بقیه,محققا، پیشگاما، نه یه سری سرپرست,کاوشگر، پيشگام، نه متولي,.ما کاشف و پيشقدم هستيم، نه مراقب,ما مکتشفیم ، پیشگامیم ، نه سرپرستان زمین,کاوشگر، پيشگام، نه متولي
16:00,16:02,When I was a kid...,زمانی که بچه بودم، احساس میکردم هر روز دارن چیز جدیدی اختراع می‌کنن,زمانی که بچه بودم، احساس میکردم هر روز دارن چیز جدیدی اختراع می‌کنن,...وقتي که بچه بودم,زمانی که بچه بودم، احساس میکردم هر روز دارن چیز جدیدی اختراع می‌کنن,...وقتی بچه بودم,...‏وقتی من بچه بودم,وقتی یه بچه بودم، اینجوری بود انگار هر روز یه چیز جدید می سازن,...وقتي که بچه بودم,...وقتي من بچه بودم,... وقتی من بچه بودم,...وقتي که بچه بودم
16:02,16:06,it felt like they made something new every day. Some...,ایده یا ابزار,ایده یا ابزار,احساس ميکردم هر روز چيز جديدي مي‌سازن,زمانی که بچه بودم، احساس میکردم هر روز دارن چیز جدیدی اختراع می‌کنن,انگار که هر روز .یه چیز جدید درست می‌کردن,‏جوری بود که هر روز یه چیز جدید می‌ساختن,وقتی یه بچه بودم، اینجوری بود انگار هر روز یه چیز جدید می سازن,احساس ميکردم هر روز چيز جديدي مي‌سازن,طوري بود که ...انگار هرروز يه چيز جديد ساخته ميشه,احساس میکردی که ... اونا هر روز یه چیز جدید میسازن,احساس ميکردم هر روز چيز جديدي مي‌سازن
16:07,16:10,gadget or idea. Like every day was Christmas.,هر روز شبیه کریسمس بود ولی 6 بیلیون انسان,هر روز شبیه کریسمس بود ولی 6 بیلیون انسان,.يه وسيله يا يه ايده انگار هر روز کريسمسه,هر روز شبیه کریسمس بود ولی 6 بیلیون انسان,،یه وسیله‌ی مکانیکی یا یه طرح جدید .انگار که هر روز کریسمس بود,.‏یه ابزار یا ایده‌ی جدید ‏انگار هر روز کریسمس بود,یه سری ابزار یا ایده,.يه وسيله يا يه ايده انگار هر روز کريسمسه,.يه ابزار يا ايده‌ي جديد انگار هرروز کريسمس بود,هر روز یه وسیله یا یه ایده جدید در میامد انگار که همیشه کریسمس بود,.يه وسيله يا يه ايده انگار هر روز کريسمسه
16:10,16:13,But six billion people...,فکرشو بکن,فکرشو بکن,...اما 6 ميليارد نفر آدم,هر روز شبیه کریسمس بود ولی 6 بیلیون انسان,...اما 6 میلیارد آدم .فقط سعی کن تصور کنی,...‏ولی 6 میلیارد آدم ‏فقط تصورش کن,انگار هر روز کریسمس بود ،اما 6 بیلیون آدم,...اما 6 ميليارد نفر آدم,...ولي 6ميليارد نفر,... ولی شش میلیارد آدم,...اما 6 ميليارد نفر آدم
16:13,16:15,just try to imagine that.,و هر تک تکشون همه چی رو میخواستن,و هر تک تکشون همه چی رو میخواستن,.فقط سعي کن تصور کني,فکرشو بکن,...اما 6 میلیارد آدم .فقط سعی کن تصور کنی,...‏ولی 6 میلیارد آدم ‏فقط تصورش کن,فقط سعی می کنن تصورش کنن,.فقط سعي کن تصور کني,فقط سعي در تصور همين موضوع دارن,فقط تصورشو بکن ...,.فقط سعي کن تصور کني
16:16,16:19,And every last one of them trying to have it all.,و هر تک تکشون همه چی رو میخواستن,و هر تک تکشون همه چی رو میخواستن,و تک تک اونا ميخواستن همه‌ي اونا رو داشته باشن,و هر تک تکشون همه چی رو میخواستن,و هرکدومشون سعی داشتن همه‌ی .این امکانات و ابزارهای جدید رو داشته باشن,‏و تک‌تک‌شون تلاش می‌کنن ‏همه‌ چیزو داشته باشن,و همشون سعی می کنن داشته باشنش,و تک تک اونا ميخواستن همه‌ي اونا رو داشته باشن,و همشـون ميخوان که صاحب تمام اين چيزها بشن,و هر کدوم اونها سعی میکنه که همه اونها رو داشته باشه,و تک تک اونا ميخواستن همه‌ي اونا رو داشته باشن
16:21,16:23,(SIGHS),این دنیا اونقدرا هم بد نیست,این دنیا اونقدرا هم بد نیست,,این دنیا اونقدرا هم بد نیست,,,,,,,
16:23,16:25,This world isn't so bad.,,,اين دنيا اونقدر هم بد نيست,این دنیا اونقدرا هم بد نیست,.این دنیا اونقدرا هم بد نیست,‏این دنیا خیلی هم بد نیست,این دنیا اونقدارم بد نیست,اين دنيا اونقدر هم بد نيست,اين دنيا خيلي هم بد نيست,این دنیا اونقدرا هم بد نیست,اين دنيا اونقدر هم بد نيست
16:27,16:29,And Tom will do just fine.,و تام کارشو خوب بلده تویی که متعلق به اینجا نیستی,و تام کارشو خوب بلده تویی که متعلق به اینجا نیستی,و تام هم خودش رو وفق ميده,و تام کارشو خوب بلده تویی که متعلق به اینجا نیستی,"و ""تام"" از پسش برمیاد ،و مشکلی براش پیش نمیاد",،‏و تام هم مشکلی براش پیش نمیاد ‏این تویی که مال این دنیا نیستی,".و ""تام"" هم کارشو خوب انجام میده تو اونی هستی که به اینجا تعلق نداری",و تام هم خودش رو وفق ميده,و براي تام هم مشکلي پيش نمياد,و تام بهترین کار رو انجام خواهد داد,و تام هم خودش رو وفق ميده
16:29,16:34,"You're the one who doesn't belong. Born 40 years too late, or 40 years too early.",چه 40 سال زودتر بدنیا بیای، چه 40 سال دیرتر,چه 40 سال زودتر بدنیا بیای، چه 40 سال دیرتر,.تو هستي که به اينجا تعلق نداري يا 40 سال دير به دنيا اومدي يا 40 سال زود,چه 40 سال زودتر بدنیا بیای، چه 40 سال دیرتر,یا 40 سال دیر به دنیا اومدی .یا اینکه 40 سال زود به دنیا اومدی,‏چه 40 سال دیرتر به دنیا بیای ‏چه 40 سال زودتر,40 سال زودتر یا 40 سال دیرتر به دنیا اومدی,.تو هستي که به اينجا تعلق نداري يا 40 سال دير به دنيا اومدي يا 40 سال زود,.فقط تويي که به اين دوره تعلق نداري يا 40سال دير بدنيا اومدي يا بايد 40سال زودتر متولد ميشدي,تو تنها کسی هستی که به این دوره تعلق نداری یا چهل سال دیرتر به دنیا اومدی یا چهل سال زودتر,.تو هستي که به اينجا تعلق نداري يا 40 سال دير به دنيا اومدي يا 40 سال زود
16:35,16:37,"My daughter knew it, God bless her.",بچه‌هات میدونن، بخصوص مورف,بچه‌هات میدونن، بخصوص مورف,.دخترم اين رو ميدونست روحش شاد,دخترم می‌دونست. خدا رحمتش کنه,،دخترم هم اینو می‌دونست .خدا بیامرزتش,‏دخترم می‌دونست، خدا رحمتش کنه,دخترم می دونست، خدا رحتمش کنه,.دخترم اين رو ميدونست روحش شاد,دخترم اينو ميدونست، خدا رحمتـش کنه,دخترم اینو میدونست ، خدا بیامرزتش,.دخترم اين رو ميدونست روحش شاد
16:38,16:41,And your kids know it. Especially Murph.,ما عادت داشتیم به آسمون نگاه کنیم و ...به خودمون بگیم,ما عادت داشتیم به آسمون نگاه کنیم و ...به خودمون بگیم,و بچه‌هات هم اين رو ميدونن خصوصاً مورف,بچه‌هات میدونن، بخصوص مورف,"،بچه‌هات هم اینو می‌دونن .""مخصوصاً ""مورف",‏و بچه‌هات هم می‌دونن، مخصوصاً مورف,"،و بچه هات می دونن ""مخصوصا ""مرف",و بچه‌هات هم اين رو ميدونن خصوصاً مورف,بچه‌هات هم اينـو ميدونن، مخصوصاً مورف,"""بچه هاتم اینو میدونن ، مخصوصا ""مورف",و بچه‌هات هم اين رو ميدونن خصوصاً مورف
16:41,16:45,"Well, we used to look up in the sky and wonder...",ما عادت داشتیم به آسمون نگاه کنیم و ...به خودمون بگیم,ما عادت داشتیم به آسمون نگاه کنیم و ...به خودمون بگیم,...قديم‌ها عادت داشتيم به آسمان نگاه کنيم و,ما عادت داشتیم به آسمون نگاه کنیم و ...به خودمون بگیم,یه زمانی ...به آسمون نگاه می‌کردیم,...‏قبلاً به آسمون نگاه می‌کردیم و دنبال,ما عادت داشتیم به آسمون نگاه کنیم و در تعجب,...قديم‌ها عادت داشتيم به آسمان نگاه کنيم و,خب، ما قبلاً به ستاره‌ها خيره ميشديم و برامـون سوال بود,... خب ، ما عادت داشتیم به آسمان نگاه کنیم,...قديم‌ها عادت داشتيم به آسمان نگاه کنيم و
16:45,16:47,at our place in the stars.,که مکان‌مون یه جایی میان ستاره‌هاست,که مکان‌مون یه جایی میان ستاره‌هاست,به جايگاهمون بين ستارگان فکر کنيم,که مکان‌مون یه جایی میان ستاره‌هاست,و به جامون .تو ستاره‌ها فکر می‌کردیم,‏جای خودمون میون ستاره‌ها می‌گشتیم,جامون تو ستاره ها باشم,به جايگاهمون بين ستارگان فکر کنيم,که جاي ما توي ستاره‌ها کجاست,... و از جایگاهمون در میان ستارگان شگفت زده شیم,به جايگاهمون بين ستارگان فکر کنيم
16:50,16:54,Now we just look down and worry about our place in the dirt.,و نگران مکان‌مون هستیم که در کثافت غرق شده,و نگران مکان‌مون هستیم که در کثافت غرق شده,حالا فقط به پايين نگاه ميکنيم و نگران جايگاهمون بين گرد و خاک هستيم,و نگران مکان‌مون هستیم که در کثافت غرق شده,حالا باید حواسمون به این پایین باشه و .نگران خونه‌مون تو گرد و غبار باشیم,‏حالا پایین رو نگاه می‌کنیم ‏و نگران این چرک و کثافتی که توش گیر کردیم هستیم,و نگران جامون توی خاکیم,حالا فقط به پايين نگاه ميکنيم و نگران جايگاهمون بين گرد و خاک هستيم,حالا فقط به زمين خيره ميشيم و نگران جايگاهمـون روي خاک هستيم,حالا فقط به پایین نگاه میکنیم و نگران جایگاهمون در میان گرد و خاک هستیم,حالا فقط به پايين نگاه ميکنيم و نگران جايگاهمون بين گرد و خاک هستيم
16:54,16:57,"Cooper, you were good at something...",کوپر، تو در یه چیزی مهارت داری,کوپر، تو در یه چیزی مهارت داری,...کوپر. تو در کاري مهارت داشتي,کوپر، تو در یه چیزی مهارت داری,"،""کوپر"" ...تو یه چیزی خیلی خوب بودی",...‏کوپر، تو داخل یه کاری مهارت داری,"،کوپر""، تو توی یه چیزی خوب بودی""",...کوپر. تو در کاري مهارت داشتي,...کوپر، تو توي يه چيزي خيلي خوب بودي,"... کوپر"" ، تو توی یه چیزایی خیلی خوب بودی""",...کوپر. تو در کاري مهارت داشتي
16:58,17:00,and you never got a chance to do anything with it.,و فرصتشو پیدا نکردی که باهاش کاری بکنی,و فرصتشو پیدا نکردی که باهاش کاری بکنی,و هيچوقت فرصت نکردي در اون به موفقيت بزرگي برسي,و فرصتشو پیدا نکردی که باهاش کاری بکنی,اما هیچوقت فرصتی پیدا نکردی .که باهاش کاری انجام بدی,‏و هیچوقت فرصت استفاده کردن ازش ‏رو بدست نیاوردی,و هرگز فرصت نداشتی یه کاری باهاش بکنی,و هيچوقت فرصت نکردي در اون به موفقيت بزرگي برسي,و هيچ شانسي پيدا نکردي تا باهاش کاري انجام بدي,و هیچ وقت شانسی برای ... استفاده از مهارت هات نداشتی,و هيچوقت فرصت نکردي در اون به موفقيت بزرگي برسي
17:01,17:02,I'm sorry.,متاسفم,متاسفم,متاسفم,متاسفم,.متأسفم,‏متاسفم,متاسفم,متاسفم,متأسفم,متاسفم,متاسفم
17:04,17:05,WOMAN 4: You didn't expect...,...انتظار نداشتی که گرد و غبار بهت غذای آلوده بده,...انتظار نداشتی که گرد و غبار بهت غذای آلوده بده,...انتظار نداشتيم که اين خاکي که به آدم غذا ميده,...انتظار نداشتی که گرد و غبار بهت غذای آلوده بده,انتظار نداشتیم خاکی که ...از طریقش غذامون تامین میشد,‏انتظار نداشتی این خاکی که ...‏برات غذا فراهم می‌کنه,...شما انتظار ندارین این خاک که بهتون غذا می داده,...انتظار نداشتيم که اين خاکي که به آدم غذا ميده,...اصلاً انتظار نداري,... شما هیچ وقت انتظار نداشید,...انتظار نداشتيم که اين خاکي که به آدم غذا ميده
17:06,17:08,this dirt that was giving you this food...,...انتظار نداشتی که گرد و غبار بهت غذای آلوده بده,...انتظار نداشتی که گرد و غبار بهت غذای آلوده بده,...انتظار نداشتيم که اين خاکي که به آدم غذا ميده,...انتظار نداشتی که گرد و غبار بهت غذای آلوده بده,انتظار نداشتیم خاکی که ...از طریقش غذامون تامین میشد,‏انتظار نداشتی این خاکی که ...‏برات غذا فراهم می‌کنه,...شما انتظار ندارین این خاک که بهتون غذا می داده,...انتظار نداشتيم که اين خاکي که به آدم غذا ميده,...که اين خاکـي که اينهمـه بهت محصول و غذا ميده,... این خاکی که بهتون غذا میداد ...,...انتظار نداشتيم که اين خاکي که به آدم غذا ميده
