31:08,31:09,You are special.,تو دختر خاصی هستی,‫تو با بقیه فرق داری,تو دختر خاصی هستی,‫تو خیلی خاصی.,تو خاصی,
31:10,31:11,When we are wed.,باشه واسه وقتی که ازدواج کردیم,‫باشه واسه وقتی که ازدواج کردیم,باشه واسه وقتی که ازدواج کردیم,‫بعد از اینکه ازدواج کردیم.,باشه وقتی وصلت کردیم,
31:18,31:19,One condition.,یه شرط داره,‫البته یه شرط دارم,یه شرط داره,‫به یک شرط.,به یه شرط,تو خاصی
31:19,31:22,"She must desire it also, I understand.",متوجه‌ام، اون هم باید من رو بخواد,‫خودش هم باید دلش بخواد. متوجهم,متوجه‌ام، اون هم باید من رو بخواد,‫خودش هم باید موافق باشه. ‫متوجهم.,اون هم بایستی مرادش رو داشته باشه متوجه‌م,باشه وقتی وصلت کردیم
31:22,31:23,"Two conditions, then.",پس دوتا شرط داره,‫پس دو تا شرط,پس دوتا شرط داره,.پس دو تا شرط داره,پس به دو شرط,
31:24,31:25,That one you said...,یکیش اینیه که الان گفتی,‫اولیش همون که گفتی،,یکیش اینیه که الان گفتی,اولی همونی که گفتی,،همین که گفتی,
31:25,31:29,"and you must live here with me, always.",دومیش اینه که باید تا ابد همین‌جا پیشِ خودم، زندگی کنید,‫شرط دوم هم اینه که باید تاابد ‫همین‌جا پیش من بمونید,دومیش اینه که باید تا ابد همین‌جا پیشِ خودم، زندگی کنید,.دومی هم اینه که همیشه باید با من زندگی کنید,و باید که همیشه اینجا با من زندگی کنین,به یه شرط
31:30,31:33,<i>I will have a legal agreement drawn up.</i>,یه توافقنامه قانونی تنظیم می‌کنم,‫میگم یه توافق‌نامه‌ی حقوقی آماده کنن,یه توافقنامه قانونی تنظیم می‌کنم,.براش یه توافق‌نامه قانونی هم می‌نویسم,من یه عقدنامه حقوقی رو تهیه و تنظیم میکنم,اون هم بایستی مرادش رو داشته باشه متوجه‌م
31:59,32:00,Curious contract.,قرارداد عجیبیه,‫قرارداد عجیبیـه,قرارداد عجیبیه,.قرارداد عجیبیه,عقدنامه نامعمولیه,
32:00,32:02,There are several spelling errors.,چندتا غلط املایی داره,‫چند تا غلط املایی داره,چندتا غلط املایی داره,.چند تا اشتباه املایی داره,چندین غلط املایی داره,
32:03,32:07,"Immaterial to the legal bindingness of it, I assure you.",باعث زیر سوال رفتن اعتبار قانونیش نمی‌شه,‫مطمئن باشید هیچ تأثیری ‫روی الزام‌آوربودنش نداره,باعث زیر سوال رفتن اعتبار قانونیش نمی‌شه,بهتون اطمینان میدم در برابر الزامات قانونی‌ای که ایجاد می‌کنه,،از نظر اعتبار قانونی بی‌تاثیر هستن,
32:08,32:13,Must be quite a woman to warrant such binding.,لابد خانم خیلی خاصیه که شایسته‌ی همچین تعهدیه,‫حتماً زن استثنایی‌ای هست که ‫چنین الزامی رو ایجاب کرده,لابد خانم خیلی خاصیه که شایسته‌ی همچین تعهدیه,باید زن خیلی خاصی باشه .که همچین قراردادی براش نوشتید,لابد بزنم به تخته چه زنی هستن که مستلزم چنین تعهدیه,چندین غلط املایی داره
32:17,32:20,"If you'll excuse me, I need to use the facilities.",با عرض پوزش، باید برم دستشویی,‫ببخشید، باید برم سرویس بهداشتی,با عرض پوزش، باید برم دستشویی,عذر من رو می‌بخشید .باید از سرویس بهداشتی استفاده کنم,با اجازه‌تون باید دستی به آب بزنم,لابد بزنم به تخته چه زنی هستن که مستلزم چنین تعهدیه
32:21,32:24,Are you five years old that you can't hold your water?,مگه پنج سالته که نمی‌تونی ادرارت رو نگه داری؟,‫مگه ۵ سالتـه که نمی‌تونی خودت رو نگه داری؟,مگه پنج سالته که نمی‌تونی ادرارت رو نگه داری؟,مگه پنج سالته که نمی‌تونی ادرارت رو کنترل کنی؟,مگه پنج ساله‌تون هستش که نمی‌تونین آبتون رو نگه دارین؟,لابد بزنم به تخته چه زنی هستن که مستلزم چنین تعهدیه
32:24,32:29,"Weak bladder, sir. Like my father before me and his before him.",پدرم و پدربزرگم هم همین‌جوری بودن,‫مثل پدر و پدربزرگم,پدرم و پدربزرگم هم همین‌جوری بودن,.مثل پدرم و پدربزرگم,به مانند پدرم قبل از من و پدربزرگم,با اجازه‌تون باید دستی به آب بزنم
32:29,32:31,You may have prostate cancer. Look into it.,.شاید سرطان پروستات داشته باشی برو پیش دکتر,‫شاید سرطان پروستات داشته باشی. ‫برو آزمایش بده.,.شاید سرطان پروستات داشته باشی برو پیش دکتر,.ممکنه سرطان پروستات داشته باشی .یه معاینه بکن,شاید سرطان پروستات داشته باشین یه پیگیری کنینش,با اجازه‌تون باید دستی به آب بزنم
32:32,32:33,Will do.,حتما,‫به روی چشم,حتما,.حتما,میکنم,مگه پنج ساله‌تون هستش که نمی‌تونین آبتون رو نگه دارین؟
33:39,33:42,"Ms. Bella Baxter, as per your contract, no doubt.",شما بدونِ شک، بایستی همون خانم بلایی باشید که براش قرارداد تنظیم کردن,‫طبق قراردادتون، شما باید بِلا بکستر باشید,شما بدونِ شک، بایستی همون خانم بلایی باشید که براش قرارداد تنظیم کردن,.طبق مفاد قراردادتون، شما باید بلا بَکستر باشید,،خانم بلا بَکستر، به عقد‌نامه‌تون هم میاین بی هیچ شک و شبهه‌ای,
33:43,33:45,"Good afternoon, visiting man.",عصر به‌خیر مردِ مهمان,‫عصر بخیر، آقای مهمان,عصر به‌خیر مردِ مهمان,.عصر بخیر، مرد غریبه,عصر بخیر، مرد بازدیدکننده,
33:46,33:47,Want my hat?,کلاهم رو می‌خوای؟,‫کلاهم رو می‌خوای؟,کلاهم رو می‌خوای؟,کلاهم رو می‌خوای؟,کلاهم رو میخوای؟,
33:48,33:49,Would it suit me?,بهم میاد؟,‫بهم میاد؟,بهم میاد؟,بهم میاد؟,بهم میادش؟,،خانم بلا بَکستر، به عقد‌نامه‌تون هم میاین بی هیچ شک و شبهه‌ای
33:50,33:51,Yes.,آره,‫آره,آره,.آره,آره,،خانم بلا بَکستر، به عقد‌نامه‌تون هم میاین بی هیچ شک و شبهه‌ای
33:52,33:54,It is foolish good.,خیلی قشنگه,‫معرکه‌ست,خیلی قشنگه,.قشنگ شدی,به شکل مسخره‌ای خوبه,عصر بخیر، مرد بازدیدکننده
33:54,33:55,I had to meet this woman...,بایستی زنی که باعث عقد همچین قراردادی شده,‫باید زنی رو که باعث و بانی ‫عقد همچین قرارداد ازدواجی شده که,بایستی زنی که باعث عقد همچین قراردادی شده,باید زنی رو که باعث نوشته شدن همچین قراردادی که,باید این زنی که الهام‌بخش چنین,عصر بخیر، مرد بازدیدکننده
33:55,33:59,who would inspire such a contract of marriage that imprisons her.,و منجر به زندانی شدنش می‌شه رو می‌دیدم,‫عملاً حکم حبسشـه رو می‌دیدم,و منجر به زندانی شدنش می‌شه رو می‌دیدم,باعث زندانی شدنش میشه رو .از نزدیک میدیدم,،عقدنامه‌ی ازدواجی که محبوسش میکرد رو می‌دیدم,کلاهم رو میخوای؟
34:00,34:01,What you mean?,منظورت چیه؟,‫منظورت چیه؟,منظورت چیه؟,منظورت چیه؟,منظورت چیه؟,آره
34:01,34:02,You shall live here...,باید اینجا زندگی کنی,‫باید توی همین خونه زندگی کنی،,باید اینجا زندگی کنی,تو باید اینجا زندگی کنی,،تو بایدی اینجا زندگی کنی,آره
34:02,34:05,travel with Mr. Max McCandles and Baxter abroad...,و می‌تونی با آقای مکس مک‌کندلز و بکستر، به سفر خارجی بری,‫با آقای مکس مک‌کندلز و بکستر بری بیرون،,و می‌تونی با آقای مکس مک‌کندلز و بکستر، به سفر خارجی بری,به آقای مَکس مک‌کَندلز و بَکستر به خارج سفر کنی,با آقای مکس مک‌کندلز ،و بکستر میتونی به خارج از کشور سفر کنی,باید این زنی که الهام‌بخش چنین
34:06,34:07,but not go forth in the city.,ولی حق رفتن به شهر رو نداری,حق هم نداری پاتو بذاری توی شهر,ولی حق رفتن به شهر رو نداری,.ولی حق نداری به شهر بری,ولی تو این شهر پات رو بیرون نمی‌ذاری,،عقدنامه‌ی ازدواجی که محبوسش میکرد رو می‌دیدم
34:08,34:09,I see.,که این‌طور,‫که این‌طور,که این‌طور,.فهمیدم,که اینطور,،عقدنامه‌ی ازدواجی که محبوسش میکرد رو می‌دیدم
34:10,34:12,They love me tight.,بدجور دوستم دارن,‫اونها حسابی عاشقمن,بدجور دوستم دارن,.اونا خیلی دوستم دارن,سفت و سخت دوستم دارن,،تو بایدی اینجا زندگی کنی
34:12,34:13,I understand why.,حق هم دارن,‫متوجه دلیلش هستم,حق هم دارن,.الان دلیلش رو می‌فهمم,چراشو متوجه‌م,با آقای مکس مک‌کندلز ،و بکستر میتونی به خارج از کشور سفر کنی
34:14,34:15,"I have to pinch you, to see if you are real.",باید نیشگونت بگیرم ببینم واقعی هستی یا نه,‫باید نیشگونت بگیرم ‫تا ببینم واقعی هستی یا نه,باید نیشگونت بگیرم ببینم واقعی هستی یا نه,باید نیشگونت بگیرم .تا ببینم واقعی هستی یا نه,باید نیشگونت بگیرم که ببینم راستکی یا نه,با آقای مکس مک‌کندلز ،و بکستر میتونی به خارج از کشور سفر کنی
34:16,34:17,You will not...,نیشگون نگیری‌ها,‫اصلاً و ابداً…,نیشگون نگیری‌ها,...تو حق نداری,...این کار رو نمی‌کنـ,ولی تو این شهر پات رو بیرون نمی‌ذاری
34:20,34:22,Who is you?,تو کی هستی؟,‫تو کی هست؟,تو کی هستی؟,تو کی‌ای؟,تو کی هستَند؟,سفت و سخت دوستم دارن
34:24,34:26,Mr. Duncan Wedderburn.,دکتر دانکن ودربرن هستم,‫آقای دانکن وِدِربرن,دکتر دانکن ودربرن هستم,.اقای دانکِن وِدربِرن,آقای دانکن وِدِربِرن,باید نیشگونت بگیرم که ببینم راستکی یا نه
34:57,34:58,Open.,باز کن,‫باز کن,باز کن,.باز کن,باز کن,
35:09,35:10,How you get up here?,چطور اومدی این بالا؟,‫چطور اومدی اینجا؟,چطور اومدی این بالا؟,چجوری اومدی این بالا؟,چطوری پا شدی اومدی بالا؟,
35:12,35:13,I climbed.,از دیوار اومدم بالا,‫اومدم بالا,از دیوار اومدم بالا,.از دیوار اومدم,بالا انداختم,
35:32,35:33,You were watch me long?,خیلی داشتی نگاه‌م می‌کردی؟,‫خیلی وقت نگاهم می‌کردی؟,خیلی داشتی نگاه‌م می‌کردی؟,خیلی وقت بود داشتی نگام می‌کردی؟,خیلی وقت بود داشتی تماشام میکردی؟,
35:33,35:35,Not long.,خیلی که نه,‫نه چندان,خیلی که نه,.نه خیلی,خیلی وقت که نه,
35:35,35:38,"You did not see me working on myself to get happiness, did you?",ندیدی دارم روی خودم کار می‌کنم,‫ندیدی که داشتم ‫به خودم حال می‌دادم، مگه نه؟,ندیدی دارم روی خودم کار می‌کنم,تو که ندیدی داشتم با خودم ور می‌رفتم,تو که ندیدی من ،مشغول ور رفتن به خودم باشم,
35:39,35:41,"It is not polites, I know.",کار متمدنانه‌ای نیست,‫حرکت باکلاسی نیست، خودم می‌دونم,کار متمدنانه‌ای نیست,.مؤدبانه نیست، می‌دونم,متمدنانه نیست، میدونم,
35:47,35:49,Do not care for polite society.,جامعه مدرن برام مهم نیست,‫از جامعه‌ی باکلاس خوشم نمیاد,جامعه مدرن برام مهم نیست,.من به ادب اهمیتی نمیدم,من که به جامعه‌ای متمدنانه اهمیت نمیدم,تا شاد بشم، مگه نه؟
35:49,35:50,It's fucking boring.,حوصله سربره,‫خیلی حوصله‌سربره,حوصله سربره,.حوصله آدمو سر می‌بَره,تا حد بگایی خسته‌کننده‌ست,متمدنانه نیست، میدونم
35:51,35:52,Destroys one's soul.,روح آدم رو نابود می‌کنه,‫روح آدم رو نابود می‌کنه,روح آدم رو نابود می‌کنه,.روح آدمو پژمرده می‌کنه,روح آدم رو نابود میکنه,متمدنانه نیست، میدونم
35:53,35:55,God not believe in soul.,گاد به روح باور نداره,گاد به روح اعتقاد نداره,گاد به روح باور نداره,.گاد به روح اعتقاد نداره,خدا به روح اعتقاد نداره,
35:56,36:00,I think God's the actual author of the soul idea.,فکرکنم خدا خودش نگارنده‌ی مفهومِ روحه,‫از نظر من خود خدا روح رو تعریف کرده,فکرکنم خدا خودش نگارنده‌ی مفهومِ روحه,.ولی فکر کنم گاد خودش خالق ایده روح باشه,به گمونم همین خدا مؤلف ایده روحه,من که به جامعه‌ای متمدنانه اهمیت نمیدم
36:00,36:02,Godwin Baxter?,گادوین بکستر رو می‌گی؟ [ گاد = خدا ],‫گادوین بکستر رو میگی؟,گادوین بکستر رو می‌گی؟ [ گاد = خدا ],گادوین بَکستِر؟,"گادوین بکستر؟ <font face=""Calibri"" color=""#fdffae""><b>(معنی خدا میده)</b></font>",روح آدم رو نابود میکنه
36:02,36:04,That burnt dog.,اون سگ سوخته رو می‌گی,‫همون سگ‌چهره,اون سگ سوخته رو می‌گی,.اون سگ سوخته,همون سگ از کار افتاده,روح آدم رو نابود میکنه
36:04,36:05,What is that story?,داستانش چیه؟,‫یه داستانی هست ها، چیه؟,داستانش چیه؟,قضیه‌اش چیه؟,داستان از چه قراره؟,خدا به روح اعتقاد نداره
36:06,36:09,You are a prisoner and I aim to free you.,تو یه زندانی هستی و من هم می‌خوام آزادت کنم,‫تو زندانی هستی، ‫من هم می‌خوام آزادت کنم,تو یه زندانی هستی و من هم می‌خوام آزادت کنم,تو یه زندانی هستی .و من می‌خوام آزادت کنم,تو یه زندانی‌ای و منم هدفم آزاد کردنته,به گمونم همین خدا مؤلف ایده روحه
36:11,36:14,"Something in you, some hungry being...",یک عطشی درونته,‫یه چیزی توی وجودت هست، ‫یه عطشِ خاصی،,یک عطشی درونته,یه چیزی درون تو هست یه چیز تشنه,،یه چیزی درونته ،یه موجود عطش‌دار,همون سگ از کار افتاده
36:14,36:17,"hungry for experience, freedom, touch.",تشنه‌ی تجربه، آزادی و لمس هستی,‫عطشِ تجربه، آزادی، لمس,تشنه‌ی تجربه، آزادی و لمس هستی,تشنه برای تجربه کردن، آزاد بودن .حس کردن,عطش تجربه، آزادی، لمس شدن,داستان از چه قراره؟
36:17,36:19,To see the unknown and know it.,می‌خوای ناشناخته‌ها رو ببینی و بشناسی‌شون,‫عطش دیدن و شناختنِ ناشناخته‌ها,می‌خوای ناشناخته‌ها رو ببینی و بشناسی‌شون,.تشنه دیدن ناشناخته‌ها و شناختن‌شون,تا که ناشناخته‌ها رو ببینی و بشناسیشون,تو یه زندانی‌ای و منم هدفم آزاد کردنته
36:20,36:22,"So, why am I here, you ask?",احتمالا برات سواله که چرا اینجام,‫حالا می‌پرسی من اینجا چیکار می‌کنم، آره؟,احتمالا برات سواله که چرا اینجام,ازم می‌پرسی چرا اومدم اینجا؟,پس سوالت اینه من برای چی اینجام؟,،یه چیزی درونته ،یه موجود عطش‌دار
36:23,36:26,I'm going to Lisbon on Friday. I'd like you to come.,.روز جمعه می‌رم لیسبون دوست دارم باهام بیای,‫من جمعه میرم لیسبون. ‫دوست دارم تو هم بیای.,.روز جمعه می‌رم لیسبون دوست دارم باهام بیای,.من جمعه دارم میرم لیسبون .دوست دارم تو هم بیای,جمعه راهی لیسبون هستم دوست دارم تو هم بیای,عطش تجربه، آزادی، لمس شدن
36:26,36:28,Lisbon of Portugal?,لیسبون، پایتخت پرتغال؟,‫لیسبونِ پرتغال؟,لیسبون، پایتخت پرتغال؟,لیسبون پرتقال؟,لیسبونِ پرتغال؟,تا که ناشناخته‌ها رو ببینی و بشناسیشون
36:28,36:30,That is the Lisbon I speak of.,خودِ خودشه,‫خودِ خودشـه,خودِ خودشه,.دقیقا منظورم همون لیسبونه,این همون لیسبونی که روی صحبتمه,تا که ناشناخته‌ها رو ببینی و بشناسیشون
36:32,36:33,God never allow it.,گاد اجازه نمی‌ده,گاد اجازه نمیده,گاد اجازه نمی‌ده,.گاد عمرا اجازه نمیده,خدا محاله اجازه‌ش رو بده,پس سوالت اینه من برای چی اینجام؟
36:36,36:37,That's why I'm not asking him.,واسه همینه که از اون نخواستم,‫برای همین هم نرفتم به اون بگم,واسه همینه که از اون نخواستم,.واسه همین نمی‌خوام ازش اجازه بگیرم,برای همینم از اون نیست که دارم میپرسم,لیسبونِ پرتغال؟
36:39,36:40,I'm asking you.,از تو خواستم باهام بیای,‫دارم به تو میگم,از تو خواستم باهام بیای,.دارم به تو میگم,از توئه که دارم میپرسم,این همون لیسبونی که روی صحبتمه
36:42,36:44,"Bella not safe with you, I think.",فکر کنم بلا پیش تو اصلا در امان نیست,‫به‌نظرم بِلا پیش تو در امان نیست,فکر کنم بلا پیش تو اصلا در امان نیست,.بلا با تو امن نیست، فکر کنم,بلا پیش تو در امان نیست، گمونم,خدا محاله اجازه‌ش رو بده
36:45,36:48,You are absolutely... not.,دقیقا همین‌طوره,‫مطمئن باش که… نیستی,دقیقا همین‌طوره,.صد درصد... نیست,بی‌تردید... هم نیستی,برای همینم از اون نیست که دارم میپرسم
37:03,37:06,"May I have a moment of value time, dear God?",می‌شه چند لحظه وقتت رو در اخیتارم بذاری، گاد عزیز؟,‫میشه یه لحظه از ‫وقت گران‌بهات رو بگیرم، گاد؟,می‌شه چند لحظه وقتت رو در اخیتارم بذاری، گاد عزیز؟,میشه یک لحظه وقت باارزشت رو بگیرم گاد عزیز؟,ممکنه لحظه‌ای از وقت گرانبهات رو به من بدی، خدای عزیز؟,
37:06,37:08,"Of course, Bella.",البته که می‌شه بلا,‫چرا نشه، بلا؟!,البته که می‌شه بلا,.البته، بلا,حتما بلا,
37:08,37:10,I wanted to tell you big news.,می‌خواستم یه خبر مهم بهت بدم,‫یه خبر مهم واست دارم,می‌خواستم یه خبر مهم بهت بدم,.می‌خوام یه خبر گنده بهت بگم,میخواستم یه خبر گنده‌ای رو بهت بدم,
37:11,37:13,Bella is dizzy with excite.,بلا سرخوش و هیجان زده‌ست,‫بِلا از هیجان تو پوست خودش نمی‌گنجه,بلا سرخوش و هیجان زده‌ست,.بلا خیلی هیجان داره,بلا از فرط هیجان سرسام گرفته,
37:13,37:14,What is it?,چی شده؟,‫چی شده؟,چی شده؟,چی شده؟,قضیه چیه؟,ممکنه لحظه‌ای از وقت گرانبهات رو به من بدی، خدای عزیز؟
37:14,37:16,"Tonight, at midnight...",...نیمه‌شب,‫امشب، ساعت ۱۲,...نیمه‌شب,امشب، نیمه شب,،امشب، در نیمه‌شب,ممکنه لحظه‌ای از وقت گرانبهات رو به من بدی، خدای عزیز؟
37:17,37:20,I secretly run away with one Duncan Wedderburn.,قایمکی با یه دانکن ودربرن فرار می‌کنم,‫قراره یواشکی با دانکن ودربرن فرار کنم,قایمکی با یه دانکن ودربرن فرار می‌کنم,.می‌خوام مخفیانه با دانکن ودربرن فرار کنم,،بلا در خفا با دانکن ودربرن نامی فرار میکنه,میخواستم یه خبر گنده‌ای رو بهت بدم
37:20,37:21,What?,چی؟,‫چی؟,چی؟,چی؟,چی؟,بلا از فرط هیجان سرسام گرفته
37:22,37:23,You will wish to stop me.,دلت می‌خواد جلوم رو بگیری,‫تو می‌خوای جلومو بگیری,دلت می‌خواد جلوم رو بگیری,.تو هم می‌خوای جلوم رو بگیری,تو میخوای که جلوم رو بگیری,بلا از فرط هیجان سرسام گرفته
37:23,37:24,I shall stop you.,جلوت رو که می‌گیرم,‫معلومـه که جلوتو می‌گیرم,جلوت رو که می‌گیرم,.حتما جلوت رو می‌گیرم,می‌بایست هم جلوت رو بگیرم,قضیه چیه؟
37:24,37:26,You hold Bella too tight.,خیلی بلا رو محدود کردی,‫تو بِلا رو توی قفس حبس کردی,خیلی بلا رو محدود کردی,.تو خیلی سفت بلا رو می‌گیری,تو خیلی سفت بلا رو چسبیدی,،امشب، در نیمه‌شب
37:27,37:28,I must set forth into waters.,باید دل رو به دریا بزنم,‫باید پَر بکِشم و دنیا رو ببینم,باید دل رو به دریا بزنم,.من باید از آب‌ها رد بشم,من باید عازم آب‌ها بشم,،بلا در خفا با دانکن ودربرن نامی فرار میکنه
37:29,37:30,We can travel.,می‌تونیم سفر کنیم,‫می‌تونیم بریم سفر,می‌تونیم سفر کنیم,.ما هم می‌تونیم سفر کنیم,ما هم می‌تونیم سفر کنیم,،بلا در خفا با دانکن ودربرن نامی فرار میکنه
37:30,37:33,"You, me, and Max whom, I will remind you...",.با من و مکس سفر می‌کنی یادت باشه، مکس,‫من و تو و مکس. ‫یادت نره که,.با من و مکس سفر می‌کنی یادت باشه، مکس,تو، من و مَکس که باید بهت یادآوری کنم,من، تو و مکس ،که باید یادت بندازم که,چی؟
37:33,37:34,you are betrothed to.,نشون‌شده‌ی توئه,‫تو نامزد مکسی,نشون‌شده‌ی توئه,.تو الان نامزدشی,شما نامزد کردین,می‌بایست هم جلوت رو بگیرم
37:34,37:36,I will marry Max...,با مکس که ازدواج می‌کنم,‫من با مکس ازدواج می‌کنم،,با مکس که ازدواج می‌کنم,من با مکس ازدواج می‌کنم,،من با مکس ازدواج میکنم,تو خیلی سفت بلا رو چسبیدی
37:36,37:38,as he seems right for that...,فرد مناسبی هم هست,‫چون به‌نظر شخص مناسبیـه،,فرد مناسبی هم هست,چون اون مناسبه,،از اونجا که برای این کار جور به نظر میاد,من باید عازم آب‌ها بشم
37:39,37:42,"but first, I shall adventure on Duncan Wedderburn...",ولی قبلش باید با دانکن ودربرن به یک سفر ماجراجویانه برم,‫ولی قبلش، با دانکن ودربرن میرم سفر,ولی قبلش باید با دانکن ودربرن به یک سفر ماجراجویانه برم,ولی اول، می‌خوام با دانکن ودربرن ماجراجویی کنم,ولی اول باید که ،با دانکن ودربرن ماجراجویی کنم,من، تو و مکس ،که باید یادت بندازم که
37:42,37:46,"who, I think, cares little of damage to me...",که حس می‌کنم آسیب دیدنم زیاد براش مهم نیست,‫به‌نظرم اون چندان مراقبم نیست،,که حس می‌کنم آسیب دیدنم زیاد براش مهم نیست,البته اون براش مهم نیست که بهم آسیب بزنه,کسی که فکر کنم ،به آسیبی که بهم میزنه، اهمیت چندانی نمیده,،من با مکس ازدواج میکنم
37:46,37:50,but will be interesting as well.,ولی خب جالب می‌شه,‫منتها خب، واسم جالبـه,ولی خب جالب می‌شه,.ولی حتما خوش می‌گذره,ولی به همون اندازه هم جالب در خواهد اومد,،از اونجا که برای این کار جور به نظر میاد
37:50,37:52,I can't let you go.,نمی‌تونم بذارم بری,‫نمی‌تونم بذارم بری,نمی‌تونم بذارم بری,.نمی‌تونم بذارم بری,نمی‌تونم بذارم بری,ولی اول باید که ،با دانکن ودربرن ماجراجویی کنم
37:58,38:00,Kiss me and set me forth.,ببوسم و بدرقه‌م کن,‫بوسم کن و بذار پر بکِشم,ببوسم و بدرقه‌م کن,.بوسم کن و بذار برم,منو ببوس و بدرقه‌م کن,ولی به همون اندازه هم جالب در خواهد اومد
38:01,38:02,If you do not...,اگه چنین نکنی,‫اگه نذاری،,اگه چنین نکنی,اگه نذاری,،اگر که نکنی,نمی‌تونم بذارم بری
38:03,38:07,Bella's insides shall turn rotten with hate.,وجود بلا سرشار از نفرت و سیاه می‌شه,‫نفرت مثل خوره وجودِ بِلا رو می‌خوره,وجود بلا سرشار از نفرت و سیاه می‌شه,.درون بلا با تنفر پوسیده میشه,باطن بلا از نفرت پوسیده میشه,
38:07,38:09,- Hate? - Hate.,نفرت؟ - نفرت -,‫- نفرت؟ ‫- نفرت؟,نفرت؟ - نفرت -,تنفر؟ - .تنفر -,نفرت؟ - نفرت -,منو ببوس و بدرقه‌م کن
38:18,38:19,"Unpack those bags, Prim.",چمدون‌ها رو باز کن، پریم,‫چمدون‌هاشو خالی کن، پریم,چمدون‌ها رو باز کن، پریم,.چمدون‌ها رو باز کن، پریم,این چمدونا رو باز کن، پریم,نفرت؟ - نفرت -
38:20,38:21,Godwin has told me your plan.,گادوین برنامه‌ت رو بهم گفته,‫گادوین بهم گفته می‌خوای چیکار کنی,گادوین برنامه‌ت رو بهم گفته,.گادوین بهم گفت می‌خوای چیکار کنی,گادوین برنامه‌ت رو برام تعریف کرد,
38:22,38:23,"I do not blame you, Bella.",سرزنشت نمی‌کنم، بلا,‫تقصیر تو نیست، بلا,سرزنشت نمی‌کنم، بلا,.من سرزنشت نمی‌کنم، بلا,از چشم تو نمی‌بینم، بلا,
38:23,38:25,That man is a cad and a rake.,اون آدم، مرد پست و زن‌بازیه,‫طرف یه عیاشِ کثافتـه,اون آدم، مرد پست و زن‌بازیه,.اون مرد خیلی یه مار خوش خط و خاله,اون مرد یه بدکِردار با زنان و یه عیاشه,
38:25,38:28,He has insidious ways of getting under a naive woman's skin.,که بره زیر پوست یه زنِ ساده لوح [ اصطلاح از گول زدن ],‫یه زن ساده رو از راه به‌در می‌کنه,که بره زیر پوست یه زنِ ساده لوح [ اصطلاح از گول زدن ],.سوء استفاده از یه زن ساده داره,برای رفتن زیر جلد یه زنِ از همه‌جا بی‌خبر داره,این چمدونا رو باز کن، پریم
38:28,38:30,It is mostly his eyes on mine.,بیش‌تر نگاهش بهم بود,‫بیشتر چون به بِلا زل می‌زنه و,بیش‌تر نگاهش بهم بود,بیشتر وقت‌هاییه که بهم زل میزنه,اکثرا اینطوره که چشماش تو چشمای منه,این چمدونا رو باز کن، پریم
38:30,38:33,And his hands when between Bella's legs...,و دست‌هاش بین پاهای بلا,‫دست‌هاشو می‌بره بین پاهام و,و دست‌هاش بین پاهای بلا,و دست‌هاش رو می‌بره لای پاهای بلا,همون وقت هم موقعی‌ـه که دستاش ،لای لنگای بلائه,از چشم تو نمی‌بینم، بلا
38:34,38:36,and whisper words I can't hear...,و کلماتی رو زمزمه می‌کرد که از فرط داغ بودن بدنم,‫در گوشم یه چیزهایی ‫پچ‌پچ می‌کنه که نمی‌شنوم,و کلماتی رو زمزمه می‌کرد که از فرط داغ بودن بدنم,و کلماتی رو زمزمه می‌کنه که نمی‌تونم بشنوم,،و کلماتی رو زیر لب میگه که نمی‌شنومشون,اون مرد یه بدکِردار با زنان و یه عیاشه
38:36,38:38,but heat in my body.,نمی‌تونستم بشنوم,‫بدنم داغ می‌کنه,نمی‌تونستم بشنوم,.ولی بدنم رو داغ می‌کنه,ولی بدنم رو تحریک میکنن,برای رفتن زیر جلد یه زنِ از همه‌جا بی‌خبر داره
38:38,38:39,"Jesus, Bella.",وای خدا، بلا,‫یا خدا، بِلا,وای خدا، بلا,.خدای من، بلا,پروردگارا، بلا,اکثرا اینطوره که چشماش تو چشمای منه
38:40,38:41,We are engaged.,.ما نامزد کردیم من دوستت دارم,‫ما نامزد کردیم. من عاشقتم,.ما نامزد کردیم من دوستت دارم,.ما باهم نامزد کردیم .من دوستت دارم,ما نامزدیم من دوستت دارم,اکثرا اینطوره که چشماش تو چشمای منه
38:41,38:42,I love you.,.ما نامزد کردیم من دوستت دارم,‫ما نامزد کردیم. من عاشقتم,.ما نامزد کردیم من دوستت دارم,.ما باهم نامزد کردیم .من دوستت دارم,ما نامزدیم من دوستت دارم,همون وقت هم موقعی‌ـه که دستاش ،لای لنگای بلائه
38:42,38:44,"And when I return, we marriage...",و وقتی برگردم، ازدواج می‌کنیم,‫وقتی برگردم ازدواج می‌کنیم,و وقتی برگردم، ازدواج می‌کنیم,و وقتی برگشتم، ما عروسی می‌کنیم,و وقتی برگشتم، ازدواج می‌کنیم,همون وقت هم موقعی‌ـه که دستاش ،لای لنگای بلائه
38:44,38:46,and be happy as two doves on a branch.,و مثل دوتا کبوتر عاشق خوش‌حال خواهیم بود,‫و مثل دو تا کفتر عاشق ‫کنار هم خوشبخت میشیم,و مثل دوتا کبوتر عاشق خوش‌حال خواهیم بود,و مثل دو تا کبوتر روی شاخه درخت .خوشبخت میشیم,و مثل دو کفتر روی شاخه‌ای خوشبخت میشیم,،و کلماتی رو زیر لب میگه که نمی‌شنومشون
