Start Time,End Time,English,Dune (2021) WebDl - UTF-8 [EDITED].srt,Dune 2021.srt,Dune. 2021.srt,Dune.2021. BluRay.srt,Dune.2021.1080p.BluRay.1600MB.DD2.0.x264-GalaxyRG.srt,Dune.2021.1080p.BluRay.REMUX.AVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT.srt,Dune.2021.1080p.BluRay.srt,Dune.2021.1080p.HMAX.WEB-DL.DDP5.1.Atmos.x264-EVO.Fa.srt,Dune.2021.1080p.HMAX.WEB-DL.v7[UTF-8].srt,Dune.2021.720p.1080p.720p.HMAX.WEB-DL.srt,Dune.2021.720p.1080p.BluRay.Fa.srt,Dune.2021.720p.BluRay.900MB.x264-GalaxyRG.srt,Dune.2021.BRRip.x264-ION10.srt,Dune.2021.BluRay.Per-SAHEB.srt,Dune.2021.BluRay.[@cinama_bestt].srt,Dune.2021.BluRay.srt,Dune.2021.HMAX.WEB-DL.Fa[UTF-8]v6.srt,Dune.2021.HMAX.WEB-DL.Per-SAHEB.srt,Dune.2021.WEB-DL.AC3-EVO.srt,Dune.2021._BluRay.v7[UTF-8].srt
45:05,45:08,<i>which emulates the natural sounds of the desert.</i>,.که صداهای طبیعیِ بیابان رو تقلید می‏کنه...,‫نا امیدتون کردم قربان. هیچ عذری ندارم.,‫صدای طبیعیـه صحرا را شبیه‌سازی میکند.,‫صدای طبیعیـه صحرا را شبیه‌سازی میکند.,<i>که صدای صحرای طبیعی را تولید میکند</i>,که با صدای طبیعی صحرا برابری میکنه,‫که صدای طبیعی بیابان را تداعی می‌کند.,‫که صداهای طبیعی صحرا را تقلید می‌کند,که صدایی شبیه صداهای طبیعی صحرا ایجاد می‌کند,<i>که صدای طبیعی صحرا را تقلید می‌کند</i>,<i>که صدای طبیعی صحرا را تقلید می‌کند</i>,‫که صداهای طبیعی صحرا را تقلید می‌کند,<i>که صدای صحرای طبیعی را تولید میکند</i>,که صداهای عادی بیابان را شبیه‌سازی می‌کند.‏,<i>که با صداهای طبیعی صحرا برابری میکند</i>,<i>که از صداهای طبیعی صحرا تقلید می‌کند</i>,که صدایی شبیه صداهای طبیعی صحرا ایجاد می‌کند,که صداهای عادی بیابان را شبیه‌سازی می‌کند.‏,<i>...که صدایی مانند صداهای طبیعی بیابان تولید می‌کند.</i>,که صدایی شبیه صداهای طبیعی صحرا ایجاد می‌کند
45:09,45:12,<i>What scant plant life exists on Arrakis</i>,اندک حیات گیاهی‏ای که روی آراکیس ،هست، به لطفِ فرِمِن‏هاست,‫استعفا میدم,‫فِرِمِن‌ها موفق شده‌اند که گیاهان کمیابی را در «آراکیس» کشت کنند.,‫فِرِمِن‌ها موفق شده‌اند که گیاهان کمیابی را در «آراکیس» کشت کنند.,<i>وجود هرگونه پوشش گیاهی در آراکیس به لطف فریمن هاست</i>,همین حیات کوچیکی هم که توی آراکیس وجود داره,‫همین حیات گیاهی ناچیزی هم ‫که در آراکیس یافت میشود,‫زندگی گیاهی کمی که در آراکیس وجود دارد ‫به لطف فرمن‌هاست،,حیات گیاهیِ معدودی که ...در اراکیس وجود دارد,<i>آراکیس اندک پوشش گیاهی موجودش را مدیونِ فرمن‌هایی است که</i>,<i>آراکیس اندک پوشش گیاهی موجودش را مدیونِ فرمن‌هایی است که</i>,‫زندگی گیاهی کمی که در آراکیس وجود دارد ‫به لطف فرمن‌هاست،,<i>وجود هرگونه پوشش گیاهی در آراکیس به لطف فریمن هاست</i>,به لطف فرمن‌ها حیات محدودی از گیاهان در آراکیس وجود دارد،‏,<i>هر زندگی گیاهی کمیابی که در آراکیس وجود داره  به لطف فرمن هستش</i>,<i>پوشش گیاهی اندکی که در آراکیس وجود دارد</i>,حیات گیاهی معدودی که ...در آراکیس وجود دارد,به لطف فرمن‌ها حیات محدودی از گیاهان در آراکیس وجود دارد،‏,<i>پوشش گیاهی آراکیس ناچیز است، و همین پوشش ناچیز هم مرهون وجود حره‌مردان است.</i>,حیات گیاهیِ معدودی که ...در اراکیس وجود دارد
45:12,45:13,"<i>is thanks to the Fremen,</i>",که گیاهان زمینی ژرف‏ریشه ،پرورش داده‏اند,‫- میخوای ما رو از تواناییت محروم کنی؟ ‫- قربان، به‌خاطر عزت و آبروم...,‫فِرِمِن‌ها موفق شده‌اند که گیاهان کمیابی را در «آراکیس» کشت کنند.,‫فِرِمِن‌ها موفق شده‌اند که گیاهان کمیابی را در «آراکیس» کشت کنند.,<i>وجود هرگونه پوشش گیاهی در آراکیس به لطف فریمن هاست</i>,،به لطف فرمن هاست,‫به لطف وجود فرمن‌هاست,‫زندگی گیاهی کمی که در آراکیس وجود دارد ‫به لطف فرمن‌هاست،,...به لطف فره‌من‌هاست,<i>،در زمین گیاهان ریشه‌دار کاشته‌اند</i>,<i>آراکیس اندک پوشش گیاهی موجودش را مدیونِ فرمن‌هایی است که</i>,‫زندگی گیاهی کمی که در آراکیس وجود دارد ‫به لطف فرمن‌هاست،,<i>وجود هرگونه پوشش گیاهی در آراکیس به لطف فریمن هاست</i>,به لطف فرمن‌ها حیات محدودی از گیاهان در آراکیس وجود دارد،‏,<i>هر زندگی گیاهی کمیابی که در آراکیس وجود داره  به لطف فرمن هستش</i>,<i>به لطف فره‌من‌هاست</i>,...که درختانی با ریشه‌های عمیق کاشته‌اند,آنها گیاهانی بلند ریشه‌ را در منطقه کشت کرده‌اند،‏,<i>آنها گونه‌های گیاهی زمینی‌ عمیق‌ریشه را در سطح سیاره پرورش داده‌اند.</i>,...به لطف فره‌من‌هاست
45:13,45:16,<i>who have cultivated deep-rooted terranic plants</i>,که گیاهان زمینی ژرف‏ریشه ،پرورش داده‏اند,‫اونها میخواستم پسرمو بکشن!,‫گیاهان مناسب آب‌و‌هوای خشک، با ریشه هایی عمیق..,‫گیاهان مناسب آب‌و‌هوای خشک، با ریشه هایی عمیق..,<i>که گیاهان ناحیه ای با ریشه طویل کشت کردن</i>,که گیاهان ترانیک زیادی,‫که در این سیاره به پرورش ‫گیاهان ریشه‌دار پرداخته‌اند,‫که بوته‌های عمیق‌ریشه را ‫در زمین کاشته‌اند،,...که درختانی با ریشه‌های عمیق کاشته‌اند,<i>،در زمین گیاهان ریشه‌دار کاشته‌اند</i>,<i>،در زمین گیاهان ریشه‌دار کاشته‌اند</i>,‫که بوته‌های عمیق‌ریشه را ‫در زمین کاشته‌اند،,<i>که گیاهان ناحیه ای با ریشه طویل کشت کردن</i>,آنها گیاهانی بلند ریشه‌ را در منطقه کشت کرده‌اند،‏,<i>که گیاهان ناحیه ای ریشه دار رو کاشته</i>,<i>که گیاهانی با ریشه‌های عمیق کاشته‌اند</i>,...که درختانی با ریشه‌های عمیق کاشته‌اند,آنها گیاهانی بلند ریشه‌ را در منطقه کشت کرده‌اند،‏,<i>آنها گونه‌های گیاهی زمینی‌ عمیق‌ریشه را در سطح سیاره پرورش داده‌اند.</i>,...که درختانی با ریشه‌های عمیق کاشته‌اند
45:17,45:19,"<i>such as saguaro, burrobush,</i>",،مانند ساگوآرو، کهنه‌واش,‫اهمیتی به عزت و آبروت نمیدم. ‫میخوای بخشیده بشی؟ جاسوس‌ها رو بگیر.,‫مثل، کاکتوس و رگ‌وید.,‫مثل، کاکتوس و رگ‌وید.,<i>مانند بوته های کاکتوس و گیاه باقلا</i>,(مثل ساگوارو،بروبوش(اونواع کاکتوس,‫مانند ساگوارو، بوروبوش،,‫مثل ساگوارو، بورو بوش,...درختانی مثل ساگوارو، بوته‌ی کهنه‌واش,<i>،مثل ساگوارو، بروبوش</i>,<i>،مثل ساگوارو، بروبوش</i>,‫مثل ساگوارو، بورو بوش,<i>مانند بوته های کاکتوس و گیاه باقلا</i>,گیاهانی نظیر ساگوآرو، بروبوش،‏,<i>مثل ساگوارو، بوربوش</i>,<i>مثل ساگوارو، بروبوش</i>,...درختانی مثل ساگوارو، بوته‌ی کهنه‌واش,گیاهانی نظیر ساگوآرو، بروبوش،‏,<i>گونه‌هایی مانند ساگوارو، بوته‌ی بورو،...</i>,...درختانی مثل ساگوارو، بوته‌ی کهنه‌واش
45:20,45:23,<i>sand-verbena and incense bush.</i>,.شاه‏پسند شن‏زی و بوته بخور,‫سرورم.,‫بوته‌ها و گیاهان شنزار,‫بوته‌ها و گیاهان شنزار,<i>بوته های شنی و عود</i>,گل شاهپسند صحرایی و بوته های خوشبو، کاشتن,‫ماشه‌شاه‌پسند و بوته عود.,‫سند واربینا و اینسنس بوش,شاه‌پسند شن‌زی و بوته‌ی عود,<i>شاه‌پسند ماسه‌ای و بوتۀ عود</i>,<i>شاه‌پسند ماسه‌ای و بوتۀ عود</i>,‫سند واربینا و اینسنس بوش,<i>بوته های شنی و عود</i>,شاه‌پسند شن‌زی و اینسنس‌بوش.‏,<i> گل شاه پسند شنی و بوته اینسنس  </i>,<i>شاه‌پسند ماسه‌ای و بوته‌ی عود</i>,شاه‌پسند شن‌زی و بوته‌ی عود,شاه‌پسند شن‌زی و اینسنس‌بوش.‏,<i>...گل شاه‌پسند صحرایی و بوته‌ی عنبر.</i>,شاه‌پسند شن‌زی و بوته‌ی عود
45:24,45:27,"<i>The shepherd's tree has the deepest documented roots,</i>",درختِ شبان ژرف‏ترین ریشه‏های ،ثبت‏شده رو داره,,‫درخت چوپان عمیق‌ترین ریشه را دارد...,‫درخت چوپان عمیق‌ترین ریشه را دارد...,<i>درخت چوپان عمیق ترین ریشه های ثبت شده را دارد</i>,درخت چوپان، که عمیق ترین ریشه ثبت شده رو داره,‫درخت چوپان، بلندترین ‫ریشه‌های ثبت‌شده را دارد,‫درخت شپرد، ‫دارای عمیق‌ترین ریشه ثبت شده است،,درخت چوپان ...عمیق‌ترین ریشه‌ی ثبت‌شده را دارد,<i>درخت شبان دارای عمیق‌ترین ریشۀ مستند است</i>,<i>درخت شبان دارای عمیق‌ترین ریشۀ مستند است</i>,‫درخت شپرد، ‫دارای عمیق‌ترین ریشه ثبت شده است،,<i>درخت چوپان عمیق ترین ریشه های ثبت شده را دارد</i>,درخت «شپرد» عمیق‌ترین ریشه‌های ثبت شده را بین این گیاهان دارد,<i>درخت چوپان عمیق ترین ریشه ی ثبت شده رو داره</i>,<i>درخت چوپان</i> <i>که دارای عمیق‌ترین ریشه‌ی ثبت شده است</i>,درخت چوپان ...عمیق‌ترین ریشه‌ی ثبت‌شده را دارد,درخت «شپرد» عمیق‌ترین ریشه‌های ثبت شده را بین این گیاهان دارد,<i>عمیق‌ترین ریشه‌ی ثبت شده متعلق به درخت چوپان است...</i>,درخت چوپان ...عمیق‌ترین ریشه‌ی ثبت‌شده را دارد
45:27,45:30,<i>stretching more than 450 feet deep.</i>,.بیش از 137 متر عمق داره,‫این چیز باید بره.,‫که تا ۴۵۰ فوت هم میرسد,‫که تا ۴۵۰ فوت هم میرسد,<i>که طولش به بیش از ۱۳۷ متر می‌رسه</i>,که تا بیش از 450 پا ریشه داره,‫که گاهی از 137 متر هم بیشتر میشود.,‫که تا بیش از ۱۴۰ متر هم می‌رسد,که تا عمقی بیش از ۱۳۵ متر گسترش می‌یابند,<i>که بیش از 135 متر عمق دارد</i>,<i>که بیش از 135 متر عمق دارد</i>,‫که تا بیش از ۱۴۰ متر هم می‌رسد,<i>که طولش به بیش از ۱۳۷ متر می‌رسه</i>,طول ریشه‌های آن به 137 متر نیز می‌رسد.‏,<i>بیش از چهارصد و پنجاه فوت کشیده میشه</i>,<i>بیش از 137 متر عمق دارد</i>,که تا عمقی بیش از 135 متر گسترش می‌یابند,طول ریشه‌های آن به 137 متر نیز می‌رسد.‏,<i>...که بیش از 450 پا در خاک پیشروی می‌کند.</i>,که تا عمقی بیش از ۱۳۵ متر گسترش می‌یابند
45:32,45:33,<i>These plants cling to life</i>,این گیاهان در زمین‏های خشکیده‏ای که کمبودِ .مواد مغذی دارند، به سختی زیست می‏کنند,‫نترس، میتونی حرفت رو بزنی ‫حیوون ما زبون شما رو نمیفهمه.,‫این گیاهان در مکان‌هایی که فاقد مواد مغذی‌ست رشد کرده اند,‫این گیاهان در مکان‌هایی که فاقد مواد مغذی‌ست رشد کرده اند,<i>این گیاهان در مکانهایی که فاقد مواد مغذی هستند رویش میکنن</i>,این گیاه ها توی زمین های خشک,‫این گیاهان به سختی,‫در چشم‌انداز خشک و عاری از مواد مغذی،,این گیاهان در زمین‌های خشک و فاقد مواد مغذی به‌سختی زنده مانده‌اند,<i>این گیاهان در منطقه‌ای خشک و در کمبود مواد غذایی به‌سختی زندگی می‌کنند</i>,<i>این گیاهان در منطقه‌ای خشک و در کمبود مواد غذایی به‌سختی زندگی می‌کنند</i>,‫در چشم‌انداز خشک و عاری از مواد مغذی،,<i>این گیاهان در مکانهایی که فاقد مواد مغذی هستند رویش میکنن</i>,این گیاهان در شرایط فقر مواد معدنی و مغذی به سختی برای زنده ماندن تلاش می‌کنند.‏,<i>این گیاهان تو یه زمین خشک و بدون غذا به زندگی چسبیدند </i>,<i>این گیاهان در مناطق خشک که</i>,این گیاهان در زمین‌های خشک و فاقد مواد مغذی به‌سختی زنده مانده‌اند,این گیاهان در شرایط فقر مواد معدنی و مغذی به سختی برای زنده ماندن تلاش می‌کنند.‏,<i>این گیاهان در این سرزمین خشک و خاک عاری از مواد مغذی با تمام توان به جان شیرین چنگ زده‌اند.</i>,این گیاهان در زمین‌های خشک و فاقد مواد مغذی به‌سختی زنده مانده‌اند
45:34,45:36,"<i>in a parched, nutrient-poor landscape.</i>",این گیاهان در زمین‏های خشکیده‏ای که کمبودِ .مواد مغذی دارند، به سختی زیست می‏کنند,‫نترس، میتونی حرفت رو بزنی ‫حیوون ما زبون شما رو نمیفهمه.,‫این گیاهان در مکان‌هایی که فاقد مواد مغذی‌ست رشد کرده اند,‫این گیاهان در مکان‌هایی که فاقد مواد مغذی‌ست رشد کرده اند,<i>این گیاهان در مکانهایی که فاقد مواد مغذی هستند رویش میکنن</i>,و غیر مرغوب زنده میمونن,‫در این سرزمین بی‌آب و ‫مواد مغذی دوام می‌آورند.,‫این گیاهان به زندگی می‌چسبند,این گیاهان در زمین‌های خشک و فاقد مواد مغذی به‌سختی زنده مانده‌اند,<i>این گیاهان در منطقه‌ای خشک و در کمبود مواد غذایی به‌سختی زندگی می‌کنند</i>,<i>این گیاهان در منطقه‌ای خشک و در کمبود مواد غذایی به‌سختی زندگی می‌کنند</i>,‫این گیاهان به زندگی می‌چسبند,<i>این گیاهان در مکانهایی که فاقد مواد مغذی هستند رویش میکنن</i>,این گیاهان در شرایط فقر مواد معدنی و مغذی به سختی برای زنده ماندن تلاش می‌کنند.‏,<i>این گیاهان تو یه زمین خشک و بدون غذا به زندگی چسبیدند </i>,<i>مواد مغذی ندارد به سختی زنده می‌مونن</i>,این گیاهان در زمین‌های خشک و فاقد مواد مغذی به‌سختی زنده مانده‌اند,این گیاهان در شرایط فقر مواد معدنی و مغذی به سختی برای زنده ماندن تلاش می‌کنند.‏,<i>این گیاهان در این سرزمین خشک و خاک عاری از مواد مغذی با تمام توان به جان شیرین چنگ زده‌اند.</i>,این گیاهان در زمین‌های خشک و فاقد مواد مغذی به‌سختی زنده مانده‌اند
46:47,46:48,It's a hunter-seeker.,.این شکارچی‏جوئه,,‫اپراتورش باید همین اطراف باشه.,‫شکارگرـه ‫(ابزاری که برای ترور‌های مخفیانه استفاده میشه),"یه ""جستجوگر شکارچی"" ‌‍ه. کسی که کنترلش می‌کنه باید همین نزدیکی ها باشه یه وسیله کشنده که توسط» «آدمکش ها از راه دور کنترل میشه",( یه هانتر سیکره (جستجو گر شکارچی,‫یه شکارچی-جویندست.,‫یه هانترسیکره. ‫اپراتورش باید همین نزدیکی باشه,"جوینده‌کُشنده""ست""",این شکارچی‌یاب‌ـه مأمور کنترلش باید همین اطراف باشه,این شکارچی‌یاب‌ـه مأمور کنترلش باید همین اطراف باشه,‫یه هانترسیکره. ‫اپراتورش باید همین نزدیکی باشه,"یه ""جستجوگر شکارچی"" ‌‍ه. کسی که کنترلش می‌کنه باید همین نزدیکی ها باشه یه وسیله کشنده که توسط» «آدمکش ها از راه دور کنترل میشه",این یه جاسوس-شکارچی‌ـه.‏ هدایتگرش باید همین اطراف باشه.‏,این یه جستجوگر شکارچیه  اپراتورش باید نزدیک باشه,این یه شکارچی‌یابه,"جوینده‌-کُشنده""ست""",این یه جاسوس-شکارچی‌ـه.‏ هدایتگرش باید همین اطراف باشه.‏,یه «قاتل-جویا»ست. متصدیش باید همین اطراف باشه.,"جوینده‌کُشنده""ست"""
46:49,46:50,The operator must be nearby.,.کنترل‏چیش باید همین نزدیکی باشه,,‫اپراتورش باید همین اطراف باشه.,‫اپراتورش باید همین اطراف باشه.,"یه ""جستجوگر شکارچی"" ‌‍ه. کسی که کنترلش می‌کنه باید همین نزدیکی ها باشه یه وسیله کشنده که توسط» «آدمکش ها از راه دور کنترل میشه",گردانندش حتما باید همین نزدیکی ها باشه,‫اپراتورش باید نزدیک باشه.,‫یه هانترسیکره. ‫اپراتورش باید همین نزدیکی باشه,کنترل‌کننده‌ش حتماً نزدیکه,این شکارچی‌یاب‌ـه مأمور کنترلش باید همین اطراف باشه,این شکارچی‌یاب‌ـه مأمور کنترلش باید همین اطراف باشه,‫یه هانترسیکره. ‫اپراتورش باید همین نزدیکی باشه,"یه ""جستجوگر شکارچی"" ‌‍ه. کسی که کنترلش می‌کنه باید همین نزدیکی ها باشه یه وسیله کشنده که توسط» «آدمکش ها از راه دور کنترل میشه",این یه جاسوس-شکارچی‌ـه.‏ هدایتگرش باید همین اطراف باشه.‏,این یه جستجوگر شکارچیه  اپراتورش باید نزدیک باشه,مامور کنترلش حتماً همین اطرافه,کنترل کننده‌ش حتماً نزدیکه,این یه جاسوس-شکارچی‌ـه.‏ هدایتگرش باید همین اطراف باشه.‏,یه «قاتل-جویا»ست. متصدیش باید همین اطراف باشه.,کنترل‌کننده‌ش حتماً نزدیکه
46:56,46:57,<i>The Harkonnen agent was cemented</i>,اون جاسوس هارکُنِن 6 هفته پیش .توی اون دخمه قبر شده,‫سرورم، شما به جادوگر قول دادید. ‫و اون همه چیزو میبینه.,‫این جاسوس هارکونن ۶ هفته گدشته رو اینجا بوده.,‫این جاسوس هارکونن ۶ هفته گدشته رو اینجا بوده.,این جاسوس هارکونن ۶ هفته پیش تو این مخفیگاه مستقر شده,یه مامور هارکونی برای این کار,‫مامور هارکونن شیش هفته پیش,‫این مامور هارکانن، شش هفته پیش ‫توی این سوراخ مستقر شده بود,مأمور هارکنون‌ها شش هفته پیش با دیوارکشی توی این حفره مخفی شده,این جاسوس هارکنن رو شش هفته پیش داخل اون گودال قرار دادن,این جاسوس هارکنن رو شش هفته پیش داخل اون گودال قرار دادن,‫این مامور هارکانن، شش هفته پیش ‫توی این سوراخ مستقر شده بود,این جاسوس هارکونن ۶ هفته پیش تو این مخفیگاه مستقر شده,سرباز هارکوننی‌ها شش هفته پیش توی اون سوراخ مستقر شده بوده.‏,مامور هارکونن شش هفته قبل  داخل اون چاله حبس شده بود,<i>مامور هارکنونی شش هفته پیش</i>,مأمور هارکنون‌ها شش هفته پیش با دیوارکشی توی این حفره مخفی شده,سرباز هارکوننی‌ها شش هفته پیش توی اون سوراخ مستقر شده بوده.‏,این مأمور هارکونن رو شش هفته پیش توی این حفره گذاشته‌ان و روشو سیمان گرفته‌ان.,مأمور هارکنون‌ها شش هفته پیش با دیوارکشی توی این حفره مخفی شده
46:58,46:59,<i>into that hole six weeks ago.</i>,اون جاسوس هارکُنِن 6 هفته پیش .توی اون دخمه قبر شده,‫سرورم، شما به جادوگر قول دادید. ‫و اون همه چیزو میبینه.,‫این جاسوس هارکونن ۶ هفته گدشته رو اینجا بوده.,‫این جاسوس هارکونن ۶ هفته گدشته رو اینجا بوده.,این جاسوس هارکونن ۶ هفته پیش تو این مخفیگاه مستقر شده,شش هفته پیش تعیین شد,‫توی اون سوراخ پنهون شده بود.,‫این مامور هارکانن، شش هفته پیش ‫توی این سوراخ مستقر شده بود,مأمور هارکنون‌ها شش هفته پیش با دیوارکشی توی این حفره مخفی شده,این جاسوس هارکنن رو شش هفته پیش داخل اون گودال قرار دادن,این جاسوس هارکنن رو شش هفته پیش داخل اون گودال قرار دادن,‫این مامور هارکانن، شش هفته پیش ‫توی این سوراخ مستقر شده بود,این جاسوس هارکونن ۶ هفته پیش تو این مخفیگاه مستقر شده,سرباز هارکوننی‌ها شش هفته پیش توی اون سوراخ مستقر شده بوده.‏,مامور هارکونن شش هفته قبل  داخل اون چاله حبس شده بود,<i>با دیوارکشی داخل اون حفره قایم شده</i>,مأمور هارکنون‌ها شش هفته پیش با دیوارکشی توی این حفره مخفی شده,سرباز هارکوننی‌ها شش هفته پیش توی اون سوراخ مستقر شده بوده.‏,این مأمور هارکونن رو شش هفته پیش توی این حفره گذاشته‌ان و روشو سیمان گرفته‌ان.,مأمور هارکنون‌ها شش هفته پیش با دیوارکشی توی این حفره مخفی شده
47:00,47:01,<i>Ran the hunter-seeker through a water pipe</i>,شکارچی‏جو رو داخل لوله‏ی آبی .تو دیوارها کار گذاشته بود,‫گفتم من بهشون آسیب نمیزنم. ‫و آسیب نمیزنم.,‫«شکارگر» رو ازد اخل لوله‌های آب به داخل دیوار ‫ هدایت کرده.,‫«شکارگر» رو ازد اخل لوله‌های آب به داخل دیوار ‫ هدایت کرده.,جستجوگر شکارچی رو از یه لوله آب تو دیوار کنترل میکرده,که هانتر سیکر رو از طریق یه لوله آب,‫شکارچی-جوینده رو از یه لوله آب داخل دیوار,‫اون هانترسیکر رو از طریق یه لوله‌ آب ‫توی دیوارها هدایت می‌کرده,جوینده‌کُشنده رو از طریق لوله‌‌ی آبِ داخل دیوار هدایت کرده,شکارچی‌یاب رو از طریق لولۀ آب از دیوارهای ما رد کرده بود,شکارچی‌یاب رو از طریق لولۀ آب از دیوارهای ما رد کرده بود,‫اون هانترسیکر رو از طریق یه لوله‌ آب ‫توی دیوارها هدایت می‌کرده,جستجوگر شکارچی رو از یه لوله آب تو دیوار کنترل میکرده,از طریق لوله‌ی آب جاسوس-شکارچی رو به سمت هدفش هدایت کرد.‏,جستجوگر شکارچی رو  از طریق لوله آب به داخل دیوار ببر,<i>شکارچی‌یاب رو از طریق لوله آب</i>,جوینده‌-کُشنده رو از طریق لوله‌‌ی آبِ داخل دیوار هدایت کرده,از طریق لوله‌ی آب جاسوس-شکارچی رو به سمت هدفش هدایت کرد.‏,از طریق لوله‌ی آب داخل دیوار قاتل-جویا رو هدایت می‌کرده.,جوینده‌کُشنده رو از طریق لوله‌‌ی آبِ داخل دیوار هدایت کرده
47:01,47:02,<i>inside the walls.</i>,شکارچی‏جو رو داخل لوله‏ی آبی .تو دیوارها کار گذاشته بود,‫گفتم من بهشون آسیب نمیزنم. ‫و آسیب نمیزنم.,‫«شکارگر» رو ازد اخل لوله‌های آب به داخل دیوار ‫ هدایت کرده.,‫«شکارگر» رو ازد اخل لوله‌های آب به داخل دیوار ‫ هدایت کرده.,جستجوگر شکارچی رو از یه لوله آب تو دیوار کنترل میکرده,.به پشت دیوارها هدایت کنه,‫هدایت کرده.,‫اون هانترسیکر رو از طریق یه لوله‌ آب ‫توی دیوارها هدایت می‌کرده,جوینده‌کُشنده رو از طریق لوله‌‌ی آبِ داخل دیوار هدایت کرده,شکارچی‌یاب رو از طریق لولۀ آب از دیوارهای ما رد کرده بود,شکارچی‌یاب رو از طریق لولۀ آب از دیوارهای ما رد کرده بود,‫اون هانترسیکر رو از طریق یه لوله‌ آب ‫توی دیوارها هدایت می‌کرده,جستجوگر شکارچی رو از یه لوله آب تو دیوار کنترل میکرده,از طریق لوله‌ی آب جاسوس-شکارچی رو به سمت هدفش هدایت کرد.‏,جستجوگر شکارچی رو  از طریق لوله آب به داخل دیوار ببر,<i>از داخل دیوار‌ها کنترل می‌کرده</i>,جوینده‌-کُشنده رو از طریق لوله‌‌ی آبِ داخل دیوار هدایت کرده,,از طریق لوله‌ی آب داخل دیوار قاتل-جویا رو هدایت می‌کرده.,جوینده‌کُشنده رو از طریق لوله‌‌ی آبِ داخل دیوار هدایت کرده
47:04,47:06,"Sire, I failed you today. There's no excuse.",.قربان، امروز ناامیدتون کردم .جای هیچ بهانه‏ای نیست,‫اما آراکیس آراکیسه.,‫نا امیدتون کردم قربان. هیچ عذری ندارم.,‫نا امیدتون کردم قربان. هیچ عذری ندارم.,من امروز شما را ناامید کردم، قربان هیچ بهانه ای برای شکستم ندارم,قربان، من امروز سرافکندتون کردم هیچ بهونه ای نیست,‫قربان، سرافکندتون کردم. توجیهی ندارم.,‫قربان، امروز شما رو مایوس کردم. ‫هیچ بهونه‌ای ندارم,.سرورم، امروز شما رو ناامید کردم هیچ بهانه‌ای ندارم,.ارباب، من امروز ناامیدتون کردم هیچ عذری هم نداره,.ارباب، من امروز ناامیدتون کردم هیچ عذری هم نداره,‫قربان، امروز شما رو مایوس کردم. ‫هیچ بهونه‌ای ندارم,من امروز شما را ناامید کردم، قربان هیچ بهانه ای برای شکستم ندارم,عذر می‌خوام امروز در وظیفه‌م کوتاهی کردم.‏ بهانه‌ای در کار نیست.‏,قربان من امروز شمارو سرافکنده کردم  هیچ عذری نیست,سرورم، امروز ناامیدتون کردم هیچ بهانه‌ای هم ندارم,.سرورم، امروز شما رو ناامید کردم هیچ بهانه‌ای ندارم,عذر می‌خوام امروز در وظیفه‌م کوتاهی کردم.‏ بهانه‌ای در کار نیست.‏,سرورم، امروز قصور بدی کردم. هیچ توجیهی ندارم.,.سرورم، امروز شما رو ناامید کردم هیچ بهانه‌ای ندارم
47:07,47:08,You have my resignation.,.استعفام رو خدمت‏تون میگم,‫صحرا ضعیف‌ها رو میکشه.,‫استعفا میدم,‫استعفا میدم,از مقامم کناره گیری میکنم,استعفانامم رو میدم بهتون,‫استعفا میدم.,‫همچین موقعی، ‫ما رو از استعدادهات محروم می‌کنی؟,استعفا می‌دم,می‌خوای ما رو در این شرایط تنها بذاری؟ - ...ارباب، شرفم اجازه نمی‌ده -,همین‌جا استعفام رو اعلام می‌کنم,‫استعفام رو تقدیم می‌کنم,از مقامم کناره گیری میکنم,استعفای من رو بپذیرید.‏,شما استعفای من رو دارید,استعفا میدم,استعفا می‌دم,‏- می‌خوای ما رو از توانایی‌های خودت محروم کنی؟ ‏- قربان، باعث افتخاره که...‏,- می‌خوای ما رو از استعدادهات محروم کنی؟ - سرورم، شرافتم ایجاب می‌کنه که...,استعفا می‌دم
