Start Time,End Time,English,The.Wild.Robot.-open subtile.srt,The.Wild.Robot.2024.1080p.10bit.BluRay.6CH.x265.HEVC-PSA [Fa].srt,The.Wild.Robot.2024.480p.BluRay.x264-RMTeam.Fa.srt,The.Wild.Robot.2024.WEB.DigiMoviez.FA.srt,The.Wild.Robot.2024.WEB.Fa.srt,The_Wild_Robot_2024.srt
25:42,25:43,- Who is that? - Paddler?,اون کیه؟ - پَدلِر؟ -,‫این دیگه کیه؟,این کیه؟ - پدلر رو می‌گی؟‌ -,‫- اون کیـه؟ ‫- پاروزن رو میگی؟,این کیه؟ - پدلر رو می‌گی؟‌ -,این کی هست؟ - پدلر؟ -
25:43,25:45,Local laughingstock.,بساط خنده محلی‌ـه,‫پدلر (پارو زن)؟ سوژه‌ی خنده‌ی همه‌ست,مضحکه خاص و عامه,‫اون سوژه خندمونـه,مضحکه خاص و عامه,مضحکه همه
25:45,25:47,Spends every day trying to cut down,هر روزش رو سر زور زدن برای,‫هر روز جون می‌کنه,هر روز تلاش می‌کنه  تا بزرگ‌ترین درخت جزیره رو,کار هرروزش اینـه که,هر روز تلاش می‌کنه  تا بزرگ‌ترین درخت جزیره رو,... هر روز تلاش می‌کنه
25:47,25:49,the biggest tree on the island.,قطع کردن بزرگ‌ترین درخت جزیره میگذرونه,‫بزرگ‌ترین درخت جزیره رو قطع کنه,قطع کنه,بزرگ‌ترین درخت جزیره رو قطع کنـه,قطع کنه,بزرگ‌ترین درخت جزیره رو قطع کنه
25:49,25:51,He's obsessed.,فکر و ذکرشه,‫تمام فکر و ذکرش شده همین,خیلی پیگیره,فکر و ذکرش شده,خیلی پیگیره,حسابی درگیر این کاره
25:51,25:53,Kind of like you and your task hang-up.,یه جورای عین تو و خوددرگیری وظیفته,‫تاحدودی مثل تو ‫و این گیر دادنت به وظیفه‌ست,مثل تو که این‌قدر پیگیر انجام وظیفه‌ای,‫یه چیزی تو مایه تو و وسواست برای انجام ماموریت‌هاتـه,مثل تو که این‌قدر پیگیر انجام وظیفه‌ای,یه‌جورایی مثل تو و گیر سه‌پیچت روی انجام وظیفه‌ات می‌مونه
25:54,25:55,His programming.,یعنی برنامه‌ریزیش‌ـه,‫پس برنامه‌ریزیش اینه,این شکلی برنامه‌ریزی شده,‫برنامه‌نویسیـش اینـه,این شکلی برنامه‌ریزی شده,برنامه‌نویسیش این‌طوریه
25:56,25:58,"Hey, Paddler, you're never gonna finish that!",هی پدلر، عمرا تمومش کنی,‫هی، پدلر! عمراً نمی‌تونی تمومش کنی!,هی پدلر، عمراً اگه قطعش کنی,‫هی پاروزن، هیچ وقت قرار نیست !اون رو تموم کنی,هی پدلر، عمراً اگه قطعش کنی,هی پدلر، امکان نداره بتونی !این درخت رو قطع کنی
25:58,26:00,Felling this is not the point.,بحثِ قطع کردنش نیست,‫هدف قطع کردنش نیست,هدف، انداختنش نیست,هدف قطع کردن درخت نیست,هدف، انداختنش نیست,هدف، انداختن این درخت نیست
26:00,26:03,The process is the art.,به عمل آوردن کاره که هنر حسابه,‫هنر، روند قطع کردنشه,هنر اصلی، فرآیند انجامشه,فرآیند انجامشـه که هنره,هنر اصلی، فرآیند انجامشه,بخش زیباش، فرآیندشه
26:03,26:05,And that's what happens to your brain,،و این کارا همون چیزیه که سر مغزت میاد,‫وقتی چوب می‌خوری ‫همچین بلایی سر مغزت میاد,وقتی چوب بخوری,‫وقتی چوب بخوری,وقتی چوب بخوری,... وقتی چوب بخوری
26:05,26:07,"when you eat wood, weirdo.",وقتی چوب‌خوری میکنی، ای عجیبا غریبا,‫وقتی چوب می‌خوری ‫همچین بلایی سر مغزت میاد,مغزت اینجوری می‌شه، مرتیکه عجیب و غریب,‫مغزت همینطوری قاطی می‌کنـه دیگه عجیب‌خان,مغزت اینجوری می‌شه، مرتیکه عجیب و غریب,این بلا سر مغزت میاد، مردک عجیب‌غریب
26:07,26:09,Yeah?,آره؟,‫خل و چل,عه؟,‫اینطوریـه؟,عه؟,جدی؟
26:09,26:11,"Well, you'll eat those words, vermin.",خب، از گفتت پشیمون میشی، جونور موذی,‫آره؟ یه روزی این حرفتو پس می‌گیری ‫ مردک موذی,از این حرفت پشیمون می‌شی، مرتیکه آفت,‫حرفـت رو پس می‌گیری جونور موذی,از این حرفت پشیمون می‌شی، مرتیکه آفت,از این حرفت پشیمون می‌شی جونور موذی
26:11,26:12,Are you sure,مطمئنی که,‫مطمئنی پدلر ناراحت نمیشه,مطمئنی پدلر,مطمئنی که پاروزن,مطمئنی پدلر,... مطمئنی
26:12,26:15,Paddler will not mind us borrowing his home?,پدلر کاری به کارمون نداره که خونه‌ش رو قرض بگیریم؟,‫خونه‌ش رو قرض بگیریم؟,،از اینکه خونه‌ش رو قرض گرفتیم ناراحت نمی‌شه؟,‫مشکلی با قرض دادن خونـه‌اش ‫به ما نداره؟,،از اینکه خونه‌ش رو قرض گرفتیم ناراحت نمی‌شه؟,پدلر مشکلی نداره خونه‌اش رو قرض بگیریم؟
26:15,26:17,He doesn't need to know.,حکم هم نیست بدونه,‫نیازی نیست بفهمه,لازم نیست بفهمه,‫لازم نیست بفهمـه,لازم نیست بفهمه,نیازی نیست بدونه
26:19,26:21,Mmm.,,,هوم,‫همم,هوم,هوم
26:21,26:24,Hmm? Huh?,ها؟,,هوم؟ هان؟,‫همم؟ هان؟,هوم؟ هان؟,هوم؟ ها؟
26:24,26:26,Seriously?,جان من؟,‫خدایی؟,واقعا؟,خداییش؟,واقعا؟,جدا؟
26:26,26:29,He needs room for me and my stuff.,اون واسه من و خرت و پرتامم جا می‌خواد,‫باید برای من و وسایلمم جا داشته باشه,باید واسه من و وسایلم هم جا باشه,‫جا برای من و وسیله‌هام هم می‌خوایم,باید واسه من و وسایلم هم جا باشه,باید برای من و وسایلم هم جا باشه
26:29,26:31,Better.,بِتَر شد,‫حالا بهتر شد,بهتر شد,‫بهتر شد,بهتر شد,بهتر شد
26:31,26:33,"Now, you can make one this big, right?",خب حالا، می‌تونی که یکی به این بزرگیشو بسازی دیگه، درسته؟,‫خب، می‌تونی یکی ‫به این بزرگی بسازی، درسته؟,می‌تونی یه خونه به این بزرگی درست کنی؟,‫می‌تونی یه خونه به این ‫بزرگی بسازی، نه؟,می‌تونی یه خونه به این بزرگی درست کنی؟,می‌تونی بزرگ‌ترش کنی، نه؟
26:33,26:37,No task is impossible for Rozzum 7134.,هیچ وظیفه‌ای برای رازوم ۷۱۳۴ ناممکن نیست,‫هیچ وظیفه‌ای برای رازم 7134 ‫غیرممکن نیست,هیچ کاری برای رازوم 7134 غیرممکن نیست,‫هیچ ماموریتی برای رُزوم 7134 غیرممکن نیست,هیچ کاری برای رازوم 7134 غیرممکن نیست,هیچ کاری برای رازم 7134 نشدنی نیست
26:38,26:39,Roz...,...راز,‫راز... 7... 34؟,...راز,‫رُز...,...راز,... راز
26:39,26:42,7... 34?,7... 34?,‫راز... 7... 34؟,‫7...34؟,‫7...34؟,‫7...34؟,‏7 ... 34؟
26:42,26:45,But you can call me Roz.,ولی تو می‌تونی صدام کنی راز,"‫ولی تو می‌تونی ""راز"" صدام کنی",ولی تو می‌تونی راز صدام کنی,‫اما تو می‌تونی رُز صدام کنی,ولی تو می‌تونی راز صدام کنی,تو می‌تونی بهم بگی راز
26:45,26:47,Roz!,راز,‫راز!,راز,!رُز,راز,!راز
26:47,26:48,"Roz, Roz, Roz, Roz...",...راز، راز، راز، راز,‫راز، راز، راز، راز...,...راز، راز، راز، راز,...رُز، رُز، رُز، رُز,...راز، راز، راز، راز,... راز، راز، راز، راز
26:48,26:51,Where are you from that things don't eat each other?,تو بچه کجایی که چیز میزاش نمیزنن همو بخورن؟,‫اهل کجایی که توش ‫موجودات همدیگه رو نمی‌خورن؟,تو اهل کجایی که موجوداتش همدیگه رو نمی‌خورن؟,‫مگه تو اهل کجایی که همه ‫همدیگه رو نمی‌خورن؟,تو اهل کجایی که موجوداتش همدیگه رو نمی‌خورن؟,تو اهل کجایی که موجوداتش همدیگه رو نمی‌خورن؟
26:51,26:53,I do not know my origin point.,من سر منشام رو نمی‌دونم,‫- نمی‌دونم از کجا اومدم ‫- راز، راز، راز...,نمی‌دونم خاستگاهم کجاست,‫نمی‌دونم اصیلتـم مال کجا است,نمی‌دونم خاستگاهم کجاست,نمی‌دونم اصالتا کجایی هستم
26:53,26:54,"Well, who made you?",خب، کی ساختت؟,‫خب، کی تو رو ساخته؟,خب، کی خلقت کرده؟,‫خب، کی تو رو ساختـه؟,خب، کی خلقت کرده؟,خب، کی تو رو ساخته؟
26:55,26:59,Someone made me?,یکی من رو ساخته؟,‫کسی منو ساخته؟,کسی خلقم کرده؟,‫کسی من رو ساخته؟,کسی خلقم کرده؟,کسی من رو ساخته؟
27:03,27:05,Humor is based on misfortune?,خنده‌آوری بر مبنای نگون‌بخت شدن دیگرانه؟,‫بدبختی دیگران خنده داره؟,شوخ‌طبعی به بدشانسی مرتبطه؟,شوخی بر پایه‌ی اتفاقات ناگواره؟,شوخ‌طبعی به بدشانسی مرتبطه؟,شوخ‌طبعی به بدشانسی مرتبط‌ـه؟
27:05,27:07,- Misfortune. - Yeah.,نگون‌بخت شدن - آره -,‫بدبختی,بدشانسی - آره -,‫- ناگوار ‫- آره,بدشانسی - آره -,بدشانسی - آره -
27:07,27:08,Here.,بیا,‫آره. بیا,بیا,‫ببین,بیا,بیا
27:08,27:09,- Try it. - Yeah.,یه امتحانی کن - آره -,‫- امتحانش کن ‫- آره,امتحانش کن - آره -,‫- این رو امتحان کن ‫- آره,امتحانش کن - آره -,امتحان کن - آره -
27:11,27:13,- Not funny. - Not funny.,هیچم خنده‌دار نیست - هیچم خنده‌دار نیست -,‫- بامزه نبود ‫- بامزه نبود,خنده‌دار نیست - خنده‌دار نیست -,‫- خنده‌دار نیست ‫- خنده‌دار نیست,خنده‌دار نیست - خنده‌دار نیست -,اصلا بامزه نبود - اصلا بامزه نبود -
27:15,27:18,Ugh. Squirrels.,سنجاب,‫امان از دست سنجاب‌ها,اه، سنجاب‌ها,‫اَه، سنجاب‌ها,اه، سنجاب‌ها,اه، سنجاب
27:22,27:24,Your inefficient participation,مشارکت ناکارآمد تو,‫مشارکت ناکارآمدت ‫سرعت کار رو کاهش میده,مشارکت ناکارامدت,‫مشارکت ناکارآمدت,مشارکت ناکارامدت,... مشارکت ناکارآمدت
27:24,27:26,will slow the process.,روند کار رو کند خواهد کرد,‫مشارکت ناکارآمدت ‫سرعت کار رو کاهش میده,باعث کندیِ فرآیند می‌شه,فرایند کار رو کند می‌کنـه,باعث کندیِ فرآیند می‌شه,روند کار رو کُند می‌کنه
27:26,27:28,Slow the process.,روند کار رو کند میکنه,‫سرعت کار رو کاهش میده,کندیِ فرآیند,فرایند کار رو کند می‌کنـه,کندیِ فرآیند,روند کار رو کُند می‌کنه
27:28,27:29,I'll just be over here.,اصلا من همینجا می‌مونم,‫همینجا وایمیستم,من می‌رم یه گوشه می‌شینم,‫فقط همینجا وایمیستم,من می‌رم یه گوشه می‌شینم,من همین‌جا می‌شینم
27:29,27:32,Little sad but otherwise okay.,یه کوچولو غصه دارم ولی کلا خوبم,‫یه‌خرده غمگینم، ولی مشکلی نیست,یه‌کم ناراحتم، ولی در کل عیبی نداره,‫یه کم غمگینم وگرنه چیزیم نیست,یه‌کم ناراحتم، ولی در کل عیبی نداره,یه‌خرده ناراحتم اما مشکلی نیست
27:33,27:34,Just this once.,فقط همین یکی,‫فقط همین یه بار,فقط همین یکی,‫فقط همین یه بار,فقط همین یکی,فقط همین یکی
27:53,27:54,Perfect.,حرف نداره,‫عالی شد,عالی شد,‫عالیـه,عالی شد,عالی شد
27:54,27:56,Home?,خونه‌ـئه؟,‫- خونه‌ست؟ ‫- یه خرده شبیه خونه‌های دهاتی شده,خونه؟,‫خونـه,خونه؟,خونه؟
27:56,27:58,Meh. A little rustic.,یکم مناطقِ محرومی‌طوره,‫- خونه‌ست؟ ‫- یه خرده شبیه خونه‌های دهاتی شده,یه خرده فاز دهاتی داره,‫یه‌خورده روستایی شده,یه خرده فاز دهاتی داره,یه‌خرده روستایی‌طورـه
27:58,28:00,I think I know what is missing.,فکر کنم بدونم چی کم داره,‫فکر کنم می‌دونم چی کم داره,فکرکنم بدونم چی کم داره,‫فکر می‌کنم بدونم چی کم داره,فکرکنم بدونم چی کم داره,فکر کنم بدونم چی کم داره
28:05,28:07,"So, what are you gonna name him?",میگم، قراره اسمش رو چی بذاری؟,‫خب می‌خوای چه اسمی روش بذاری؟,خب، اسمش رو چی می‌ذاری؟,‫خب می‌خوای اسمـش رو چی بذاری؟,خب، اسمش رو چی می‌ذاری؟,خب، اسمش رو چی می‌ذاری؟
28:07,28:11,- I assign to you Gosling 0001. - Huh?,من تو رو جوجه غاز ۰۰۰۱ نسبت میدم - ها؟ -,"‫اسم ""بچه‌غاز 0001"" رو روت می‌ذارم",‫اسمت رو می‌ذارم جوجه غاز 0001,‫- من نام جوجه 0001 را بهت اختصاص میدم ‫- هان؟,‫اسمت رو می‌ذارم جوجه غاز 0001,"""اسمت رو می‌ذارم ""جوجه غاز 0001 - ها؟ -"
28:11,28:13,"- Okay, that sucked. - That sucked.",خیلی‌خب، زیر خط فقره - زیر خط فقره -,‫- خیلی‌خب، اسم مزخرفی بود ‫- اسم مزخرفی بود,خیلی‌خب، گند زدی - گند زدی -,‫- مزخرفه ‫- مزخرفـه,خیلی‌خب، گند زدی - گند زدی -,خیلی‌خب، افتضاح بود - افتضاح بود -
28:16,28:17,Whoa.,,,اوه,‫واو,اوه,وای
28:17,28:20,You got to learn to make stuff up.,باید من درآوردی درآوردن رو یاد بگیری,‫باید یاد بگیری فی‌البداهه ‫ یه چیزی از خودت دربیاری,باید یاد بگیری یه چیزهایی از خودت دربیاری,‫باید یاد بگیری چطوری یه‌چی سرهم کنی,باید یاد بگیری یه چیزهایی از خودت دربیاری,باید یاد بگیری یه‌سری چیزها رو از خودت در بیاری
28:20,28:25,- Come on. Find that... - inside you.,...یالا، پیدان کن اون داخلت رو,‫بجنب دیگه. اون...,یالا، اون زوزه‌ی درونت رو پیدا کن,‫زود باش دیگه. اون ‫رو... توی خودت پیدا کن,یالا، اون زوزه‌ی درونت رو پیدا کن,زودباش، اون آوای درونت رو پیدا کن
28:25,28:26,Searching.,در حال جستجو,‫درحال جستجو,درحال جستجو,‫درحال جستجو,درحال جستجو,درحال جستجو
28:30,28:31,- Anything yet? - No.,هنوز خبری نشده؟ - نه -,‫- هنوز چیزی به ذهنت نرسیده؟ ‫- نه,فرجی نشد؟ - نه -,‫- چیزی پیدا کردی؟ ‫- نه,فرجی نشد؟ - نه -,به جایی نرسیدی؟ - نه -
28:31,28:35,Just have a little fun for once.,فقط یه بارم که شده یکم صفا کن,‫خب حداقل یه بارم که شده ‫یکم خوش بگذرون,واسه یه‌بار هم که شده یه‌کم خوش بگذرون,واسه یه بارم که شده خوش بگذرون,واسه یه‌بار هم که شده یه‌کم خوش بگذرون,برای یه بار هم که شده یه‌خرده خوش بگذرون
28:35,28:39,Gosling 0186. There.,جوجه غاز ۰۱۸۶. بفرما,‫بچه‌غاز 0186,جوجه غاز 0186. بیا,‫جوجه ۰۱۸۶,جوجه غاز 0186. بیا,جوجه غاز 0186 بفرما
28:39,28:41,You see what I did?,دیدی چه کار کردم؟,‫اینم از این. دیدی چیکار کردم؟,دیدی چی کار کردم؟,‫دیدی چی‌کار کردم؟,دیدی چی کار کردم؟,دیدی چی کار کردم؟
28:41,28:43,His numbering is out of sequence.,شماره‌گذاریش خارج از ترتیب هست,‫اعدادش به ترتیب نیست,اعدادش به ترتیب نیست,‫شماره گذاریـش از ترتیب خارج شد,اعدادش به ترتیب نیست,اعدادش هیچ توالی‌ای نداره
28:49,28:51,His name can't have numbers.,اسم که نباید شماره داشته باشه,‫نباید توی اسمش عدد باشه,اسمش نباید عدد داشته باشه,‫نمیشه که اسمـش شماره داشته باشه,اسمش نباید عدد داشته باشه,نمی‌شه توی اسمش از عدد استفاده کنی
28:51,28:53,It's like someone didn't even like him.,تو بگی انگار یه کسی حتی خوششم نمیومده ازش,‫انگار اصلاً کسی ازش خوشش نمیومده,اینجوری انگار دوستش نداشتن,آدم حس می‌کنـه انگار هیچ وقت ‫هیچکس ازش خوشش نمی‌اومده,اینجوری انگار دوستش نداشتن,انگار اصلا دوستش نداشتن
28:53,28:55,My name has numbers.,اسم من که شماره داره,‫اسم من که عدد داره,اسمِ من عدد داره,‫اسم من شماره داره,اسمِ من عدد داره,اسم من که عدد داره
28:55,28:57,It's got to be personal.,باید به شخصیت بخوره,‫باید یه اسم خاص خودش باشه,باید یه اسم شخصی باشه,‫باید منحصر‌به‌فرد باشه,باید یه اسم شخصی باشه,اسم باید یه چیز شخصی باشه
28:57,28:58,Personal.,شخصیت,‫اسم خاص,شخصی,‫منحصر‌به‌فرد,شخصی,شخصی
28:58,29:00,"Processing ""personal.""","""در حال پردازش ""شخصیت","‫درحال جستجوی ""اسم خاص""","""درحال پرداز ""شخصی",‫درحال پردازش منحصر‌به‌فرد,"""درحال پرداز ""شخصی","""درحال پردازش ""شخصی"
29:02,29:03,Bright. Bill.,.براق. نوک,‫براق. نوک,برایت. بیل,‫برایت. بیل.,برایت. بیل,برایت بیل
29:03,29:05,Brightbill.,براق‌نوک,‫نوک‌براق,برایت‌بیل,‫برایت‌بیل,برایت‌بیل,برایت‌بیل
29:05,29:06,Is that satisfactory?,این نام رضایت‌بخش هست؟,‫این رضایت‌بخشه؟,رضایت‌بخشه؟,‫آیا رضایت بخشـه؟,رضایت‌بخشه؟,رضایت‌بخش‌ـه؟
29:06,29:09,Brightbill? Processing.,براق‌نوک؟ در حال پردازشَش,‫نوک‌براق؟,برایت‌بیل؟ درحال پردازش,‫برایت‌بیل؟ درحال پردازش,برایت‌بیل؟ درحال پردازش,برایت‌بیل؟ درحال پردازش
29:09,29:10,"Beep, beep, boop, boop.",بیب، بیب، بوق، بوق,‫درحال پردازش. بیب، بیب، بوب، بوب,بوق، بوق، بوق,‫بیپ بیپ، بوپ بوپ,بوق، بوق، بوق,بیق، بیق، بوق، بوق
29:10,29:13,"- Satisfactory. - Oh, yeah.",رضایت‌بخش هست - وای آره -,‫رضایت‌بخشه,رضایت‌بخشه - اوه، جون -,‫- رضایت‌بخش ‫- اوه، اره,رضایت‌بخشه - اوه، جون -,رضایت‌بخش‌ـه - اوه آره -
29:13,29:16,That's perfect. Oh.,حرف نداره بابا,‫اوه، آره. بی‌نقصه,فوق العاده‌ست,‫عالیـه. اوه,فوق العاده‌ست,عالیه اوه
29:16,29:18,Oh. Oh.,حرف نداره بابا,,اوه، اوه,‫اوه، اوه,اوه، اوه,اوه، اوه
29:18,29:19,That's nice.,چه حالی میده,‫چه خوبه,چه خوبه,‫خوبـه,چه خوبه,چه خوبه
29:21,29:23,"Comfortable, are we?",جات راحته، مگه نه؟,‫راحتین، آره؟,راحتید، نه؟,‫راحتی؟,راحتید، نه؟,راحت هستید؟
29:23,29:25,This house of yours?,این خونه شماست؟,‫اینجا خونه‌ی شماست؟,این خونه‌ی شما,‫فکر کردید خونه خودتونـه؟,این خونه‌ی شما,... این خونه‌تون
29:25,29:27,You copied it. It's my design.,کپی کردینش. این طراحی منه,‫از روی طراحی من تقلید کردین,کپی از طرح خونه‌ی منه,‫کپیـش کردید. طراحی منـه.,کپی از طرح خونه‌ی منه,از طراحی من، کُپی شده
29:27,29:30,"I know it was you, and I know where you live.",،من می‌دونم کار شما بوده و می‌دونمم خونه و زندگیتونم کجاست,‫می‌دونم کار شما بوده ‫و می‌دونم کجا زندگی می‌کنین,می‌دونم کار شما بود و جاتون رو بلدم,‫می‌دونستم کار شما بوده ‫و می‌دونم کجا زندگی می‌کنید,می‌دونم کار شما بود و جاتون رو بلدم,می‌دونم کار شما بوده و می‌دونم کجا زندگی می‌کنید
29:33,29:36,"Oh, perfect. Now no one's gonna get any sleep.",خیلی هم عالی. الان دیگه هیچ‌کی قرار نیست هیچ بخوابه,‫اوه، عالی شد ‫حالا هیچکس نمی‌تونه چشم رو هم بذاره,عالی شد، حالا دیگه هیچ‌کس خوابش نمی‌بره,‫اوه عالی شد. دیگه خواب‌مون نمی‌بره.,عالی شد، حالا دیگه هیچ‌کس خوابش نمی‌بره,اوه، عالی شد حالا هیچ‌کس نمی‌تونه بخوابه
29:36,29:39,How do we reset Brightbill?,چگونه براق‌نوک رو راه اندازی مجدد کنیم؟,‫چطوری نوک‌براق رو آروم کنیم؟,چطوری برایت‌بیل رو بازنشانی کنیم؟,‫چطور می‌تونیم برایت‌بیل رو ریست کنیم؟,چطوری برایت‌بیل رو بازنشانی کنیم؟,چطور می‌تونیم برایت‌بیل رو راه‌اندازی مجدد کنیم؟
29:39,29:42,"When I was little, my mom would rock me to sleep.",،من که تو بچگیام مامانم یه کاری می‌کرد عین سنگ بخوابم,‫وقتی بچه بودم ‫مامانم اونقدر سرمو نوازش می‌کرد تا بخوابم,...وقتی بچه بودم، مامانم من رو این شکلی,‫وقتی بچه بودم، مامانـم تکونم می‌داد ‫تا خوابم ببره,...وقتی بچه بودم، مامانم من رو این شکلی,من وقتی بچه بودم مامانم، من رو می‌خوابوند
29:42,29:43,Like this!,عینهو اینجوری,‫این شکلی!,می‌خوابوند,‫اینطوری!,می‌خوابوند,!این‌طوری
29:43,29:45,That will damage him.,این کار به اون صدمه میزنه,‫اینطوری صدمه می‌بینه,اینجوری آسیب می‌بینه,‫این کار بهش صدمه می‌زنـه,اینجوری آسیب می‌بینه,این‌طوری آسیب می‌بینه
29:45,29:47,Hey. I turned out just fine.,هی. والا واسه من که خوبِ خوب از آب دراومد,‫عه! من که خوب از آب دراومدم,هی، من که چیزیم نشد,‫هی. من که چیزیـم نشد,هی، من که چیزیم نشد,هی، من که مشکلی برام پیش نیومد
29:47,29:49,"You could tell him a story,",،می‌تونی یه قصه براش تعریف کنی,‫می‌تونی براش قصه بگی,می‌تونی براش داستان تعریف کنی,‫می‌تونی براش داستان بگی,می‌تونی براش داستان تعریف کنی,می‌تونی براش داستان بگی
29:49,29:52,but that's a lot more work.,ولی یه عالمه زحمت بیشتری می‌خواد,‫ولی این دردسرش خیلی بیشتره,ولی زحمتش خیلی زیاده,‫اما کلی کار داره,ولی زحمتش خیلی زیاده,اما خیلی زحمت داره
29:52,29:54,How will fictional narrative help Brightbill?,چگونه روایت تخیلی به براق‌نوک کمک میکنه؟,‫قصه‌های خیالی چه کمکی ‫به نوک‌براق می‌کنه؟,تعریف یک داستان خیالی چه کمکی به برایت‌بیل می‌کنه؟,‫روایت داستانی چه کمکی ‫به برایت‌بیل می‌کنـه؟,تعریف یک داستان خیالی چه کمکی به برایت‌بیل می‌کنه؟,داستان‌های خیالی چطور می‌تونه به برایت‌بیل کمک کنه؟
29:54,29:59,Kids need to feel safe and loved and all that junk.,بچه‌ها حس امنیت، دوست داشتن و کل این چیزای اسقاطی رو نیاز دارن,‫بچه‌ها نیاز دارن احساس امنیت و عشق,بچه‌ها باید احساس عشق و امنیت و از این چرت و پرت‌ها بکنن,‫بچه‌ها باید احساس امنیت ‫و عشق بکنن، که همه‌اش مزخرفـه,بچه‌ها باید احساس عشق و امنیت و از این چرت و پرت‌ها بکنن,بچه‌ها باید احساس امنیت و عشق و این چرت‌وپرت‌ها بکنن
29:59,30:00,A story can do that?,یه قصه می‌تونه این کارها رو انجام بده؟,‫یه قصه همچین کاری می‌کنه؟,یک داستان، چنین حسی می‌ده؟,‫یعنی یه داستان باعث این‌ها میشـه؟,یک داستان، چنین حسی می‌ده؟,یه داستان می‌تونه همچین کاری بکنه؟
30:00,30:04,"Storytelling is lying-adjacent, and I lie for a living.",،قصه‌گویی سرش با چاخان‌بافی تو یه آخوره و منم که برای روزی درآوردن، چاخان می‌بافم,‫قصه‌گویی تاحدودی مثل دروغگویی می‌مونه,،داستان‌سرایی، مثل دروغگوییه من هم کارم دروغ گفتنه,‫داستان گفتن همون دروغ گفتنـه و منم که برای امرار معاش دروغ میگم,،داستان‌سرایی، مثل دروغگوییه من هم کارم دروغ گفتنه,داستان‌گویی یه‌جور دروغ‌گویی‌ـه و منم استاد دروغ گفتنم
30:05,30:07,Watch and learn.,تماشا کن و بیاموز,‫تماشا کن و یاد بگیر,ببین و یاد بگیر,‫تماشا کن و یاد بگیر,ببین و یاد بگیر,نگاه کن و یاد بگیر
30:07,30:09,Just fill in the blanks.,تو فقط چاله و چوله‌های کار رو پر کن,‫هرجا چیزی به ذهنت رسید بگو,فقط جاهای خالی رو پر کن,‫دیگه خودت تا آخرش رو بخون,فقط جاهای خالی رو پر کن,فقط جاهای خالی رو پُر کن
30:09,30:14,"Let me see here. Once, there was, uh, this island",بذار ببینم اینجا رو. روزگاری یه... جزیره‌ای با یه,‫روزی روزگاری یه جزیره‌ای بود...,بذار ببینم، روزی روزگاری یه جزیره وجود داشت,‫بذار ببینم. یه روز توی این جزیره,بذار ببینم، روزی روزگاری یه جزیره وجود داشت,بذار ببینم ... روزی روزگاری یه جزیره بود
30:14,30:16,with a little gosling.,جوجه غاز کوچولو وجود داشت,‫که توش یه بچه غاز بود...,که یه جوجه غاز کوچولو توش بود,‫یه جوجه کوچولو زندگی می‌کرد,که یه جوجه غاز کوچولو توش بود,که یه جوجه غاز کوچولو توش بود
30:16,30:17,Brightbill?,براق‌نوک همون؟,‫به اسم نوک‌براق؟,برایت‌بیل,‫برایت‌بیل؟,برایت‌بیل,برایت‌بیل؟
30:17,30:19,And he was all alone.,و تنهای تنها بود,‫و تک و تنها بود,و تک و تنها بود,‫و اون تنهای تنها بود,و تک و تنها بود,و اون جوجه، تک‌وتنها بود
30:19,30:22,Because the rest of his family was destroyed.,چون مابقی خانواده‌ش نابود شده بودند,‫چون بقیه‌ی خانواده‌ش نابود شده بودن,چون بقیه خانواده‌ش نابود شده بودن,‫چون مابقی خانواده‌اش نابود شده بودن,چون بقیه خانواده‌ش نابود شده بودن,چون بقیه اعضای خانواده‌اش نابود شده بودن
30:22,30:23,Not yet.,هنوز نه بابا,‫هنوز نه,فعلا زوده,‫هنوز زوده,فعلا زوده,الان وقتش نیست
30:25,30:27,And what this little gosling needed,و چیزی که این جوجه غاز کوچولو احتیاج داشت,‫و چیزی که این جوجه غاز ‫ نیاز داشت، یه مادر بود,و این جوجه غاز کوچولو,‫و چیزی که این جوجه نیاز داشت,و این جوجه غاز کوچولو,... و این جوجه غاز کوچولو
30:27,30:28,- was a mother. - Ooh.,یه مادر بود,‫و چیزی که این جوجه غاز ‫ نیاز داشت، یه مادر بود,به یه مادر نیاز داشت,‫یه مادر بود,به یه مادر نیاز داشت,به یه مادر نیاز داشت - اوه -
30:28,30:31,So he looked up at the stars,پس اون به ستاره‌ها نگاه کرد,‫برای همین به آسمون نگاه کرد,پس رو به آسمون کرد,‫واسه همین به ستاره‌ها نگاه کرد,پس رو به آسمون کرد,برای همین، به ستاره‌ها نگاه کرد
30:31,30:33,and asked the brightest one,و از درخشان‌ترین ستاره خواست که,‫و از درخشان‌ترین ستاره خواست,و از درخشان‌ترین ستاره خواست,‫و از روشن ترینـش درخواست کرد,و از درخشان‌ترین ستاره خواست,... و از روشن‌ترین ستاره خواست
30:33,30:35,if it could send him one of their extras.,میشه یکی از مادرای مازادشون رو براش بفرسته یا نه,‫یکی از مادرهای اضافی‌شون رو براش بفرسته,تا یکی از اضافه‌هاش رو براش بفرسته,‫که اگه میشه یکی از اون ‫مادر اضافی‌هاش رو براش بفرستن,تا یکی از اضافه‌هاش رو براش بفرسته,تا یکی از مامان‌های اضافه‌اش رو براش بفرسته
