25:49,25:51,Maybe he has the flu or something?,‫شاید آنفولانزایی چیزی گرفته؟,‫و من، ما، شما رو مثل ‫اعضای خانواده‌مون دوست داریم.
25:51,25:55,Like a virgin vanilla ice cream.,‫مثل یک بستنی وانیلی دست‌نخورده,‫و حالا،
25:55,25:57,<i>Touched for the very first time.</i>,‫که برای اولین بار لمس میشه,‫زیر پامون، سیاره پاکیزه‌مون منتظر ماست.
25:58,26:00,It's gonna be really cold.,‫مطمئنم بدجوری سرده,‫زیر پامون، سیاره پاکیزه‌مون منتظر ماست.
26:00,26:03,Whoever's going down there first is gonna freeze to death.,‫اولین نفری که میره اونجا ‫از سرما یخ می‌زنه,‫چشه؟ خیلی رو اعصابه.
26:05,26:09,"<i>That's it, Mickey. Deep breaths. Fill your lungs.</i>",‫آفرین، میکی ‫نفس عمیق بکش. ریه‌هات رو پر کن,‫شاید آنفولانزا ‫یا یه چیزی شبیه به اون گرفته؟
26:09,26:11,<i>Imagine there's an unknown virus in the air</i>,‫تصور کن یه ویروس ناشناخته توی هواست,‫مثل بستنی وانیلی تازه است.
26:11,26:12,and you're sucking in,‫و داری تک‌تک ذرات میکروسکوپی,‫مثل بستنی وانیلی تازه است.
26:12,26:15,every single microscopic particle floating around.,‫که توی هواست رو می‌کشی داخل,‫این اولین باریه که لمس میشه.
26:15,26:20,All the viruses fill every alveoli.,‫تمام ویروس‌ها تک‌تک ‫کیسه‌های هوایی ریه‌هات رو پر می‌کنن,‫خیلی سرد میشه.
26:23,26:25,So good!,‫عالیه!,‫آفرین میکی. عمیق نفس بکش. ‫ریه‌هات رو از هوا پر کن.
26:26,26:28,So good! Brilliant.,‫عالیه! حرف نداره,‫تصور کن یه ویروس ناشناخته توی هواست ‫و تو داری هر ذره ریز شناور رو نفس می‌کشی.
26:29,26:32,<i>There really was an unknown virus in the air.</i>,‫واقعاً یه ویروس ناشناخته توی هوا بود,‫تصور کن یه ویروس ناشناخته توی هواست ‫و تو داری هر ذره ریز شناور رو نفس می‌کشی.
26:33,26:34,<i>A lethal one.</i>,‫یه ویروس کشنده,‫و همه ویروس‌ها دارن ‫کیسه‌های هوایی ریه‌هات رو پر می‌کنن.
27:26,27:28,Dorothy! Dorothy!,‫دوروتی! دوروتی!,
27:34,27:36,"Oh, wait. He's alive.",‫عه، صبر کنین. زنده‌ست,
27:37,27:38,So fucking what?,‫خب که چی؟,
27:38,27:40,I'm fine.,‫چیزیم نیست,
27:43,27:44,Thank you.,‫ممنون,‫دوروتی! دوروتی!
27:47,27:49,"<i>In the end, thanks to the lab rats,</i>",‫در نهایت، به لطف موش‌های آزمایشگاهی,
27:49,27:53,"<i>Mickey 12, 13, 14, 15 and 16,</i>",‫میکی 12، 13، 14، 15 و 16,‫وایستید. زنده‌ست.
27:53,27:57,"<i>getting stabbed, gassed, dumped and burned, we got the vaccine.</i>",‫که سوراخ سوراخ شدن، با گاز مسموم شدن ‫پرتاب شدن و سوختن، واکسن رو گیر آوردیم,‫- خب که چی؟ ‫- من خوبم.
27:57,27:59,<i>My great gift to mankind.</i>,‫ارمغان بزرگ من برای نسل بشر,‫- خب که چی؟ ‫- من خوبم.
28:00,28:03,"<i>And so, we didn't need oxygen masks,</i>",‫برای همین، دیگه نیازی ‫به ماسک اکسیژن نداشتیم,‫ممنون.
28:03,28:05,<i>and we could see our breath as much as we wanted.</i>,‫و می‌تونستیم هرچقدر که می‌خوایم ‫نفس‌هامون رو ببینیم,‫بالاخره، به لطف موش‌های آزمایشگاهی،
28:06,28:09,"Look at that, Jennifer. Ridiculous.",‫اونو ببین، جنیفر. مسخره‌ست,‫میکی‌های شماره 12، 13، 14، 15 و 16،
28:09,28:11,I can't believe we still live in that thing.,‫باورم نمیشه هنوز توی اون زندگی می‌کنیم,‫میکی‌های شماره 12، 13، 14، 15 و 16،
28:11,28:12,"I know, right?",‫آره والا، مگه نه؟,‫بعد از اینکه با چاقو زدنمون، خفه‌مون کردن، ‫پرت شدیم و سوختیم، واکسن رو به دست آوردیم.
28:12,28:14,"Landfall was ages ago, and we're still eating",‫مدت‌ها پیش فرود اومدیم ‫و هنوزم داریم,‫بعد از اینکه با چاقو زدنمون، خفه‌مون کردن، ‫پرت شدیم و سوختیم، واکسن رو به دست آوردیم.
28:14,28:17,the same crappy in-flight TV dinner.,‫همون غذای حاضری سفینه‌ی ‫آشغال همیشگی رو می‌خوریم,‫هدیه بزرگ من به بشریت.
28:18,28:22,Precisely why we ought to build residential complexes.,‫خب برای همینه که باید ‫مجتمع‌های مسکونی بسازیم,‫دیگه نیازی به ماسک اکسیژن نداشتیم،
28:22,28:24,"You know, grow crops as soon as possible.",‫و هرچه سریع‌تر محصول بکاریم,‫و می‌تونستیم هر چقدر دلمون می‌خواست ‫بخار نفسمون رو ببینیم.
28:24,28:26,"- Yeah, sure. - You know, spread the seed,",‫- آره، حتماً ‫- نطفه‌مون رو پخش کنیم,‫جنیفر، اینو نگاه کن، خیلی مسخره‌ست.
28:26,28:28,"infest the land, propagate the species.",‫سیاره رو تسخیر کنیم ‫نسل بشر رو گسترش بدیم,‫باورم نمیشه هنوز توی ‫اون سفینه زندگی می‌کنیم.
28:32,28:33,It's freezing.,‫هوا یخه,‫خیلی وقته فرود اومدیم، ولی هنوز ‫همون غذای بدرد نخور هواپیما رو می‌خوریم.
28:50,28:52,Whoa. Look at that color.,‫وای، رنگشو ببین,‫هوا خیلی سرده.
28:52,28:54,- Yeah. - It's beautiful...,‫آره، خیلی قشنگه...,
28:59,29:02,He's such a klutz. You should learn some breakfall moves.,‫چقدر دست و پا چلفتیه ‫باید یه سری فن کنترل فرود یاد بگیری,
29:02,29:04,"- You okay? - Yeah, I'm fine.",‫- حالت خوبه؟ ‫- آره، خوبم,
29:04,29:05,Come on.,‫بیا بالا,
29:08,29:10,What's breakfall?,‫فن کنترل فرود چیه؟,‫این رنگ رو نگاه کنید.
29:10,29:12,Look at Kai. Textbook perfect breakfall.,‫کای رو ببین ‫مثال عینی فن کنترل فروده,‫- آره. ‫- خیلی قشنگه...
29:12,29:14,- Yeah? - Shut up.,‫- آره؟ ‫- خفه‌شو بابا,
29:23,29:25,Kai. What is it?,‫کای. چیه؟,‫بیا.
29:29,29:31,"Oh, God! What is that?",‫وای خدا! اون دیگه چیه؟,‫- تکنیک‌های سقوط امن چیه؟ ‫- کای رو نگاه کن. خیلی خوب می‌افته.
29:31,29:34,"Oh, my God!",‫وای خدا!,‫- واقعاً؟ ‫- ساکت شو.
29:34,29:35,Get it off! Get it off!,‫جداش کنین! جداش کنین!,
29:35,29:38,Mickey!,‫میکی!,
29:39,29:42,"What the fuck, man? What the fuck? What the fuck?",‫این دیگه چه کوفتی بود، پسر؟ ‫این دیگه چه کوفتی بود؟,‫کای. این چیه؟
29:42,29:44,What was that? What the heck was that?,‫این دیگه چی بود؟ ‫این دیگه چه کوفتی بود؟,‫کای. این چیه؟
29:44,29:46,"I don't know, but there are more in the hole.",‫نمی‌دونم، ولی توی سوراخه پر از اوناست,
29:47,29:49,- What... - Let's get the fuck out of here.,‫- چی...؟ ‫- بیاین بزنیم به چاک,‫یا خدا! این چیه؟
29:50,29:51,"Come on, Mickey, let's go!",‫یالا میکی، بیا بریم!,‫یا خدا!
29:52,29:54,"Go, go, go. Move! Move!",‫برو، برو، برو. بجنب. بجنب!,‫از من دورش کن!
30:02,30:04,Jennifer!,‫جنیفر!,‫نمی‌دونم، ولی از اینا تو گودال بیشتر هست.
30:08,30:09,Thank you.,‫ممنون,‫بجنب میکی، بریم!
30:11,30:13,"Mickey. Mickey, it's Marshall.",‫میکی. میکی، مارشاله,‫برو! حرکت کن!
30:14,30:17,<i>You fucking useless little asshole!</i>,‫عوضی بی‌شرف بی‌مصرف!,
30:17,30:19,<i>You're an Expendable!</i>,‫تو فدایی هستی!,
30:19,30:21,"<i>You're here to be expended, damn it!</i>",‫- اومدی که فدا بشی، لعنتی! ‫- واقعاً متاسفم، کای,‫جنیفر!
30:21,30:25,"<i>And why is Jennifer Chilton, a precious, fertile female,</i>",‫و چرا جنیفر چیلتون ‫یه زن باارزش و بارور مرده,‫جنیفر!
30:25,30:27,<i>- dead and not you?</i> - Come to my room.,‫- ولی تو نمردی؟ ‫- بیا بریم اتاق من,‫ممنون.
30:27,30:28,"- <i>Honey, try this.</i> - Leave me alone.",‫- عزیزم، اینو امتحان کن ‫- دست از سرم بردار,‫ممنون.
30:30,30:33,<i>That's what I want to know. Disgusting.</i>,‫می‌خوام اینو بدونم. تهوع‌آوره,‫میکی، اون مارشاله.
30:33,30:35,<i>Really? You don't like my sauce?</i>,‫واقعاً؟ سس منو دوست نداری؟,‫ای احمق بی‌فایده!
30:35,30:37,"<i>No, no, no, no, darling.</i>",‫نه، نه، نه، نه، عزیزم,‫تو قابل جایگزینی هستی!
30:37,30:39,"<i>- Those things, look at them.</i> - The fuck's going on?",‫- اونا رو میگم، نگاشون کن ‫- قضیه چیه؟,‫- تو اینجا هستی که جایگزین بشی. ‫- خیلی متأسفم.
30:39,30:41,"<i>They're vicious, aren't they?</i>",‫موجودات خبیثی هستن، مگه نه؟,‫چرا جنیفر چیلتون، که ‫ یه ماده با ارزش و باروره،
30:41,30:43,<i>Hungry's more like it.</i>,‫بیشتر بنظر میاد گرسنه باشن,‫چرا جنیفر چیلتون، که ‫ یه ماده با ارزش و باروره،
30:43,30:45,"<i>Hey, you! Stand still. Don't move.</i>",‫هی، با توام! از جات تکون نخور ‫سر جات بمون,‫- باید بمیره نه تو؟ ‫- بیا اتاق من.
30:47,30:51,<i>They lust for human flesh.</i>,‫میل به خوردن گوشت انسان دارن,‫همینه که می‌خوام بدونم. خیلی حال بهم زنه.
30:54,30:56,<i>They're creepy.</i>,‫چندش‌آورن,‫نه عزیزم.
30:56,30:58,"<i>Oh, honey, that's perfect.</i>",‫اوه عزیزم، این عالیه,‫- اون موجودات رو ببین. ‫- چه خبره؟
30:58,30:59,"<i>You should call them ""creepers"".</i>","‫باید اسمشونو بذاری ""کریپر""",‫خیلی وحشی‌ان، مگه نه؟
30:59,31:02,"<i>I'll call them ""creepers"". I'm calling them ""creepers"".</i>","‫اسمشونو می‌ذارم ""کریپر"" ‫اسمشونو می‌ذارم ""کریپر""",‫بیشتر گرسنه‌ان تا وحشی.
31:02,31:04,"<i>Preston, are you listening?</i>",‫پرستون، گوش میدی؟,‫هی تو! سر جات وایسا. تکون نخور.
31:04,31:06,"<i>Expendable, I've decided, and the Committee,</i>",‫فدایی، من تصمیم گرفتم ‫و همچنین کمیته,‫دارن از گوشت انسان تغذیه می‌کنن.
31:06,31:11,"<i>that going forward, your rations will be halved.</i>",‫که از این به بعد، جیره‌ت نصف میشه,‫دارن از گوشت انسان تغذیه می‌کنن.
31:11,31:13,"<i>So, my shift doubled.</i>",‫بعدش شیفت‌هام دو برابر شدن,‫خیلی ترسناکن.
31:13,31:17,"<i>Fourteen hours every day, seven days a week,</i>",‫ هفت روز هفته، هر روز 14 ساعت,‫عزیزم، این عالیه.
31:17,31:20,<i>until I brought home a creeper sample.</i>,‫تا اینکه یه نمونه از کریپرها رو ‫با خودم برگردونم خونه,"‫اسمشون رو می‌ذارم ""ترسناک‌ها"""
31:20,31:23,Timo! Timo!,‫تیمو! تیمو!,‫پریستون، گوش می‌دی؟
31:48,31:51,"<i>Mickey, sexy chewy, your favorite.</i>",‫میکی، پاستیل خوشمزه برات آوردم ‫خوراکی مورد علاقه‌ت,
31:51,31:54,<i>Chose it myself. Enjoy!</i>,‫خودم انتخابش کردم. نوش جان!,
32:13,32:15,<i>How did I survive that?</i>,‫چطوری از همچین سقوطی جون سالم به‌در بردم؟,
32:25,32:27,Mickey! Whoa.,‫میکی! عجب,
32:28,32:29,You haven't died yet?,‫هنوز نمردی؟,
32:33,32:35,What's it feel like to die?,‫مردن چه حسی داره؟,
32:37,32:41,"<i>Even on my 17th go-around, I really hate dying.</i>",‫با اینکه هفدهمین بارمه ‫ولی واقعاً از مردن متنفرم,
32:44,32:46,<i>Still.</i>,‫هنوزم,‫هنوز نمرده‌ای؟
32:46,32:48,<i>Always.</i>,‫همیشه,
32:48,32:50,<i>Every time.</i>,‫هردفعه,
32:51,32:53,<i>Bon appétit.</i>,‫نوش جان,‫مرگ چه حسی داره؟
33:04,33:07,<i>Where am I? What's going on?</i>,‫من کجام؟ اینجا چه خبره؟,‫هر بار.
33:07,33:09,<i>I'm not coming out of the printer?</i>,‫از چاپگر نمیام بیرون؟,‫هر بار.
33:11,33:15,<i>I'm still 17.</i>,‫هنوزم هفدهمی هستم,"‫ ""نسخه هفدهم میکی"""
33:16,33:20,<i>Why didn't that thing eat me? I was passed out.</i>,‫چرا این موجوده منو نخورد؟ من که بیهوش بودم,
33:22,33:24,<i>Did I not look tasty enough?</i>,‫بقدر کافی خوشمزه بنظر نمیومدم؟,‫من کجام؟ چه خبره؟
33:31,33:33,"<i>Oh, God. It...</i>",‫وای خدا، منو...,‫هنوز نسخه هفدهمم.
33:33,33:36,<i>It was saving me for the kiddos.</i>,‫منو برای بچه‌هاش نگه داشته بود,‫چرا اون موجود منو نخورد؟ من که بیهوش بودم.
33:37,33:40,<i>What a great mom.</i>,‫عجب مامان معرکه‌ای,‫چرا اون موجود منو نخورد؟ من که بیهوش بودم.
33:42,33:45,"<i>Oh, please just make it quick.</i>",‫اوه، لطفاً سریع منو بکشین,‫مزه من اونقدرها هم بد نیست.
33:45,33:48,"<i>Come on guys, big bites. Big bites!</i>",‫یالا بچه‌ها، گازهای گنده بزنین ‫گازهای گنده بزنین!,
33:49,33:51,<i>Ow.</i>,‫آخ,‫یا خدا. اون...
33:51,33:54,<i>Where are you taking me now?</i>,‫حالا دارین منو کجا می‌برین؟,‫منو برای بچه‌هاش نگه داشته بود.
33:56,33:58,<i>Has my meat gone bad after all that reprinting?</i>,‫بعد از اون همه چاپ شدن ‫گوشتم خراب شده؟,‫چه مادر شگفت‌انگیزی.
34:20,34:23,Oh!,‫اوه!,
34:29,34:30,Hey.,‫هی,
34:32,34:34,I'm still good meat.,‫من هنوزم گوشتم سالمه,
34:35,34:37,I'm perfectly good meat.,‫گوشتم کاملاً سالمه,
34:38,34:40,I taste fine.,‫خوشمزه‌م,
34:59,35:01,Ditching me out here in the middle of nowhere.,‫منو اینجا وسط ناکجاآباد ول کردن,
35:04,35:06,It's not cool!,‫اصلاً کار قشنگی نبود!,
35:18,35:21,Hey! Hey!,‫هی! هی!,‫منو وسط ناکجاآباد ول کردن.
35:22,35:22,Stop!,‫وایسا!,‫اصلاً کار جالبی نیست!
35:24,35:26,Hey!,‫هی!,
35:30,35:33,Hey. Hey!,‫هی. هی!,
35:51,35:52,- Whoa! - Keep it coming!,‫همینطور بیا!,
35:52,35:55,- Hey wait! Stop! - Bring it in!,‫- هی صبر کن! وایسا! ‫- بیارش تو!,
35:55,35:56,"No, stop! You can't come through.",‫نه، وایسا! رد نمیشه,
35:56,35:58,- What? - I said stop.,‫- چی؟ ‫- گفتم وایسا,
35:58,36:00,- What's wrong? - What is it now? Shit!,‫- مشکل چیه؟ ‫- باز چی شده؟ لعنتی!,
36:00,36:04,"Hey, look how big that rock is. Are you blind?",‫هی، ببین اون صخره چقدر بزرگه ‫مگه کوری؟,
36:04,36:06,You can't just have the authority to bring something like that in.,‫اجازه نداری همینطوری,
36:07,36:09,You think you can jam something that huge through here?,‫فکر کردی می‌تونی همچین چیز گنده‌ای رو ‫از اینجا بچپونی داخل؟,‫ادامه بدید!
36:10,36:13,"Science requested it, so don't give me shit about it.",‫بخش علوم درخواستش کرده ‫پس گیرشو به من نده,‫- وایستا! وایستا! ‫- بیارش!
36:13,36:15,"You try to jam it in, and scratch anywhere",‫اگر سعی کنی بچپونیش داخل ‫و هرجایی از این دروازه‌ رو,‫نه، وایستا! نمی‌تونی رد بشی.
36:15,36:17,"on this gate, my gate, it's on you.",‫اگر سعی کنی بچپونیش داخل ‫و هرجایی از این دروازه‌ رو,‫- چه خبره؟ ‫- حالا چی شد؟ لعنتی!
36:17,36:20,On me? How? Blame the guys in Science.,‫گردن منه؟ چطوری؟ ‫تقصیر افراد بخش علومه,‫ببین این سنگ چقدر بزرگه. مگه کوری؟
36:20,36:21,"They cut into the site,",‫اونا این صخره رو جدا کردن,‫ببین این سنگ چقدر بزرگه. مگه کوری؟
36:21,36:23,but I got specific orders to bring it as is.,‫و بهم دستور دادن دقیقاً همینطوری بیارمش,‫حق نداری یه همچین چیزی رو وارد کنی.
36:23,36:25,"Well, I don't fucking care, okay?",‫خب برام هیچ اهمیتی نداره، خب؟,‫حق نداری یه همچین چیزی رو وارد کنی.
36:25,36:28,"They're in a meeting over there, I can't reach them.",‫اونجا جلسه گذاشتن ‫نمی‌تونم باهاشون تماس بگیرم,‫فکر می‌کنی می‌تونی یه چیز ‫به این بزرگی رو از اینجا رد کنی؟
36:28,36:29,I'm not taking the fall for this.,‫نمی‌خوام این بیفته گردن من,‫دانشمندا ازم خواستن، پس مزخرف نگو.
36:29,36:30,"Every time you come in here,",‫هردفعه میای اینجا,‫دانشمندا ازم خواستن، پس مزخرف نگو.
36:30,36:33,"my gate, gate three, you act like you own the place.",‫میای دروازه‌ی من، دروازه‌ی شماره‌ی سه ‫جوری رفتار می‌کنی انگار صاحب اینجایی,‫اگه سعی کنی واردش کنی ‫و به هر قسمتی از
36:33,36:35,Why would I wanna own this shithole?,‫چرا باید بخوام صاحب این خراب‌شده باشم؟,‫این دروازه، دروازه من، آسیب بزنی، ‫مسئولیتش با خودته.
36:35,36:37,"You should shut the fuck up, okay?",‫خفه‌خون بگیر، باشه؟,‫با من؟ چه جوری؟ ‫تقصیر رو بنداز گردن دانشمندا.
36:37,36:38,You know what? You need to get laid.,‫می‌دونی چیه؟ ‫حرص نخور شیرت خشک میشه,‫با من؟ چه جوری؟ ‫تقصیر رو بنداز گردن دانشمندا.
36:38,36:40,Fuck you!,‫کون لقت!,‫بدون اجازه وارد شدن، ولی من دستور دارم ‫که همونطوری که هست بیارمش.
36:40,36:42,"Oh, damn, Mickey!",‫یا خدا، میکی!,‫بدون اجازه وارد شدن، ولی من دستور دارم ‫که همونطوری که هست بیارمش.
36:42,36:44,Didn't expect to see you out there today.,‫انتظار نداشتم امروز این بیرون ببینمت,‫به من چه، باشه؟
36:46,36:49,Wait. Is that the time?,‫وایسا. این ساعته؟,‫هر وقت میای اینجا،
36:49,36:53,It's 3:30? That doesn't make any sense.,‫ساعت 3 و نیمه؟ ‫اصلاً با عقل جور در نمیاد,‫چرا باید همچین جای کثیفی رو بخوام؟
36:53,36:55,"That's right, that's it.",‫آره، همینطوری بیا,‫- باید خفه شی، باشه؟ ‫- می‌دونی چیه؟ باید یه شریک پیدا کنی.
36:55,36:57,"Straight down, hold your line. Hold your line.",‫مستقیم، همینطور بیا ‫همینطور بیا,‫گورتو گم کن!
36:57,37:01,Do you remember... Do you remember when I left?,‫یادته... یادته چه ساعتی رفتم؟,‫لعنت بهت میکی!
37:01,37:02,- What did you say? - Hold your line.,‫- چی گفتی؟ ‫- همینطور بیا,‫انتظار نداشتم امروز ببینمت.
37:02,37:06,"No. No, no, wait, Buzzard. That's not how you do it. Jeez!",‫نه، نه، نه، وایسا، بازرد ‫روش درستش این نیست. ای خدا!,‫صبر کن، وقتش رسیده؟
37:06,37:09,Shut it off at the mains. The switch. Hey!,‫با کلید اصلیش قطعش کن ‫با اون کلیده. هی!,‫ساعت 3:30 شده؟ منطقی نیست.
37:09,37:11,"No, no, don't. Stop! Stop!",‫نه، نه، نه، نرو. وایسا! وایسا!,‫ساعت 3:30 شده؟ منطقی نیست.
37:11,37:13,Shit! What did I tell you?,‫لعنتی! مگه بهت نگفتم؟,‫خودشه.
37:13,37:15,Fucking shitbrain.,‫احمق نفهم,‫برو پایین و مسیرت رو حفظ کن.
37:16,37:18,"- Coming through. Line out. - Hi, Steve.",‫- راهو باز کن. برو کنار ‫- سلام استیو,‫یادته کی رفتی؟
37:22,37:23,<i>It's that time again.</i>,‫بازم زمانش از راه رسیده,‫نه، وایستا بوزارد. این روشش نیست. یا خدا!
37:23,37:27,<i>The dinner of your dreams with Kenneth Marshall.</i>,‫شام رویایی‌تون در کنار کنث مارشال,‫از منبع ببندش. کلید رو.
37:27,37:29,<i>Who will be this month's lucky guest of honor?</i>,‫مهمان افتخاری این ماه کی خواهد بود؟,‫نه، وایستا!
37:29,37:31,<i>A grand surprise awaits.</i>,‫یه سورپرایز بزرگ در انتظار شماست,‫لعنتی! بهت چی گفتم؟
37:32,37:34,"<i>Hang on to your ship, because the dove of luck</i>",‫خودتون رو آماده کنین ‫چون ممکنه کبوتر شانس,‫ای احمق.
37:34,37:37,<i>just might come fluttering its wings</i>,‫بال‌ بال‌زنان بیاد,‫- دارم دستور میدم، از سر راه برو کنار. ‫- سلام استیو.
37:37,37:39,<i>with an invitation for you.</i>,‫و یه دعوت‌نامه براتون بیاره,
37:39,37:43,"<i>From dove, with love, over and out.</i>",‫با عشق از طرف کبوتر، تمام,‫دوباره وقتش رسید.
38:22,38:25,What is this?,‫این دیگه چیه؟,
38:25,38:28,Why aren't you dead?,‫چرا نمردی؟,
38:28,38:30,"Oh, no. Oh, God. Oh, God.",‫اوه، نه. وای خدا. وای خدا,
38:30,38:32,"No, no, no.",‫نه، نه، نه,
38:32,38:35,You're 18? They printed you out today?,‫تو هجدهی؟ ‫امروز چاپت کردن؟,
38:35,38:38,"What the fuck is going on? According to Timo,",‫قضیه چیه؟ بر اساس گفته‌های تیمو,
38:38,38:40,you should be sliding out of one of those creeper's assholes,‫الان باید درحال بیرون اومدن,‫این چیه؟
38:40,38:41,right about now.,‫از باسن یکی از اون کریپرها باشی,‫این چیه؟
38:41,38:44,Do you have to put it like that?,‫مجبوری اینطوری بیانش کنی؟,‫چرا نمرده‌ای؟
38:45,38:47,"Oh, God. I'm completely fucked.",‫وای خدا. دهنم سرویسه,‫نه، یا خدا.
38:48,38:49,What do you mean?,‫منظورت چیه؟,‫نه، نه، نه.
38:52,38:53,We're Multiples.,‫متعدد شدیم,‫تو نسخه 18 هستی؟ امروز چاپت کردن؟
39:01,39:04,I gotta kill you.,‫باید بکشمت,‫یا خدا، من بدجوری گیر افتادم.
39:05,39:08,Kill me?,‫منو بکشی؟,‫منظورت چیه؟
39:08,39:11,"I mean, you should probably kill yourself if one of us has to die.",‫احتمالاً باید خودتو بکشی,‫ما نسخه‌های متعددی هستیم.
39:11,39:17,"It's been, like, two hours since I was printed.",‫الان دو ساعتی میشه که چاپ شدم,
39:19,39:20,I've barely had a life.,‫به‌زحمت وقت کردم زندگی کنم,
39:20,39:23,"Well, I was never dead, so you don't count.",‫خب من که نمرده بودم ‫پس تو حساب نیستی,‫باید تو رو بکشم.
39:23,39:25,Go back to the cycler!,‫برگرد توی دستگاه بازیافت!,‫منو بکشی؟
39:29,39:33,<i>Multiples. Where do I even begin?</i>,‫اشخاص متعدد ‫اصلاً از کجا شروع کنم؟,‫دو ساعت از چاپ شدنم می‌گذره.
39:33,39:35,Mankind is not equipped to deal with,‫بشر توانایی اینو نداره که با,‫دو ساعت از چاپ شدنم می‌گذره.
39:35,39:37,the legal and ethical implications,‫پیامدهای قانونی و اخلاقی,‫به زور زندگی کردم.
39:37,39:39,{\an8}of adopting this human printing technology.,‫پذیرش این فناوری چاپ انسان کنار بیاد,‫من اصلاً نمردم. پس تو حساب نیستی.
39:42,39:43,"{\an8}Please tell me,",‫لطفاً بهم بگین,‫برگرد به کوره!
39:43,39:45,can any of you honestly guarantee,‫واقعاً هیچکدومتون می‌تونین تضمین کنین,
39:45,39:49,that the technology will not be abused?,‫که از این فناوری سوءاستفاده نمیشه؟,‫نسخه‌های متعدد. از کجا شروع کنم آخه؟
39:49,39:51,<i>No one in their R and D department</i>,‫هیچکدوم از افراد ‫بخش تحقیق و توسعه‌شون,‫نسخه‌های متعدد. از کجا شروع کنم آخه؟
39:51,39:53,<i>could come up with a convincing answer.</i>,‫جواب قانع‌کننده‌ای نداشت,‫بشریت برای کنار اومدن ‫با پیامدهای قانونی و اخلاقی
39:53,39:55,<i>But the real problem was that</i>,‫ولی مشکل اصلی این بود که,‫بشریت برای کنار اومدن ‫با پیامدهای قانونی و اخلاقی
39:55,39:57,<i>one of the brains behind human printing</i>,‫یکی از مغزهای متفکر ‫پشت فناوری چاپ انسان,‫پذیرش فناوری چاپ انسان آماده نیست.
39:57,40:00,"<i>turned out to be a certified psychopath,</i>",‫یه روان‌پریش درست و حسابی از آب دراومد,"‫ ""زمین چهار سال و دو سوم پیش"""
40:00,40:02,<i>Alan Manikova.</i>,‫آلن منیکووا,‫لطفاً به من بگید،
40:04,40:06,I think it's him.,‫فکر کنم خودشه,‫آیا کسی از شما می‌تونه صادقانه تضمین کنه ‫که این فناوری سوء استفاده نمی‌شه؟
40:06,40:07,Are you sure?,‫مطمئنی؟,‫آیا کسی از شما می‌تونه صادقانه تضمین کنه ‫که این فناوری سوء استفاده نمی‌شه؟
40:07,40:10,<i>There was this series of particularly brutal murders</i>,‫قتل‌های به‌شدت وحشیانه رخ دادن,‫هیچ‌کس توی بخش تحقیق و توسعه ‫نتونست جواب قانع‌کننده‌ای بده.
40:10,40:14,"<i>targeting homeless people, and only one eyewitness account.</i>",‫و فقط یک شاهد وجود داشت,‫ولی مشکل اصلی این بود که ‫یکی از کسایی که آموزش فناوری
40:14,40:17,<i>But it matched Alan Manikova's appearance to a tee.</i>,‫ولی توصیفش ‫دقیقاً با الن منیکووا هم‌خوانی داشت,‫چاپ انسان رو دیده بود، ‫معلوم شد مشکل روانی داره،
40:17,40:22,"<i>The cops thought they had their man, except Manikova had a sure-fire alibi.</i>",‫ولی منیکووا یه عذر موجه سفت و سخت داشت,‫آلن مانیکوف.
40:22,40:23,"<i>At the time of the murder,</i>",‫در زمان قتل,‫- فکر کنم خودشه. ‫- مطمئنی؟
40:23,40:25,<i>he was getting his make-up done for a children's science show.</i>,‫داشت برای یه نمایش علوم کودکان ‫گریم می‌شد,‫- فکر کنم خودشه. ‫- مطمئنی؟
40:25,40:27,Come and help me with the red blood cells,‫میشه یکی بیاد بابت گلبول‌های قرمز,‫یه سری قتل‌های وحشیانه زنجیره‌ای ‫اتفاق افتاد که افراد بی‌خانمان رو هدف قرار می‌داد،
40:27,40:29,"and the white blood cells, please?",‫و گلبول‌های سفید کمکم کنه لطفاً؟,‫یه سری قتل‌های وحشیانه زنجیره‌ای ‫اتفاق افتاد که افراد بی‌خانمان رو هدف قرار می‌داد،
40:32,40:34,<i>But the cops had his number.</i>,‫ولی پلیس‌ دستشو خونده بود,‫ولی توصیفاتش کاملاً ‫با آلن مانیکوف مطابقت داشت.
40:34,40:35,"<i>When they raided Manikova's house,</i>",‫وقتی به خونه‌ی منیکووا یورش بردن,‫پلیس فکر می‌کرد قاتل رو پیدا کرده،
40:35,40:38,<i>they brought two sets of handcuffs and warrants.</i>,‫دو دست‌بند و حکم بردن,‫به جز اینکه مانیکوف یه مدرک مستند ‫برای حضور در جای دیگه داشت.
40:38,40:42,"<i>They were on to him. Or rather, they were on to them.</i>",‫فهمیده بودن چیکار کرده ‫یا بهتره بگم، فهمیده بودن چیکار کردن,‫زمان وقوع جرم،
40:42,40:45,Which one's Manikova Prime?,‫کدومتون منیکووای اصلیه؟,‫میشه لطفا بیاید و تو ‫سلول‌های قرمز و سفید کمکم کنید؟
40:45,40:46,You?,‫تویی؟,‫میشه لطفا بیاید و تو ‫سلول‌های قرمز و سفید کمکم کنید؟
40:47,40:48,Or you?,‫یا تویی؟,
40:48,40:50,"<i>Yep, there were two.</i>",‫آره، دو تا بودن,‫ولی پلیس شماره‌اش رو داشت.
