Start Time,End Time,English,How to Train Your Dragon- open subtitle.srt,How.to.Train.Your.Dragon.2025.AMZN.WEB-DL.Fa[UTF-8].srt
16:47,16:50,He’s probably out there now.,و من اينجا خواهم بود، شايد,احتمالاً الان هم اون بیرونه
17:22,17:25,How could I lose an entire dragon?!,آره، شوخي که نميکني، درسته؟ درد، عاشقشم- اوه، عاليه، کي گذاشت اون بياد تو؟-,چطور اژدها به اون بزرگی رو نزدم؟
18:25,18:27,I did it.,سريع...اولين چيزي که لازم دارين، چيه؟,زدمش
18:29,18:30,I did it!,يه زره؟- زره. برين-,!زدمش
18:39,18:42,"Oh, why couldn’t you have been dead?",دستت رو از زره من بکش- فکر کنم يه ميليون زره اينجا هست-,آه، آخه چرا نمردی؟
18:44,18:46,Now I have to kill you.,اوپس، اين يکي روش خونه,حالا باید بکشمت
20:44,20:45,Hiccup.,,هیکاپ
20:46,20:49,Dad. Uh...,,...بابا. آ
20:50,20:53,"Look, I need to talk to you, Dad.",,ببین، باید باهات صحبت کنم، بابا
20:55,20:58,"I need to speak with you, too, son.",,منم باید باهات صحبت کنم، پسرم
21:00,21:01,I’ve decided I don’t want,,...تصمیم گرفتم که نمی‌خوام
21:01,21:02,- to fight dragons. - I think it’s time,,با اژدهایان بجنگم - فکر کنم الان وقتشه -
21:03,21:03,you learn to fight dragons.,,یاد بگیری با اژدهایان بجنگی
21:03,21:04,What?,,چی؟
21:04,21:06,"Well, you go first.",,خب، اول تو بگو
21:06,21:07,"No, no, no, no. You-you go first.",,نه، نه، نه تو اول بگو
21:07,21:09,You get your wish.,,به آرزوت رسیدی
21:10,21:11,Dragon training.,,آموزش اژدها
21:11,21:13,Start in the morning.,,صبح شروع میشه
21:14,21:16,"Oh, man, I really should’ve gone first.",چرا تو پرواز نمي کني؟,ای وای، من باید اول می‌گفتم
21:16,21:18,"You know, ’cause I-I was thinking,",چرا تو پرواز نمي کني؟,می‌دونی، چون فکر کردم
21:18,21:21,"we have a surplus of dragon-fighting Vikings,",چرا تو پرواز نمي کني؟,ما کلی وایکینگ اژدها‌کُش اضافه داریم
21:21,21:23,but do we have enough bread-making Vikings or...,,ولی به اندازه‌ی کافی وایکینگ نونوا نداریم ...یا
21:23,21:24,You’ll need this.,,این لازمت میشه
21:25,21:28,Dad... I don’t want to fight dragons.,,بابا... من نمی‌خوام با اژدهایان بجنگم
21:28,21:29,Come on.,,بی‌خیال
21:29,21:31,"Yes, you do.",,چرا، می‌خوای
21:31,21:32,"No, let me rephrase.",,نه، بذار اینطور بگم
21:33,21:34,I can’t kill dragons.,,من نمی‌تونم اژدهایان رو بکشم
21:34,21:36,But you will.,,اما خواهی کشت
21:36,21:38,"No, I’m very extra sure that I won’t.",,نه، من کاملاً مطمئنم که نمی‌کشم
21:38,21:41,"It’s time, Hiccup.",,وقتشه هیکاپ
21:43,21:46,Uh... can you not hear me?,,آ... حرف‌هام رو نمی‌شنوی؟
21:46,21:48,Can you not hear me?!,,تو حرف‌هام رو نمی‌شنوی؟
21:54,21:58,The Trial of Flame is where Vikings are made.,آستريد امروز توي ميدان کجا اشتباه کرد؟,آزمون آتش جایی که وایکینگ‌ها ساخته میشن
21:58,22:03,"Where heroes are forged, where future chiefs are born.",من تو دهمين شيرجه ام اشتباه کردم اونجا کثيف بود و به همين دليل سُر خوردم,جایی که قهرمانان شکل می‌گیرن جایی که رئیس‌های آینده به دنیا میان
22:04,22:07,I... I’m none of those things.,آره، ما به اين موضوع توجه کرديم- نه،نه، تو عالي بودي، جدي ميگم آستريد-,من... هیچکدوم اون چیزا نیستم
22:08,22:10,"I’m not like you, Dad.",اون راست ميگه. بايد خودتون رو قوي کنين هيکاپ کجا اشتباه کرد؟,من مثل تو نیستم، بابا
22:15,22:17,Listen.,ممنون، آستريد. شماها نياز دارين که از اين استفاده کنين و باهاش زندگي کنين,گوش کن
22:21,22:23,"When you carry this axe,",...آيين نامه اژدها هر چيزي که ما در مورد هر اژدهايي که ميشناسيم ميدونيم,وقتی این تبر رو حمل می‌کنی
22:23,22:26,you carry all of us with you.,...آيين نامه اژدها هر چيزي که ما در مورد هر اژدهايي که ميشناسيم ميدونيم,همه‌ی ما رو با خودت حمل می‌کنی
22:26,22:27,"Which means you walk like us,",,یعنی مثل ما راه میری
22:28,22:31,"you talk like us, you think like us.",امشب حمله اي در کار نيست عجله کنين,مثل ما حرف می‌زنی و مثل ما فکر می‌کنی
22:31,22:35,No more of... this.,صبر کن، منظورت اينه که بخونيم؟- چرا ما هنوز زنده ايم؟-,دیگه خبری از... این نیست
22:36,22:38,You just gestured to all of me.,چرا کتاب بخونيم در حالي که ميتونيم اون چيزي رو که کتاب در موردش ميگه بکُشيم؟,تو که الان به سرتاپام اشاره کردی
22:38,22:39,Deal?,من اونو در حدود 7 بار خوندم. اژدهاهاي آبي اي وجود دارن ...که آب جوش روي صورتتون مي پاشن و,قبوله؟
22:39,22:41,This conversation is feeling very one-sided.,من اونو در حدود 7 بار خوندم. اژدهاهاي آبي اي وجود دارن ...که آب جوش روي صورتتون مي پاشن و,این مکالمه خیلی یه طرفه بنظر میاد
22:41,22:43,Deal?,من اونو در حدود 7 بار خوندم. اژدهاهاي آبي اي وجود دارن ...که آب جوش روي صورتتون مي پاشن و,قبوله؟
22:45,22:47,Deal.,آره، به نظر جالبه. حتماً تو يه فرصت مناسب مي خونيمش- ...اما حالا-,قبوله
22:47,22:48,Good.,آره، به نظر جالبه. حتماً تو يه فرصت مناسب مي خونيمش- ...اما حالا-,خوبه
22:55,22:56,Train hard.,پس فکر کنم ما باهم تو اين کار سهيم هستيم؟- بخونش-,به سختی تمرین کن
22:58,23:00,I’ll be back.,يعني همه اش مال من؟ واو. پس باشه فردا ميبينمت,من برمی‌گردم
23:03,23:05,Probably.,,احتمالاً
23:09,23:11,And I’ll be here.,,و منم اینجا خواهم بودم
23:13,23:15,Maybe.,...دسته بندي اژدهاها,شاید
23:19,23:22,Welcome to the Trial of Flame.,"اژدهاي ""رعدآسا"". اين اژدهاي گوشه گير در گودالهاي دريا و برکه هاي کم آب تاريک زندگي ميکنه",به آزمون آتش خوش اومدین
23:36,23:39,The moment we’ve all been waiting for.,"تيمبرجک"". اين مخلوق غول پيکر بالهاي"" تيزي داره که ميتونه درختان تنومند رو ببُره",لحظه‌ای که همه‌مون منتظرش بودیم
23:39,23:41,I just got to pick a spot for my statue.,به شدت خطرناکه، فوراً ميکُشه,من که فقط باید یه جایی برای نصب مجسمه‌م پیدا کنم
23:42,23:43,It’s so much bigger from down here.,"اسکالترين"". به قرباني اش آب جوش مي پاشه"" ...به شدت خطرناک",از این پایین خیلی بزرگتره
23:44,23:46,Can you guys believe we’re actually standing here?,"اسکالترين"". به قرباني اش آب جوش مي پاشه"" ...به شدت خطرناک",باورتون میشه واقعاً اینجا ایستادیم؟
23:46,23:49,This is where Chief Greybile slew the Whispering Death.,"اسکالترين"". به قرباني اش آب جوش مي پاشه"" ...به شدت خطرناک","اینجا جاییه که رئیس گریبیل گردن ""نجوای مرگ"" رو زد"
23:50,23:51,"Yeah, and it’s where Chief Tuffnut",,آره، و جایی که رئیس تافنات
23:51,23:52,will slay everything else.,,بقیه‌شون رو سلاخی می‌کنه
23:52,23:53,"- Watch and learn. - Man, I can’t wait","چينج وي"". حتي هر بچه اژدهاي تازه به دنيا اومده اي هم"" ميتونه اسيد بپاشه. فوراً ميکُشه",نگاه کن و یاد بگیر - پسر، نمی‌تونم منتظر بمونم -
23:54,23:55,to get some legendary war wounds!,"چينج وي"". حتي هر بچه اژدهاي تازه به دنيا اومده اي هم"" ميتونه اسيد بپاشه. فوراً ميکُشه",!تا چند تا زخم جنگی افسانه‌ای بخورم
23:56,23:58,"Yeah, like a nasty gash right across my face.","چينج وي"". حتي هر بچه اژدهاي تازه به دنيا اومده اي هم"" ميتونه اسيد بپاشه. فوراً ميکُشه",آره، مثلاً یه زخم زشت درست روی صورتم
23:58,24:00,- Call me boring... - Boring.,"...""گرونکل""، ""زيپل بک""، ""اسکريل""",...شاید بهم بگین حوصله‌سر‌بر - حوصله‌سر‌بر -
24:00,24:01,...but I’m just excited to see,"...""گرونکل""، ""زيپل بک""، ""اسکريل""",...اما من خیلی هیجان زده‌م چون
24:01,24:03,some real live dragons up close.,"""کرون نپر""، ""زمزمه گر مرگ""",قراره چند تا اژدهای واقعی رو از نزدیک ببینم
24:04,24:07,"You know, I could do without the permanent injuries and...",قربانيان رو مي سوزونه، قربانيان رو دفن ميکنه قربانيان رو خفه ميکنه,می‌دونین، بدون اینکه ....زخم‌های مادام‌العمر بردارم
24:07,24:08,"Oh, where’s the glory in that?",قربانيان رو مي سوزونه، قربانيان رو دفن ميکنه قربانيان رو خفه ميکنه,آه، این چه افتخاری داره؟
24:08,24:10,"Yeah, it’s only fun if you get a scar out of it.",...شکم قربانيان رو از هم مي دَره,آره، فقط وقتی که ازشون زخم بخوری باحال میشه
24:10,24:12,"I know, right?",به شدت خطرناک به شدت خطرناک,می‌دونم، نه؟
24:13,24:14,Pain.,فوراً ميکُشه، فوراً ميکُشه فوراً ميکُشه,درد
24:14,24:16,Love it.,فوراً ميکُشه، فوراً ميکُشه فوراً ميکُشه,عاشقشم
24:16,24:18,"Oh, great. Who let him in?",فوراً ميکُشه، فوراً ميکُشه فوراً ميکُشه,عالی شد. کی این رو راه داده؟
24:18,24:20,"Mm, I guess Daddy pulled some strings, huh?","خشم شب"". سرعت ناشناخته"" اندازه ناشناخته",فکر کنم بابایی یه کم پارتی‌بازی کرده، نه؟
24:20,24:22,"Aren’t you two, like, a little old to be here?","خشم شب"". سرعت ناشناخته"" اندازه ناشناخته",شما دو تا یه خرده بزرگتر از اون نیستن که اینجا باشین؟
24:22,24:24,"- Ouch. - Wait, what did you say, whippersnapper?","خشم شب"". سرعت ناشناخته"" اندازه ناشناخته",ای وای - وایسا ببینم چی گفتی جوونک بی‌تجربه؟ -
24:24,24:25,What did you say? Can you say it again?,"خشم شب"". سرعت ناشناخته"" اندازه ناشناخته",الان چی گفتی؟ - میشه دوباره بگی؟ -
24:26,24:28,"Yeah, touchy subject.",فرزند شوم روشنايي و مرگ,آره، موضوع حساسیه
24:28,24:30,They’ve flunked dragon training a few times.,فرزند شوم روشنايي و مرگ,اونا چند بار در آموزش اژدها رد شدن
24:30,24:31,"Um, it was four times, actually.",هرگز اين اژدها رو انتخاب نکن,آ... راستش، چهار بار بوده
24:32,24:33,"Yeah, and it’s called being held back.",تنها شانس شما: پنهان شو و دعا کن که پيدات نکنه,آره، و بهش میگن درجا نگه داشتن
24:33,24:35,As in too valuable to let go of.,تنها شانس شما: پنهان شو و دعا کن که پيدات نکنه,یعنی خیلی ارزشمندتر از اونیم که ولمون کنن
24:35,24:38,"Real sensitive, Hiccup.",تنها شانس شما: پنهان شو و دعا کن که پيدات نکنه,واقعاً حساسه هیکاپ
24:38,24:39,"Nice name, by the way.",,راستی اسم قشنگیه
24:40,24:41,Your name is Snotlout.,,اسم تو هم اسناتلاته
24:41,24:42,Exactly.,,دقیقاً
24:42,24:44,It’s a manly Viking name.,,یه اسم مردونه‌ی وایکینگی
24:45,24:46,Translates from the ancient texts as,,ترجمه شده از روی متون باستانی که میگه
24:46,24:48,"""one who beateth the snot out of a...""",,"...کسی که چنان می‌زند که آب‌دماغ"""
24:48,24:49,Shut up.,,خفه
24:49,24:51,Let’s get started.,تقريباً ميتونم بوشون رو استشمام کنم. اونا نزديک هستن,بیاین شروع کنیم
24:51,24:52,Bloody kids.,تقريباً ميتونم بوشون رو استشمام کنم. اونا نزديک هستن,بچه‌های لعنتی
24:53,24:57,You are now the latest to join this time-honored tradition.,همين طور به پيش برين,الان شما جدیدترین افرادی هستین که به این سنت دیرینه پیوستین
24:57,24:59,Every toe biter born into our tribe,,هر نوزادی که در قبیله‌مون به دنیا میاد
24:59,25:01,must one day survive this arena,,اگه آرزوی این رو داره که در کنار بقیه‌مون مبارزه کنه
25:01,25:04,if they ever hope to do battle alongside the rest of us.,,باید یه روزی از این میدان نبرد جون سالم به در ببره
25:06,25:08,It will be grueling.,ما رو ببر اونجا- به سمت بندر- دروازه پشت جهنم-,کار خیلی سخیه
25:10,25:13,"And it will be very, very dangerous.",به سمت بندر- (براي بندر (حرکت ميکنيم-,و قراره حسابی حسابی خطرناک باشه
25:14,25:19,But whoever does best will win the title of Top Slayer.,,"اما اونی که بهتر از همه باشه عنوان ""شکارچی برتر"" رو خواهد گرفت"
25:20,25:23,And with it...,,...و با اون
25:23,25:26,"And with it, the honor of killing their first dragon",,و با اون، افتخار کشتن اولین اژدهاش
25:26,25:29,in front of the entire village.,,در برابر کل روستا رو به دست میاره
25:29,25:31,There is no greater glory.,"هي، ميدوني؟ من اتفاقي متوجه شدم که کتاب چيزي در مورد ""خشم شب"" نداشت",هیچ افتخار بزرگتری از این نیست
25:32,25:33,What?,"هي، ميدوني؟ من اتفاقي متوجه شدم که کتاب چيزي در مورد ""خشم شب"" نداشت",چیه؟
25:33,25:35,"Hiccup already killed a Night Fury,","هي، ميدوني؟ من اتفاقي متوجه شدم که کتاب چيزي در مورد ""خشم شب"" نداشت",هیکاپ قبلاً یه خشم شب کشته
25:35,25:38,"so does that, like, what, disqualify him or...","چيزي مثل يه کتاب ديگه هست؟ يا دنباله (اين کتاب)؟ يا شايد يه اعلاميه کوچيک در مورد ""خشم شب""؟",...این باعث نمی‌شه که مثلاً دیگه صلاحیت نداشته
25:38,25:40,"Oh, ignore him.","چيزي مثل يه کتاب ديگه هست؟ يا دنباله (اين کتاب)؟ يا شايد يه اعلاميه کوچيک در مورد ""خشم شب""؟",آه، بهش محل نذار
25:40,25:42,You’re skinny.,تمرکز کن، هيکاپ تو حتي تلاش هم نمي کني,تو خیلی لاغری
25:42,25:43,You’re weak.,تمرکز کن، هيکاپ تو حتي تلاش هم نمي کني,ضعیفی
25:43,25:45,That’ll make you less of a target.,تمرکز کن، هيکاپ تو حتي تلاش هم نمي کني,اینطوری کمتر هدف می‌گیرنت
25:45,25:47,They’ll see you as slim pickings.,امروز همه اش در مورد حمله هست,فکر می‌کنن گوشتی به تنت نیست
25:47,25:48,Not worth the effort.,امروز همه اش در مورد حمله هست,و ارزش نداره براش تلاش کنن
25:48,25:52,"They’ll go after the more, uh...","نادر"" ها در راه رفتن سريع و سبُک هستن"" کار تو اينه که سريعتر و سبک تر باشي",...بیشتر میرن دنبال
25:52,25:54,Viking-like teens instead.,"نادر"" ها در راه رفتن سريع و سبُک هستن"" کار تو اينه که سريعتر و سبک تر باشي",جوون‌های شبیه وایکینگ‌ها
25:55,25:58,Behind these doors are just a few of the many species,من واقعاً ميخوام در مورد روشهاي تدريس تو سؤال کنم,پشت این درها فقط تعداد کمی از بی‌شمار اژدهاییه که
25:58,25:59,you will learn to fight.,من واقعاً ميخوام در مورد روشهاي تدريس تو سؤال کنم,جنگیدن باهاشون رو یاد می‌گیرین
25:59,26:02,The Deadly Nadder.,دنبال نقطه کورش بگرد هر اژدهايي يکي داره,ندر مرگبار
26:02,26:03,"Attack eight, armor 16.",اونو پيدا کن، توش مخفي شو و حمله کن,قدرت ضربه 8، زره 16
26:04,26:05,The Hideous Zippleback.,اونو پيدا کن، توش مخفي شو و حمله کن,زیپلبک مخوف
26:05,26:06,"Plus 11 stealth, times two.",اونو پيدا کن، توش مخفي شو و حمله کن,مثبت 11 مخفی‌کاری ضربدر 2
26:06,26:07,The Monstrous Nightmare.,تا حالا حموم کردي؟- اگه خوشت نمياد، برو نقطه کور خودت رو پيدا کن-,کابوس هیولایی
26:08,26:09,- Firepower 15. - The Terrible Terror.,تا حالا حموم کردي؟- اگه خوشت نمياد، برو نقطه کور خودت رو پيدا کن-,"قدرت آتش 15 - ""بلای وحشتناک"" -"
26:10,26:12,"- Attack eight, venom 12! - Will you stop that!",تا حالا حموم کردي؟- اگه خوشت نمياد، برو نقطه کور خودت رو پيدا کن-,قدرت ضربه 8، زهر 12 - !میشه بس کنی -
26:13,26:15,You big bag of wool.,نقطه کور، آره نقطه مرگ، نه زياد,نره خر پشمالو
26:17,26:20,"And finally, the gruesome Gronckle.","هي، هي، چطوري يه نفر ميتونه خودش رو از ""خشم شب"" مخفي کنه؟","""و بالاخره ""گرانکل مخوف"
26:20,26:22,Jaw strength eight.,"هي، هي، چطوري يه نفر ميتونه خودش رو از ""خشم شب"" مخفي کنه؟",قدرت آرواره 8
26:25,26:27,"Uh, hey, big guy, aren’t you gonna, like,",ميدونم، ميدونم، ولي حالا به فرض,آه... گنده‌بک، نمی‌خوای اولش
26:28,26:29,teach us something first?,ميدونم، ميدونم، ولي حالا به فرض,یه چیزی یادمون بدی؟
26:30,26:32,I believe in learning on the job.,,من به آموزش در حین کار اعتقاد دارم
26:36,26:38,Today is all about defense.,,امروز آموزش دفاع می‌بینین
26:40,26:41,"If you get blasted, you’re out.",,اگه ضربه بخورین، اخراجین
26:41,26:43,"Or, you know, dead.",مواظب باش، عزيزم. من مراقب اين يکي هستم,یا می‌دونین، می‌میرین
26:43,26:45,So what’s the first thing you’re gonna need?,مواظب باش، عزيزم. من مراقب اين يکي هستم,خب، اولین چیزی که بهش نیاز دارین چیه؟
26:45,26:46,"- A shield! - Shield, yes. Go.",,!یه سپر - سپر، آره. برین وردارین -
26:46,26:48,- Out of my way. - That one’s mine!,خورشيد تو چشمام بود، آستريد از من ميخواي چيکار کنم؟,از سر راهم برو کنار - !اون مال منه -
26:48,26:51,Shield is your most important piece of equipment.,خورشيد تو چشمام بود، آستريد از من ميخواي چيکار کنم؟,سپر مهمترین قطعه در بین تجهیزات شماست
26:52,26:56,If you have to choose between a weapon and a shield...,,...اگه بخواین بین یه اسلحه و سپر انتخاب کنین
26:56,26:58,Just put it down.,,اینو بذار زمین
26:58,26:59,Take the shield.,,سپر رو بردار
27:00,27:01,"- Give it! - Mine, mine, mine!",تا حالا کسي يکيشون رو در حال چرت زدن هم نديده؟- !هيکاپ-,!بده‌ش من - !مال منه، مال منه، مال منه -
27:01,27:02,Find your own shield!,تا حالا کسي يکيشون رو در حال چرت زدن هم نديده؟- !هيکاپ-,!یه سپر برای خودت پیدا کن
27:06,27:09,"Ruffnut, Tuffnut, you’re out.",عشق در ميدان نبرد- کار دختره بهتره-,رافنات، تافنات، اخراجین
27:10,27:13,Shields are good for another thing: noise.,عشق در ميدان نبرد- کار دختره بهتره-,سپر برای یه کار دیگه هم مفیده سر و صدا
27:13,27:16,Make plenty of it to throw off the dragon’s aim.,...اجازه بده...چرا تو,کلی سر و صدا درست کنین تا حواس اژدها پرت بشه
27:18,27:22,"Remember, all dragons have a limited number of blasts.",,یادتون باشه، تمام اژدهایان تعداد محدودی شلیک دارن
27:22,27:24,How many does a Gronckle have?,کارت عالي بود، آستريد,گرانکل چند تا داره؟
27:24,27:25,"Ooh, ooh! Six!",کارت عالي بود، آستريد,!وای، وای، 6 تا
27:25,27:27,"Six, yes.",به نظرت شبيه يه جوک مي مونه؟,شیش، آره
27:27,27:28,That’s one for each of you.,به نظرت شبيه يه جوک مي مونه؟,یعنی یکی برای هر کدوم شما
27:28,27:30,"Although, interesting tidbit,",به نظرت شبيه يه جوک مي مونه؟,البته یه نکته‌ی جالب
27:30,27:33,rocks from different regions vary in mineral comp...,کمي مونده تا جنگ والدينمون مال ما بشه بفهم که کجا قرار داري,سنگ‌هایی که برای مناطق مختلف هستن ...ترکیبات معدنی متفاوتی دارن
27:36,27:38,What are you do... What are you doing?,,تو چیکار... تو چیکار می‌کنی؟
27:38,27:40,What are you doing? Get in there!,,!چیکار می‌کنی؟ برو اون وسط
27:42,27:43,"Fishlegs, you’re out.",,فیش‌لگز، اخراجی
27:45,27:46,- Four shots left. - Yeah.,,چهار تا شلیک مونده - آره -
27:46,27:48,We’re pretty much gonna be the stars of this thing.,,ما به احتمال زیاد ستاره‌های این کار میشیم
27:48,27:50,Almost like we were meant to be together.,,تقریباً انگار قسمت همدیگه‌ایم
27:50,27:52,"It’s an elimination game, genius.",,این یه بازی حذفیه، نابغه
27:52,27:54,There’s only one Top Slayer.,,فقط یه شکارچی برتر داریم
27:57,27:59,"Snotlout, you’re done.",,اسناتلات، اخراجی
27:59,28:01,Three shots.,,سه تا شلیک
28:01,28:03,"Looks like it’s just you and me, huh?",,انگار فقط تو موندی و من، نه؟
28:03,28:05,Nope. Just me.,,نچ. فقط من
28:06,28:08,Hey! Eyes on me!,,!هی! من رو ببین
28:15,28:17,"Yes. Well done, Astrid.",,آره. آفرین استرید
28:17,28:20,Two shots left.,,دو تا شلیک باقی مونده
28:20,28:21,"Oh, come on.",,آه، بی‌خیال
28:23,28:25,"Hiccup, you’re out.",,هیکاپ، تو اخراجی
28:25,28:26,"- One shot left. - Hey, watch it!",,فقط یه شلیک مونده - !هی، مراقب باش -
28:28,28:30,Hiccup!,,!هیکاپ
28:32,28:35,End of lesson.,,پایان آموزش
28:39,28:42,"Back to bed, you overgrown sausage.",,برو توی تختت، سوسیس گنده
28:49,28:55,"Remember, a dragon will always, always...",,یادتون باشه، یه اژدها همیشه‌ی خدا
28:56,28:58,...go for the kill.,ها؟ بي دندوني,فقط دنبال کشتنه
29:12,29:15,"So, why didn’t you?",ديگه ندارم,پس چرا تو این کارو نکردی؟
30:20,30:22,Okay.,,بسیارخب
31:13,31:15,Huh.,,ها
31:31,31:33,"Let’s review, shall we?",,بیاین مرور کنیم، خب؟
31:33,31:35,Where did Astrid go wrong in the ring today?,,امروز کجای کار استرید اشتباه بود؟
31:35,31:37,I mistimed my somersault dive.,,زمان شیرجه‌م اشتباه بود
31:37,31:39,It was sloppy. It threw off my reverse tumble.,,بی‌دقتی بود باعث شد معلق زدنم خراب بشه
31:39,31:41,"- Uh, yeah. We noticed. - Hey.",,آره، متوجه شدیم - هی -
31:41,31:43,Back off my girl. All right?,,دست از سر دوست دخترم بردار. افتاد؟
31:44,31:45,- She’s trying her best. - Yeah.,,اون تموم تلاشش رو کرد - آره -
31:45,31:47,Don’t beat yourself up. You’ll get it.,,خودت رو سرزنش نکن. بالاخره موفق میشی
31:47,31:49,Just follow my lead next time.,,فقط دفعه‌ی بعدی دنبال من بیا
31:49,31:51,Astrid’s right.,,استرید درست میگه
31:51,31:53,You’ve got to be tough on yourselves.,,باید به خودتون سخت بگیرین
31:53,31:56,All it takes is one weak link.,,فقط کافیه یکی‌تون ضعیف باشه
31:57,32:00,"You made it, then?",,بالاخره اومدی؟
32:01,32:03,"You got to start taking this seriously,",,تو دیگه باید این آموزش‌ها رو جدی بگیری
32:03,32:05,because we are living in a battleground.,,چون ما در میدان نبرد زندگی می‌کنیم
32:05,32:08,"And in case you haven’t noticed, the other side is winning.",,و اگه تا الان متوجه نشدین، دشمن داره برنده میشه
32:09,32:11,You’re gonna need every advantage you can get.,,به هر برگ برنده‌ای که دارین نیاز خواهید داشت
32:11,32:13,"So, if you haven’t done your homework,",,خب، اگه تکالیف‌تون رو انجام ندادین
32:14,32:15,allow me to present to you...,,اجازه بدین بهتون معرفی کنم
32:20,32:22,...the Book of Dragons.,,کتاب اژدهایان
32:24,32:27,Everything we know about every dragon we know of.,,تمام چیزهایی که درباره‌ی تمام اژدهایانی که می‌شناسیم، می‌دونیم
32:27,32:29,Each of your tribes brought their wisdom,,هر کدوم از قبیله‌هاتون، دانش و تجربه‌شون
32:30,32:32,and experience to these pages.,,رو در صفحات این کتاب نوشتن
32:33,32:35,It’s our most hallowed possession.,,مقدس‌ترین دارایی ماست
32:37,32:40,"No dragon raids tonight, so study up.",,امشب هیچ اژدهایی حمله نمی‌کنه پس شروع کنین به خوندن
32:42,32:43,You mean read?,,منظورت اینه که بخونیمش؟
32:44,32:45,I’ve read it like a hundred times.,,من فکر کنم صدها بار خوندمش
32:46,32:48,There’s a Scauldron that sprays your face with boiling water.,,یه اسکالدرون هست که روی صورتت آب جوش می‌پاشه
32:48,32:51,"And then there’s, um, another...",,...و بعدش... یه
32:51,32:53,Why would I read words,,چرا باید این چیزا رو بخونم
32:53,32:56,when I can just kill the stuff the words tell me stuff about?,,وقتی می‌تونم راحت اون چیزی که توی این کتاب هست رو بکشم
32:56,32:57,"Right? I mean, like, I’m the kind of guy",,نه؟ منظورم اینه که من از اون آدمام که
32:57,32:59,that other guys write word books about.,,بقیه‌ی آدما درباره‌ش کتاب می‌نویسن
32:59,33:01,Nice.,,عالی بود
33:01,33:03,"- SNOTLOUT and TUFFNUT: Boys! - Don’t worry, though.",,بچه‌ها - نگران نباشین -
33:03,33:06,"I’m here for all of your dragon-related inquiries, okay?",,من برای جواب دادن به تمام سوالات شما درباره‌ی اژدهایان اینجام، خب؟
33:06,33:07,"Theories, stats.",,نظریه‌ها، آمارها
33:07,33:10,"I’ve even made, um, cards, um...",,حتی براشون کارت درست کردم
33:12,33:13,You can ask me anything.,,می‌تونین هر چیزی ازم بپرسین
33:13,33:14,- Stop following me. - Here.,,دنبالم نیا - بگیر -
33:14,33:15,How about now? Try me now.,و با يه چرخش، دستم رو گرفت و بلعيدش,الان چی؟ امتحانم کن
33:15,33:17,Absolutely not.,و با يه چرخش، دستم رو گرفت و بلعيدش,بهیچ عنوان
33:25,33:27,So...,اون حتماً علم غيب داشت. چون يک ماه هم نگذشته بود که يکي از اونا پاي منو خورده بود,...خب
33:27,33:30,"sounds like a gruesome, grisly, good time, huh?",اين خارق العاده نيست که فکر کني دستت داخل يه اژدهاست؟,بنظر کتاب خوب و وحشتناک و ترسناکی میاد، نه؟
33:31,33:32,Read it.,اگه هنوز کنترل عقلت دست خودت باشه ميتوني اژدها رو از داخل بدنش بکُشي,بخونش
33:32,33:34,"Y-You know, uh...",اگه هنوز کنترل عقلت دست خودت باشه ميتوني اژدها رو از داخل بدنش بکُشي,...می‌دونی
33:34,33:37,maybe they’re not as bad as we think they are.,با فشار دادن قلبش يا يه همچين چيزي,شاید اونا اونقدری که ما فکر می‌کنیم هم بد نباشن
33:39,33:41,"Are you actually insane, or do you just act that way?",قسم ميخورم که الان خيلي عصباني ام من انتقام اون دست خوشگل و اون پاي خوشگلت رو ميگيرم,تو واقعاً دیوونه‌ای یا فقط خودت رو زدی به دیوونگی؟
33:41,33:44,Is-is there... is there a third option?,من پاهاي هر اژدهايي رو که باهاش مي جنگم، قطع ميکنم !با صورتم,گزینه... گزینه‌ی سومی‌ هم هست؟
33:45,33:47,Wiping out dragons is why we’re here.,نه. چيزي که در واقع تو ميخواي، بالها و دُمشونه,دلیل اینجا بودن ما نابود کردن اژدهایانه
33:48,33:50,It’s why the best of our tribes came together.,نه. چيزي که در واقع تو ميخواي، بالها و دُمشونه,به همین خاطر بهترین‌های قبیله‌هامون اینجا جمع شدن
33:50,33:54,"Because yes, dragons are as bad as we think.",اگه نتونه پرواز کنه، پس نميتونه فرار کنه,چون بله، اژدهایان به همون اندازه که فکر می‌کنیم، بد هستن
33:54,33:55,"Y-Yeah, I-I know. I’m just saying,",يه اژدهاي زمين گير، يه اژدهاي مُرده هست- آره-,آره... می‌دونم، فقط میگم
33:56,33:57,maybe we’re part of the problem.,خيلي خوب، من ميرم بخوابم,شاید ما بخشی از مشکل هستیم
33:57,34:01,"You know, moving in on their lands, eating their food.",خيلي خوب، من ميرم بخوابم,می‌دونی، اومدیم به سرزمین اونا غذاهاشون رو می‌خوریم
34:06,34:08,Wow.,"به آرامي ولي با اطمينان داريم راهمون رو به سمت ""کابوس ترسناک"" هموار ميکنيم",عجب
34:08,34:10,"You live in a different world, don’t you?",اما کي افتخار کُشتن اون رو پيدا ميکنه؟- احتمالاً اون شخص منم. اين سرنوشتمه. ميبينيد؟-,تو توی یه دنیای دیگه زندگی می‌کنی، نه؟
