Start Time,End Time,English,Venom.The.Last.Dance.2024.BluRay.Film2Media.srt,Venom_The_Last_Dance_open subtitle.srt
19:11,19:12,"Morning, Sadie.",صبح‌بخیر سِیدی,همزیست دیگه‌ش ولش کرده بود تا بمیره
19:12,19:14,Let me get that.,بذار بگیرمش,همزیست دیگه‌ش ولش کرده بود تا بمیره
19:14,19:15,We got this down in Mexico.,ما این رو از مکزیک گیر آوردیم,
19:15,19:18,Hi. Welcome.,سلام. خوش اومدی,ما نجاتش دادیم
19:19,19:20,Any more on where the rest of him is?,هیچ خبر بیشتری هست که باقیش کجاست؟,
19:20,19:23,- We're gettin' there. - Update me as you have it.,داریم به اونجاشم می‌رسیم - خبرش رو که داشتی در جریانم بیار -,سعی می‌کنم سطح‌ها رو بیارم پایین
19:25,19:27,I don't get this obsession.,من که گیراییم این دلبستگی رو نمیکشه,
19:27,19:29,I told you. My mom made me this pin.,...گفتم که بهت مامانم این سنجاق سینه رو برام درست کرده,
19:29,19:30,It's July.,الان که ماه جولای‌ـه,صبح بخیر سدی
19:31,19:32,I'll see you in there.,اونجا می‌بینمت,برمی‌گردم
19:35,19:36,Everyone on this side...,همه تو این سمت... عجیب و غریبن,سلام
19:37,19:39,is weird.,همه تو این سمت... عجیب و غریبن,اطلاعات بیشتری از بقیه‌شون داری؟
19:39,19:40,"Leave her alone, Rex.",چیکارش داری، رِکس,اطلاعات بیشتری از بقیه‌شون داری؟
19:40,19:43,God forbid anyone should actually enjoy their work.,یعنی خدا نکنه اگه کسی راستُ واقعی کِیف کارش رو ببره‌ها,بهم خبر بده اگه چیزی دستت اومد
19:58,20:00,Area 51 will be fully decommissioned,منطقه 51 تا آخر هفته,ولش کن رکس
20:00,20:01,by the end of the week.,به طور کامل برچیده میشه,انگار کسی دلش بخواد واقعاً از کارش لذت ببره
20:01,20:02,"It's just a shipwreck anyway,",،به هر حال اینجا فقط یه کشتی غرق شده‌ست,انگار کسی دلش بخواد واقعاً از کارش لذت ببره
20:02,20:04,and they're tired of the tourists.,و اونا از گردشگرا هم خسته شدن,
20:04,20:07,But we don't exist down here.,ولی ما این زیرش که وجودیتی نداریم,
20:07,20:08,A hundred feet subsurface...,،سی متر زیر سطح,
20:08,20:11,undetectable to any human...,...که برای هر انسانی از تشخیص خارجه,
20:12,20:13,or nonhuman.,یا غیر انسان,
20:13,20:15,No one's phoning home from here.,از اینجا هیچ‌کی به خونه‌ش زنگ نمیزنه,
20:15,20:17,My brother's greatest ambition,،بزرگترین سودای برادرم,
20:17,20:20,was to work up there at 51 doing what I do.,این بود که اینجا تو منطقه 51 کار کنه و کاری که من میکنم رو کنه,منطقه ۵۱ تا آخر هفته کامل برچیده میشه
20:21,20:22,And I wish I could have shown him,کاشکی می‌تونستم بهش نشون بدم ما این پایین چی ساختیم,در هر صورت چیزی جز یه کشتی خراب نیست و از توریستا خسته شدن
20:22,20:23,what we've built down here.,کاشکی می‌تونستم بهش نشون بدم ما این پایین چی ساختیم,در هر صورت چیزی جز یه کشتی خراب نیست و از توریستا خسته شدن
20:28,20:29,<i>You're okay.</i>,تو خوبی,صد فوت زیر زمین طوری که نه آدمیزاد می‌تونه پیدامون کنه نه غیر آدمیزاد
20:29,20:30,<i>Just...</i>,فقط... سعی کن نفس بکشی,صد فوت زیر زمین طوری که نه آدمیزاد می‌تونه پیدامون کنه نه غیر آدمیزاد
20:32,20:34,<i>try to breathe. Okay?</i>,فقط... سعی کن نفس بکشی,همه از اینجا دارن زنگ می‌زنن خونشون
20:35,20:37,When my brother and I were kids,تو بچگیای من و برادرم، بهمون می‌گفتن که,بزرگترین آرزوی داداشم این بود که اون بالا تو منطقه ۵۱ کار کنه همون کاری که من اینجا می‌کنم
20:37,20:40,"they told us that UFOs were just weather balloons, space trash.",بشقاب پرنده‌ها فقط بالن‌های هواشناسی و ضایعات فضایی‌ان,بزرگترین آرزوی داداشم این بود که اون بالا تو منطقه ۵۱ کار کنه همون کاری که من اینجا می‌کنم
20:41,20:44,Kubrick directed the moon landing in a Hollywood studio.,"که ""کوبریک"" نشستن روی ماه رو تو یه استودیوی هالیوودی، کارگردانی کرده <font face=""Calibri"" color=""#fdffae""><b>(استنلی کوبریک، کارگردان بسیار معروف آمریکایی)</b></font>",و کاش می‌تونستم بهش نشون بدم اینجا چی ساختیم
20:45,20:46,Cool story.,چه داستان باحالی,
20:46,20:48,Where are you going? This first.,کجا میری؟ اول این,خوبی
20:48,20:50,Is there an increased risk of exposure?,خطر مضاعفی‌ـه که در معرضشیم؟,...فقط
20:51,20:53,It's not us I'm worried about.,این ما نیستیم که من نگرانشم,نفس بکش
20:53,20:56,You know we carry all kinds of viruses and bacteria,می‌دونی ما ناقل انواع و اقسام ویروس‌ها و باکتری‌هایی هستیم که,وقتی من و داداشم بچه بودیم می‌گفتن بشقاب پرنده‌ها فقط بادکنک هواشناسی‌ان
20:56,20:57,that could be harmful to a sensitive lifeform.,می‌تونه برای یه موجود زنده حساس مضر باشه,وقتی من و داداشم بچه بودیم می‌گفتن بشقاب پرنده‌ها فقط بادکنک هواشناسی‌ان
20:57,21:00,And we don't know exactly what we're dealing with here.,و ما هم که نمی‌دونیم دقیقا اینجا سر و کارمون با چیه,وقتی من و داداشم بچه بودیم می‌گفتن بشقاب پرنده‌ها فقط بادکنک هواشناسی‌ان
21:01,21:02,As long as we're keeping the guests safe.,تا زمانی که باهاش مهمونامون رو در امنیت نگه می‌داریم، باشه,کوبریک تو یه استودیوی هالیوودی فرود ماه رو کارگردانی کرده
21:09,21:11,This is the first time we've had a host,یه میزبان سازگار با یکی از سیمبیوت‌هامون داریم,نگران خودمون نیستم
21:11,21:12,compatible with one of our symbiotes.,یه میزبان سازگار با یکی از سیمبیوت‌هامون داریم,نگران خودمون نیستم
21:12,21:14,And now we'll be able to talk to one.,با یکیشون حرف بزنیم,می‌دونی که ما کلی ویروس و
21:17,21:18,<i>Monsters.</i>,<i>هیولاها</i>,و دقیقاً نمی‌دونیم با چی طرفیم
21:33,21:36,He's been experiencing panic surges since we bonded him.,از وقتی پیوند رو زدیم دچار طغیان وحشت‌زدگی شده,از وقتی بهش متصل شدیم دچار موج‌های اضطرابی شده
21:36,21:39,"You try ""Jingle Bells""? So soothing.","سرود کریسمس ""زنگ‌های جرینگ‌جرینگ‌کنان"" رو امتحان کردی؟",از وقتی بهش متصل شدیم دچار موج‌های اضطرابی شده
21:39,21:41,"Wow, why didn't I think of that?",وای. چرا به فکرم نرسیده بود؟,از وقتی بهش متصل شدیم دچار موج‌های اضطرابی شده
21:43,21:45,Release him.,آزادش کن,از وقتی بهش متصل شدیم دچار موج‌های اضطرابی شده
21:49,21:50,<i>Monsters.</i>,<i>هیولاها</i>,از وقتی بهش متصل شدیم دچار موج‌های اضطرابی شده
21:53,21:55,<i>I'm Dr. Paine. Teddy.</i>,من دکتر پِینم,از وقتی بهش متصل شدیم دچار موج‌های اضطرابی شده
21:57,21:58,You're safe here.,تو اینجا جات امنه,آرامش‌بخشه
21:58,22:00,I'm going to help you.,من می‌خوام کمکت کنم,خب چرا خودم به ذهنم نرسید؟
22:01,22:02,Both of you.,به هردوتون,
22:04,22:06,The transfer was successful.,انتقال موفقیت‌آمیز بود,سلام
22:07,22:09,We had no choice.,ما چاره دیگه‌ای نداشتیم,
22:09,22:10,We had to try and save you.,<i>باید سعی رو برای نجاتت می‌کردیم</i>,
22:18,22:19,<i>Monsters.</i>,<i>هیولاها</i>,کمکت می‌کنم
22:27,22:28,<i>You're broken too.</i>,<i>تو هم ضرب‌دیده‌ای</i>,چاره‌ای نداشتیم
22:37,22:38,<i>May I...?</i>,...اجازه هست,هیولاها
22:43,22:44,<i>May I ask you some questions?</i>,اجازه هست یه سری سوال ازت بپرسم؟,
22:50,22:52,Is the symbiote communicating with you?,این سیمبیوت باهات ارتباط داره؟,
22:55,22:56,<i>Do you hear it?</i>,صداش رو می‌شنوی؟,
22:59,23:01,Sound distresses them.,صوت، آزرده‌شون میکنه,
23:03,23:04,<i>Okay.</i>,باشه,میشه چندتا سوال بپرسم؟
23:08,23:10,<i>- Why are they here? - What do they want?</i>,اونا چرا اینجان؟,این سیمبیوت باهات ارتباط برقرار کرده؟
23:10,23:11,<i>Safe haven.</i>,<i>پناهگاه امن -</i> پناهگاه امن؟ -,این سیمبیوت باهات ارتباط برقرار کرده؟
23:12,23:13,<i>Safe haven?</i>,<i>پناهگاه امن -</i> پناهگاه امن؟ -,
23:13,23:15,<i>We were running.</i>,<i>ما در حال فرار بودیم</i>,می‌شنویش؟
23:16,23:17,<i>Is he talking about the other symbiotes?</i>,داره راجع به بقیه سیمبیوت‌ها حرف میزنه؟,
23:17,23:19,<i>I think so.</i>,فکر کنم,صدا اذیتشون می‌کنه
23:19,23:23,His creatures search the universe for us.,<i>مخلوقات اون، هستی رو در جستجوی مائن</i>,باشه
23:24,23:25,<i>But we will be found.</i>,<i>با این اوصاف ما پیدا میشیم</i>,
23:28,23:31,"<i>And when we are, he will kill us all.</i>",<i>،و وقتی هم بشیم</i> <i>اون همه‌مون رو میکشه</i>,چی می‌خوان؟
23:33,23:34,Who?,کی؟,داشتیم فرار می‌کردیم
23:35,23:36,<i>There will be nothing left.</i>,<i>هیچی باقی نمی‌مونه</i>,داره درباره بقیه سیمبیوتا حرف میزنه؟
23:38,23:39,<i>Here? On Earth?</i>,اینجا؟ روی زمین؟,موجوداتش کل جهان رو دنبال ما می‌گردن
23:43,23:44,Why were they running?,چرا در حال فرار بودین؟,حالمون خوب میشه
23:45,23:48,"<i>Because there is a dark,</i>",<i>چون دریایی تاریک</i>,و وقتی خوب شدیم همه‌مون رو می‌کشه
23:48,23:51,<i>cold sea</i>,<i>و سرد</i>,و وقتی خوب شدیم همه‌مون رو می‌کشه
23:52,23:54,<i>around this universe.</i>,<i>دورِ این هستی‌ـه</i>,کی؟
23:54,23:55,<i>What is it?</i>,چی هستش؟,هیچ‌چیزی باقی نمی‌مونه
24:03,24:05,<i>You don't wanna know.</i>,<i>دلتون نمی‌خواد بدونین</i>,چون یه تاریکی
24:15,24:17,<i>I've seen the future.</i>,<i>من آ، آینده رو دیـ ،دیدم</i>,چی؟
24:35,24:37,<i>The darkness</i>,<i>...تاریکی</i>,آینده رو دیدم
24:39,24:43,<i>has teeth.</i>,<i>نیش داره</i>,
24:48,24:49,<i>This is your captain speaking.</i>,<i>کاپیتانتون صحبت میکنه</i>,
24:49,24:53,"<i>We are currently cruising at a comfortable 31,000 feet.</i>",<i>ما هم‌اینک در ارتفاع آسوده خاطر 31 هزار پا در حال پیمایش هستیم</i>,اون تاریکی
24:53,24:56,"<i>If you look out there to your left just now,</i>",<i>اگه همین الان بیرون رو ،در سمت چپتون نگاه کنید</i>,اون تاریکی
24:56,24:58,<i>you'll see the Grand Canyon.</i>,<i>دره گِرَند کَنیون رو می‌بینید</i>,باید بره
25:01,25:02,<i>Told you we could fly.</i>,<i>گفتم که ما پرواز بلدیم</i>,باید بره
25:02,25:03,"Oh, my God!",یا خداوندا,باید بره
25:04,25:05,<i>Direct to New York.</i>,<i>نیویورک بدون توقف</i>,
25:05,25:07,My mouth is so dry!,دهنم خشکِ خشک شده,
25:07,25:09,<i>And we clear your name.</i>,<i>و بی‌گناهیت رو هم ثابت می‌کنیم</i>,کاپیتان داره صحبت می‌کنه
25:09,25:11,It's so unpleasantly cold!,هوا بس ناجوانمردانه سرد است,در حال حاضر در ارتفاع ۳۱هزار فوت داریم پرواز می‌کنیم
25:12,25:14,How does Tom Cruise do this?,تام کروز چجوری آخه این کارو میکنه؟,اگه به سمت چپتون نگاه کنین الان گرند کنیون رو می‌بینین
25:14,25:16,<i>He doesn't whine like a little bitch!</i>,<i>اون مثل یه لاشی فکستری نقُ‌نق نمیکنه</i>,اگه به سمت چپتون نگاه کنین الان گرند کنیون رو می‌بینین
25:28,25:29,<i>What was that?</i>,این چی بود دیگه؟,خیلی یخ کرده
25:33,25:34,<i>What is that?</i>,این دیگه چیه؟,همه اون دخترای قدبلند دارن انجامش میدن
25:34,25:36,"Oh, fuck!",<i>...اَی کیـ</i>,مثل یه بچه غر نمی‌زنه
25:59,26:01,"I'm sorry, Eddie, but I got to disappear.",،شرمنده‌ت ادی ولی باید ناپیدا شم,
26:02,26:04,"- What, now? <i>- We're in deep shit!</i>",چی، الان؟ - <i>تا خرتناق رفتیم تو گوه -</i>,
26:06,26:08,Why did you do that?,چرا این کارو کردی؟,
26:09,26:10,<i>I will explain.</i>,<i>توضیح میدم</i>,ببخشید آنا
26:11,26:13,No! No!,نه! نه,ولی باید غیب بشم
26:17,26:18,No! No!,نه! نه,مترجم : مستر مووی کانال تلگرام : @MRMOVIEHC
26:24,26:26,I'm gonna go ahead and say that,می‌خوام رودربایسی رو بذارم کنار و بگم که,چرا این کارو کردی؟
26:26,26:28,this is the shittest hangover of all time.,این ریدمال‌ترین خماریه تمامیه دورانه,چرا این کارو کردی؟
26:29,26:31,"<i>Look at it, Eddie.</i>",<i>اینجا رو بنگر، ادی</i>,توضیح می‌دم
26:31,26:33,<i>Isn't it just astonishing?</i>,<i>واحیرتا نیست اصلا؟</i>,این بدترین خماری تمام عمرم بود
26:33,26:35,"Oh, shut up.",خفه بابا,این بدترین خماری تمام عمرم بود
26:35,26:38,<i>I don't think I mind living here forever.</i>,<i>تا همیشه اینجا خونه و زندگیم باشه</i>,این بدترین خماری تمام عمرم بود
26:38,26:41,We just came face-to-face with a literal death machine.,ماشین مرگِ به معنای واقعی کلمه رخ به رخ شدیما,این بدترین خماری تمام عمرم بود
26:41,26:44,Forever seems pretty optimistic.,تا ابد که قشنگ دلِ خوشی داشتن می‌مونه,این بدترین خماری تمام عمرم بود
26:50,26:53,"<i>With the decommissioning of Area 51, will the Pentagon</i>",<i>،با برچیده شدن منطقه 51</i>,عالی نیست؟
26:53,26:55,<i>finally admit that they've been holding UAPs?</i>,"<i>آیا پنتاگون سرانجام به اینکه ""آن‌ها ""یو‌اِی‌پی</i>",فکر نمی‌کنم بد باشه که تا ابد اینجا زندگی کنیم
26:55,26:58,"That's ""unidentified aerial phenomena"" to you.","معنیش واسه شما ""اشیای ناشناس پرنده"" هستش",تازه با یه ماشین مرگ واقعی رو به رو شدیم
26:58,27:00,"Yeah, Dad, we know.",آره، بابا، خودمون می‌دونیم,تازه با یه ماشین مرگ واقعی رو به رو شدیم
27:00,27:03,What I wouldn't give to see who built one of those things.,آخ که چیا رو واسه دیدن کسی که یکی از اونا رو ساخته، نمی‌دادم,تا ابد خیلی خوش‌بینانه‌س
27:03,27:04,That's why we cashed in our savings,برای همینم پس‌اندازمون رو نقد کردیم و,
27:05,27:06,"and came on this road trip, babe.",این سفر جاده‌ای رو اومدیم، عزیزم,
27:07,27:08,So you could finally get to see...,...تا بالاخره فرصت نصیبت شه ببینی,
27:08,27:10,That it's bullshit?,که خزعبله؟,... ،با تعطیل شدن منطقه 51
27:10,27:11,"Yeah, well, what if I'm right?",آره، خب، اگه حق با من باشه چی؟,... ،با تعطیل شدن منطقه 51
27:11,27:13,Then I really hope we don't end up,پس واقعا دعا دعا می‌کنم که آخر و عاقبتمون,پنتاگون دیگه انکار نکرد که یوفو داره؟
27:13,27:15,in an alien space lab with probes up our asses.,تو یه آزمایشگاه فضایی آدم فضاییا با میله کاوشیِ کرده شده تو کینمون نشه,پنتاگون دیگه انکار نکرد که یوفو داره؟
27:16,27:17,Or dead.,یا نعش,یعنی همون پدیده‌های هوایی ناشناخته که به شما می‌گیم
27:17,27:18,"""Asses.""","""کین""",یعنی همون پدیده‌های هوایی ناشناخته که به شما می‌گیم
27:28,27:30,Kicked up some gravel there.,چه یه مقدار شن و سنگ‌ریزه‌ای اونجا بلند شد,آره اگه حق با من باشه چی؟
27:30,27:32,"- Hang tight, family. - You good?",سفت بچسبین، خونواده - خوبین؟ -,واقعا امیدوارم کارمون به آزمایشگاه فضایی بیگانه‌ها و این داستانا نکشه
27:32,27:34,That was wild!,عقل از سر ببر بود,واقعا امیدوارم کارمون به آزمایشگاه فضایی بیگانه‌ها و این داستانا نکشه
27:34,27:35,- Did the dog vomit? - Yeah.,سگ بالا آورد؟ - آره -,همه‌مون می‌میریم
27:48,27:50,<i>Okay!</i>,<i>خیلی‌خب</i>,بیاین نزدیک .خانوادگی
27:50,27:51,<i>We've got this.</i>,<i>داریمش</i>,همه خوبین؟
27:51,27:54,<i>Soft landing. Bend your knees.</i>,<i>فرود آروم میایم. زانوهاتو خم کن</i>,سگ بالا آورد؟
27:54,27:56,<i>Engage your core. Engage your core!</i>,<i>عضلات کمر و پایینت رو درگیر کن</i> <i>دِ عضلات کمر و پایینت رو درگیر کن</i>,آره
27:57,28:00,"<i>Yes! Yes, that's it! Yes. That's it!</i>",<i>آره. همینه</i>,
28:03,28:05,<i>Well done.</i>,<i>بارِکلا</i>,
28:05,28:06,That was terrifying.,رعب و وحشت‌افکن بود,
28:08,28:10,This is not New York.,اینجا نیویورک نیستا,ما از پسش برمیایم
28:10,28:11,"No, this is a wasteland.",نه، اینجا برهوته,فرود نرم
28:12,28:13,<i>I'm detecting passive aggression.</i>,<i>دارم پرخاشگری غیرمستقیمی رو شناسایی می‌کنم</i>,زانوها رو خم کن
28:13,28:14,- Are you? <i>- Yeah.</i>,جدنی؟ - <i>آره -</i>,مرکز بدنت رو فعال کن
28:14,28:17,"Oh, I'm sorry. How about some <i>active</i> aggression?",عه شرمنده. یکم پرخاشگری فعال چطوره؟,آره دقیقا همینه
28:17,28:20,You just threw me off a 757,تو همین الان زدی از ...هواپیمای بوئینگ 757 پرتم دادی رفت,آره دقیقا همینه
28:20,28:22,without even the slightest consideration,<i>بی‌اینکه تو بگو اصلا سر سوزنی ملاحظه‌ی...</i>,اوو
28:22,28:24,for my chronic vertigo.,سرگیجه مزمن منو داشته باشی,ترسناک بود
28:24,28:26,It was an Airbus A320.,<i>یه هواپیمای اِیرباس اِی320 بود</i>,ترسناک بود
28:26,28:29,Was it? I am sorry. All right.,این بود؟ ببخش ما رو,این نیویورک نیست
28:30,28:31,And what was that thing?,...و اون چیزه چی بودش دیگه,یه حالت تهاجمی غیرفعال ازت حس می‌کنم
28:32,28:34,That thing that we just juiced back there?,اون چیزه که همین الان زدیم آبمیوه‌شو درآوردیم؟,یه حالت تهاجمی غیرفعال ازت حس می‌کنم
28:34,28:35,You're not going to like this.,<i>قرار نیست با این قضیه حال کنی</i>,یه کم تهاجم فعال چطور ؟
28:35,28:38,"No, I can absolutely guarantee you that I'm not gonna.",نه، برات می‌نویسم و امضا می‌کنم که .قرار هم نیست,تو منو از هواپیما پرت کردی پایین
28:40,28:42,What are you doing? Why are you doing that?,چیکار می‌کنی؟ چرا همچین می‌کنی؟,اونم در حالی که من اینقدر سرم گیج میره
28:42,28:44,That's er... You're being weird. That's creepy.,...این داری عجیب‌بازی درمیاری,اونم در حالی که من اینقدر سرم گیج میره
28:44,28:46,That was a Xenophage.,اون یه بیگانه‌خوار بود,بود  A320 اون ایرباس
28:46,28:47,A what?,یه چه؟ - یه بیگانه‌خوار -,آره؟ متاسفم
28:47,28:48,A Xenophage.,یه چه؟ - یه بیگانه‌خوار -,هورا
28:48,28:50,- A symbiote hunter. - Of course.,یه شکارچیِ سیمبیوت - بله دیگه -,اون چی بود؟
28:51,28:53,"Problem is, if she has found her way here,",<i>بدبختی اینه که</i> <i>،اگه اون زن راهشو به اینجا پیدا کرده</i>,اون چیزی که الان زدیم چی بود؟
28:53,28:55,others will soon follow.,بقیه هم بزودی دنباله‌رو میشن,خب این همین‌جوری قراره باشه
28:55,28:56,"""Others""?",بقیه؟,نه اینو کاملا تضمین می‌کنم
28:56,29:00,The Xenophage's maker also created us symbiotes.,سازنده بیگانه‌خوارها ما رو هم خلق کرده,داری چیکار می‌کنی؟
29:00,29:02,So that's your sister?,پس اوشون خواهرتن,چرا اینکارو می‌کنی؟
29:02,29:05,"All the symbiotes turned on him, locked him up on Klyntar.",،همه سیمیبیوت‌ها از خالقمون رو برگردوندن,اون یه زینوفیج بود
29:05,29:06,- Your planet. - No!,سیاره‌ت,یه زینوفیج
29:06,29:08,- Not a planet. - Not your planet.,نه، سیاره نیستش - سیاره‌ت نیست -,یه زینوفیج
29:08,29:10,A prison we built for him to sleep...,یه زندانه که ما براش ساختیم ...که بخوابه,یه همزیست کن‌تلا
29:10,29:12,- Of course. - ...for eternity!,مشخصه - اونم تا ابدیت... -,مشکل اینه که اگه راهشو اینجا پیدا کرده باشه بقیه‌شونم به زودی دنبالش میان
29:13,29:14,"What's his name, then?",اسمش چیه، اونوقت؟,مشکل اینه که اگه راهشو اینجا پیدا کرده باشه بقیه‌شونم به زودی دنبالش میان
29:15,29:17,I didn't hear a word you said.,یه کلمه از حرفتم نشنیدم,سازنده‌ زینوفیج یه همزیست دیگه هم ساخته
29:17,29:18,Knull.,نال - نال -,سازنده‌ زینوفیج یه همزیست دیگه هم ساخته
29:18,29:19,- Knull. - No!,نه,سازنده‌ زینوفیج یه همزیست دیگه هم ساخته
29:19,29:21,"Shush, shush, shush, shush.",نه,پس اون خواهر توئه
29:24,29:26,"This is serious, Eddie.",قضیه شوخی‌بردار نیست، ادی,نه سیاره‌ تو نیست
29:26,29:27,Let's just not talk.,بیا اصَن حرف نزنیم,سیاره‌ی تو نیست
29:29,29:30,Quiet.,ساکت,البته
29:35,29:38,"What does this Xyla-Xyn-Xyn-thingy,","،""این فلان چیزه ""بیخانه‌هار",نشنیدم چی گفت
29:38,29:40,"this symbiote hunter, want with you anyway?",،این شکارچی سیمبیوت حالا چی ازت می‌خواد؟,نه
29:40,29:43,It doesn't. It wants us. We have something it needs.,منو نمی‌خواد. اون ما رو می‌خواد,این جدیه ادی
29:44,29:48,"We only have this shitty shirt, we got one boot and sunburn.",یه چکمه و یه آفتاب سوختگی هم صاحبیم,این جدیه ادی
29:48,29:50,And the codex.,و کُدِکس,ساکت
29:50,29:51,"The what, now?",چه عرض کردی؟,
29:51,29:53,I'll show you.,نشونت میدمش,
29:54,29:56,"Damn it, what are you doing?",لعنت بابا، چیکار می‌کنی؟,این چیه ایزیلوم؟
29:56,30:00,<i>Let's say you died. I could bring you back to life.</i>,<i>بیا فرض کنیم تو مُردی</i>,این چیز ذن‌طور سیمبیوته چی می‌خواد ازت اصلاً؟
30:00,30:01,"<i>Well, I like that.</i>",<i>خب، با این خوش می‌کنم</i>,ما رو می‌خواد
30:01,30:04,"<i>But if I did, our separate life forces</i>",<i>،ولی اگه می‌کردم</i> <i>،نیروی حیات جداگونه‌مون</i>,ما یه چیزی داریم
30:04,30:09,<i>would become one single force called a codex.</i>,<i>به یه نیروی واحد به اسمِ</i>,یه رای داری
30:09,30:10,<i>What the hell is a codex?</i>,<i>کدکس دیگه چه سمیه؟</i>,حالا چی؟
30:11,30:15,<i>It's a key. A key that unlocks a cage.</i>,<i>کلیدی برای باز کردن قفسی</i>,داری چیکار می‌کنی؟
30:15,30:16,<i>The prison on Klyntar.</i>,<i>زندانی در کِلینتار</i>,بذار بگم که تو مردی
30:17,30:18,<i>It would free our creator.</i>,<i>این کلید خالق‌مون رو آزاد میکنه</i>,می‌تونم زنده‌ات کنم
30:19,30:20,"Well, thank God we haven't died.",خب، خدا رو شکرت که ما نمردیم,خب از اون خوشم میاد
30:20,30:22,"<i>Yeah, except that one time.</i>",<i>آره، با فاکتور گرفتن اون یه بار</i>,ولی اگه این کارو کنم نیروی زندگیمون
30:25,30:27,"<i>Oh, no. No.</i>",<i>نه. نه</i>,یکی میشه و به یه نیروی واحد به اسم کدکس تبدیل می‌شه
30:27,30:29,<i>So you're telling me we're carrying this thing.</i>,<i>پس داری بهم میگی که ما اینو همرامون داریم</i>,کدکس دیگه چیه؟
30:29,30:31,<i>That's why the Xenophage is hunting us.</i>,<i>سر همینم بیگانه‌خوار داره شکارمون میکنه</i>,یه کلیده
30:32,30:33,<i>What do we do?</i>,<i>چیکار کنیم خب؟</i>,یه کلید که یه زندان رو باز می‌کنه
30:33,30:35,<i>She can only see the codex</i>,<i>اون فقط موقعی می‌تونه کدکس رو ببینه</i>,زندانِ کلینتر
30:35,30:38,<i>when a symbiote is in its full true form.</i>,<i>که یه سیمبیوت تو شکل کامل واقعیش باشه</i>,خالق‌مون رو آزاد می‌کنه
30:40,30:42,Right.,صحیح,آره به جز اون یه بار
30:42,30:43,You mean you can't come out?,منظورت اینه که نمی‌تونی بیرون بیای دیگه؟,اوه نه
30:43,30:46,I can do this. I can do this.,می‌تونم این کارَ رو کنم. می‌تونم این کارَ رو کنم,اوه نه
30:46,30:48,"But if I fully transform,",،ولی اگه کاملا تبدیل بشم,داری می‌گی که اینو حمل می‌کنیم؟
30:48,30:51,the codex sends her a tracking signal.,کدکس یه سیگنال ردیابی براش می‌فرسته,واسه همینه که اون انفج دنبالمونه
30:51,30:54,"She'll find us, rip it out of our spine",،اونم پیدامون میکنه ،از ستون فقراتمون می‌کَندش,اون فقط می‌تونه کدکسو ببینه وقتی که سیمبیوت تو فرم اصلیش باشه
30:54,30:56,and free Knull from Klyntar.,و نال رو از کِلینتار آزاد میکنه,اون فقط می‌تونه کدکسو ببینه وقتی که سیمبیوت تو فرم اصلیش باشه
30:56,30:57,So how do we get rid of this codex?,خب چجوری از شر این کدکس خلاص شیم؟,اون فقط می‌تونه کدکسو ببینه وقتی که سیمبیوت تو فرم اصلیش باشه
30:57,31:02,"As long as you and I both live, the codex exists.",،تا زمانی که من و تو زنده‌ایم کدکس هم وجود داره,منظورت اینه که نمی‌تونی بیای بیرون
31:02,31:04,- If one of us should die... - No.,...اگه یکی‌مون احیانا بمیره,می‌تونم این کارو کنم
31:04,31:05,...the codex would die.,نه - کدکس هم می‌میره... -,می‌تونم این کارو کنم
31:05,31:07,- That's not gonna work for me. - Nor me!,به کار من که نمیاد - و نه من -,ولی اگه کامل تغییر شکل بدم کدکس یه سیگنال ردیابی براش می‌فرسته
31:08,31:10,That Xenophage was fast.,اون بیگانه‌خواره خیلی فرز بود,ولی اگه کامل تغییر شکل بدم کدکس یه سیگنال ردیابی براش می‌فرسته
31:10,31:12,It won't take long for the feds to tie us,خیلی واسه فدرالی‌ها هم طول نمیکشه که ببندنمون به,پیدامون می‌کنه اونو از ستون فقراتمون می‌کشه بیرون و نال رو از کلینتر آزاد می‌کنه
31:12,31:15,to those four headless bodies we left in Mexico.,اون چهارتا جنازه‌ی بی‌کله‌ای که تو مکزیک به جا گذاشتیم,پیدامون می‌کنه اونو از ستون فقراتمون می‌کشه بیرون و نال رو از کلینتر آزاد می‌کنه
31:15,31:17,"- We gotta get out of here. - Yeah, we better go.",باید از اینجا گم بریم - آره، بهتره بریم -,پس چطوری از شر این کدکس خلاص شیم؟
31:23,31:25,<i>Four legs are better than one.</i>,<i>چهار تا پا بِه از یک پائه</i>,اگه یکی از ما بمیره کدکس هم می‌میره
31:25,31:27,"Be honest with me, buddy.",خودم و خودتیم دیگه، رفیق,اون به کار من نمیاد
31:28,31:31,How fast do you think you can get that thing to go?,به نظرت چقدر سریع می‌تونی ،اون چیزَ رو بُروش کنی,زیاد طول نمی‌کشه تا فدرالی ها ما رو
31:31,31:32,Without killing it.,بی‌اینکه بکشیش؟,با اون چهار تا جنازه بدون سر تو مکزیک ربط بدن
31:32,31:33,<i>Only one way to find out.</i>,<i>فقط یه راه واسه فهمیدنشه</i>,با اون چهار تا جنازه بدون سر تو مکزیک ربط بدن
31:35,31:38,<i>Don't scare him. Don't scare horsey-horsey-horse.</i>,<i>نترسونیش اسب اسبی بابا رو</i>,آره بهتره بریم
31:41,31:42,<i>Nice horsey.</i>,<i>چه اسب اسبی قشنگی</i>,چهار تا پا بهتر از یه دونه‌اس
31:42,31:43,Hey.,هی,چهار تا پا بهتر از یه دونه‌اس
